A	whereas the environmental costs of transport have been estimated at 1,1% of Europe's GDP,
14	Urges stakeholders to take appropriate measures which ensure the affordability of these new features, thus increasing consumer demand;
15	Calls, therefore, on the Member States and the Commission to continue their efforts to devise tax incentives for the purchase of vehicles which are environmentally adapted and are equipped with intelligent safety devices, in parallel to the existing incentives for purchasing less polluting cars;
16	Calls on Member States, the Commission and the car industry to provide brief, clear and comprehensible information as part of awareness-raising campaigns in order to reach the largest audience possible, including car dealerships and driving schools, and inform them about intelligent vehicle systems;
17	Calls for the incentives introduced to be combined with prevention and road safety training measures for drivers;
18	Believes that road safety will benefit from better interaction between intelligent on-board apparatuses and communicators with devices integrated within the infrastructure;
19	Suggests that the Commission pay special attention to Member States where the availability of intelligent systems is still very low;
20	Is aware of the fact that the introduction of new technologies should be done progressively;
21	"Underlines the fact that the Intelligent Car Initiative cannot be fully accomplished if separated from ""Smart roads"" initiatives;"
22	Therefore welcomes the commitment by the Commission to launch, from 2008 onwards, a programme to prepare transport infrastructure for the integration of co-operative systems, as well as the Commission's cooperation with the Radio Spectrum Committee in allocating and harmonising the Intelligent Transport Systems spectrum for co-operative systems;
23	Stresses the need for coherent inter-sectoral strategies at EU level as well as the need to enhance policy frameworks for the automotive industry, the telecommunications sector, the emergency services, public safety and security, public works and infrastructure, research institutes and universities, which could provide incentives for developing further preventive safety applications and technologies;
24	"Urges stakeholders to create an appropriate ""intelligent environment"" on roads and within infrastructure so that new intelligent features can work properly and can be fully exploited, including better road capacity management and intelligent road monitoring systems (real-time monitoring);"
25	Urges the car industry to take into account fresh car safety features when designing new vehicles and to provide for devices to measure and display energy consumption and environmental data such as real CO2  and particulate emissions;
26	Recalls that information and communication technology (ICT) based systems can contribute to reducing pollutant emissions through more efficient traffic management, reduced fuel consumption and by facilitating eco-driving;
27	Invites the Commission to develop methodology for measuring the impact of ICTs on CO2  emissions or to coordinate and disseminate existing findings;
28	Notes that the use and availability of portable or nomadic ICT-based device systems has increased and that the market for said devices continues to grow steadily;
29	Calls on stakeholders to work on measures to ensure the safe use and fixing of such devices, and to facilitate human-machine interaction;
30	Recalls that data privacy should be properly addressed and looks forward to the publication of the eSafety Forum's forthcoming data privacy code of practice;
31	Stresses the need for a definition by the European Telecommunications Standardisation Institute of an open standard for introducing eCall services at European level;
32	Welcomes the negotiations on the voluntary agreement on the inclusion of eCall as a standard option in all new vehicles from 2010 onwards;
33	Welcomes the negotiations on an international agreement for a global technical regulation which would include the technical specifications for the electronic stability control system, and calls on the Commission to draw up a report on the state of those negotiations and the measures agreed on the matter;
34	Looks forward to future reports on the development of the Safer, Cleaner, Efficient and Intelligent Car Initiative;
35	Instructs its President to forward this resolution to the Council and the Commission, and to the governments and parliaments of the Member States.
