A	"	whereas social security:"
30	Requests that, as a matter of urgency, the Commission and the Member States take measures prohibiting direct discrimination in occupational pension schemes, including the practice of basing the level of payments and contributions on actuarial factors relating to sex;
31	Recalls its resolution of 21 February 1997 on the situation of spouses helping self-employed workers
32	Recalls its resolution of 12 March 2008 on the situation of women in rural areas of the EU
33	Recalls its resolution of 11 July 2007 on financial services policy (2005-2010) 
34	Urges the Commission urgently to review Directive 2003/41/EC of the European Parliament and of the Council of 3 June 2003 on the activities and supervision of institutions for occupational retirement provision
35	Recalls that the Court of Justice has ruled against obstacles to tax exemptions for cross-border pension contributions; emphasises that tax relief offers the best incentive for long-term savings and that further harmonisation may be needed to remove all obstacles to cross-border contributions to pension schemes;
36	Notes the current trend away from defined benefit pension systems to defined contribution pension systems and is concerned about the decline in employer contributions that evidently accompanies this trend; emphasises the need for strengthened participation and contribution levels of employees in existing pension schemes in order to ensure adequate retirement income for individuals and emphasises the need for continued adequate contributions from employers, particularly in defined contribution pension schemes; is concerned that the envisaged revision of International Accounting Standard (IAS) 19 regarding employee benefits, as for example in the case of the possible abolition of the so-called 'corridor-approach', could entail significant changes to pension systems that need to be carefully assessed, especially as regards possible adverse effects on the attractiveness of defined benefit schemes;
37	Observes that, in order to ensure decent living conditions for disabled peersons and to avoid the 'benefits trap', it is necessary to provide compensation for the additional cost of living associated with disability and to coordinate it with pension systems and social integration policies;
38	Stresses the need for the Member States to preserve adequate levels of funding for social security and pensions systems and the need to find alternative and robust tax bases in the face of the increased competition brought about by globalisation; stresses the importance of reducing reliance on labour taxation in order to increase the competitiveness of Member State economies and provide more work incentives; recognises the complexity involved in shifting to a more capital based taxation, given the smaller capital tax base and greater mobility of capital; suggests that shifting to new methods of taxation and/or other alternatives could be considered to improve the financial sustainability of social spending, which would reduce the tax burden on people with lower incomes; maintains that employers' social security contributions represent an investment because they result in increased productivity, this being one of the reasons why countries with high social spending are also the most competitive;
39	Underlines the fact that Member States must focus on the medium and long-term objectives of the Stability and Growth Pact (SGP) and ensure sustainable public finances to meet the increased pressure of an ageing population; notes that the Informal Economic and Finance Ministers Council held in Brdo on 5 April 2008 agreed that the focus on social spending should move from volume of expenditure to achievements and outcome; recommends that the Council reflect on further improvements to the SGP, for example by allowing longer term investments to be accounted for over a longer period of time;
40	Stresses that Member States should design their financial policies in a sustainable manner by fairly sharing the tax burden among employees, consumers, businesses and income from capital, and across generations;
41	Considers that regulation should aim to secure the solvency and protection of occupational pension schemes, not least in the event of a takeover or other significant changes in ownership or management;
42	Calls on the Member States to include in their annual budgets a fund for future pension payments;
43	Stresses the need to consider a phased transition from joint contribution-based to fund-based insurance-type pension schemes,
44	Expresses the conviction that measures to improve health mean a need to invest, which can contribute to reducing the costs in light of the ageing population and improve the soundness of public finances; insists on the importance of preserving the values and principles underpinning all health care systems in the European Union, which comprise universal coverage, solidarity in financing, equity of access and the provision of high-quality health care, notwithstanding the need for rational consumption of scarce resources; emphasises that by improving the organisation and provision of services in accordance with the principles of subsidiarity, there is the potential for improving both the quality and financial efficiency of health services;
45	Given the projected higher costs of health care and long-term care, considers that Member States should reflect on their funding and take account of the fact that, given the possibility that less non-professional care will be available due to the trend towards smaller families and an increase in women's participation in the labour market, the increase in long-term care might be higher than projected;
46	Points out that the emphasis should be placed on persons needing expensive or long-term health care, persons and groups of persons facing particular access problems, such as ethnic minorities and persons on low incomes, on care for persons suffering from chronic illnesses and the development of open support structures for the rehabilitation, social integration and support of persons with physical or mental disabilities and the elderly, so as to avoid institutionalisation and to help them live independently;
47	Observes that the public funding of health care helps protect against financial risk, independently of the personal health risks and thus supports equality and social security, whereas, in contrast, private contribution mechanisms involve limited or no pooling of risks and usually link payments to the risk of ill health and ability to pay, while simultaneously guaranteeing a sustainable financing regardless of demographic change;
48	Recognises the importance of public financing in achieving the objective of solidarity, and the wide diversity of the levels of public and private financing of health care in the Member States; recommends that the Commission carries out research to determine the level and/or range of public financing that meets the objective of solidarity, both for the system as a whole and for particular service areas;
49	Recognises the increasing popularity of market-based solutions and privatisation in health care financing as a panacea for cost explosion, inefficiency and problems of quality of care, especially in the new Member States; recognises the increasing evidence that the functional privatisation of social health insurance systems, the profit motive and competition between financial intermediaries usually make the administration of health care systems more expensive, whilst their beneficial effects in terms of cost containment, efficiency and quality of care are dubious; for this reason, recommends that Member States with a single payer model preserve that model;
50	Notes that health care systems that are predominantly funded through employment-based social insurance contributions may benefit from broadening the revenue base to include non-earnings-related income;
51	Notes that, in the light of the principle of freedom to provide services and the right of the insured under health insurance schemes to choose a doctor or establishment freely, it is not permissible for Member States to refuse to reimburse their citizens for any treatment received abroad but that Member States can impose (fixed) individualised ceilings on the costs incurred and are not obliged to reimburse treatment that their nationals would not have received at home;
52	Calls on the Member States to avoid a purely financial approach when adopting reform policies aimed at redesigning the legal frameworks which underpin their respective national healthcare systems;
53	Is deeply convinced that the starting point for any reform should be a careful analysis of the existing health (financing) system to identify weaknesses and problem areas, combined with understanding of the contextual factors that may contribute to or impede successful reform; expects Member States to be fully aware of the considerable impact of healthcare reforms on the operation, capacity, and efficiency of their respective healthcare systems, and of the threats that insufficiently or inadequately prepared reform measures can have on the quality and availability of healthcare services, on the health of citizens, and hence on their employability;
54	Calls on the Member States to consider the whole range of health financing functions and policies, rather than focusing on contribution mechanisms alone; is convinced that raising the level of employment-based contributions, or raising the private contribution of patients to the cost of healthcare services are wrong-headed policies that can have disastrous consequences since they limit in an unacceptable way the access of citizens with low incomes to the full range of healthcare services;
55	Is convinced that the access of citizens with low incomes to high quality healthcare services should be seen as a clear priority that it is linked most closely with the European values of solidarity and equal rights, and that it constitutes a precondition for the successful achievement of the Lisbon objective of full employment;
56	Calls on the Commission to take into account the aspects of the equal rights of all Union citizens to high-quality healthcare systems, and to integrate the necessary guarantees against discrimination against citizens relating to financing into the revision of Community anti-discrimination legislation, or any new legislative instrument dealing with the issue of access to healthcare services;
57	Recommends that Member States contribute to efficiency and equity in their respective healthcare systems by lowering the number of risk pools or – better still – by creating a single, national pool that can facilitate strategic direction and co-ordination throughout the health system;
58	Instructs its President to forward this resolution to the Council, the Commission, the Employment Committee, Social Protection Committee, and the governments and parliaments of the Member States and the candidate countries.
