A	whereas the Council continues to maintain the
20	Believes that migration issues, including tackling the issue of illegal immigration, should form a very prominent part of the Union's external action, in its relations both with countries of origin and with countries of transit; requests that the Council and the Commission report regularly to Parliament on this subject, via the Committee on Civil Liberties, Justice and Home Affairs and the Committee on Foreign Affairs;
21	Considers that home defence merits greater prominence in European strategic thinking and that the protection of the external borders of the Union should be an important element; considers that joint management of the external borders should become an essential part of the European Neighbourhood Policy; is of the view that the Union should acquire common equipment for the protection of its external borders;
22	Calls for the taking into account of certain Member States' concerns regarding their energy supplies, given that energy supplies can be treated as political instruments;
23	Is of the view that the successive enlargements of the Union, as decided by the European Council on 16-17 December 2004, should remain at the top of the Union's political agenda in 2006 together with the development of a genuine European Neighbourhood Policy, including a specifically designed structure such as an European Economic and Political Area for European countries;
24	Supports the Council's view that, in many ways, the future CFSP priorities for a Union aiming to be a global actor define themselves, and that, in particular, the Mediterranean, the Transatlantic partnership and the Middle East, the Balkans, eastern Europe and conflict situations, the promotion of peace, security in all its aspects and the ongoing fight against terrorism, disarmament and non-proliferation of weapons of mass destruction must remain at the core of CFSP for 2006;
25	Calls upon the Presidency of the Council to keep Parliament informed on the review of the mandate and planning of the EUFOR mission in Bosnia and Herzegovina, as well as the way in which the Battlegroups initiative develops; is of the view that cooperation with the United Nations should be dramatically enhanced and that cooperation with NATO should be more effective, building on the experience gained in the EU's recent civil and military operations; takes the view that the EU should be ready to take over the police mission in Kosovo;
26	Calls on the Council and the Commission to play an active role in the ongoing process of constitutional reform in Bosnia-Herzegovina with a view to reaching an agreement among the political forces and in public opinion about going beyond the institutional framework as set out in the Dayton accords, to streamline and rationalise the present institutional architecture in order to create a more efficient and self-sustainable state, also with a view to future European integration, and in order to lay down the conditions for a representative democracy that eliminates the current ethnic divisions;
27	Calls on the Council to play an active role in order that a constructive solution can be found on the basis of international law and the relevant UN Security Council resolutions to address the issue of the future status of Kosovo whilst respecting its territorial integrity, adequately upholding minority rights, not endangering the Union's entire policy towards the Balkans and helping to consolidate peace, stability and security in the area; calls on the Council, the Commission and the Member States to formulate a joint strategy, to participate actively in negotiations and contact groups and to cooperate closely with the UN; welcomes the progress made in relations with Serbia-Montenegro which led to the opening of the negotiations on a Stabilisation and Association Agreement;
28	Urges the Council to make the EU perspective for the Balkans a top priority despite the current internal crisis with regard to the process of ratification of the Constitution; takes the view that the future accession of the western Balkan countries will constitute a further step towards the reunification of Europe;
29	Calls on the Council and the Commission to step up efforts to conclude the negotiation of stabilisation and partnership agreements with the western Balkan countries and reiterates its support for the European perspective of the western Balkan countries under the 'Thessaloniki Agenda';
30	Reiterates that the development of Africa must be a priority for the external action of the Union on the basis of the essential principle of solidarity and that to this end the Union must play a leading role in addressing the enormous needs of Africa, with the ultimate aim of promoting peace, stability, prosperity, good governance (particularly by combating corruption) and respect for human rights in the region; in this respect, calls for a strengthening of political dialogue; welcomes the Commission initiative for a joint strategy for Africa going beyond traditional development aid policies and seeking the economic and social reconstruction of the countries of the African continent; expects African governments to live up to their commitments to democracy, the rule of law and respect for human rights;
31	Acknowledges that the United Nations has asked the European Union to contribute to the security of the upcoming elections in the Democratic Republic of Congo by means of a military mission; asks the Council to carefully examine the existing possibilities;
32	Stresses that conflict prevention, management, peacekeeping, operational support and local capacity-building in accordance with the principle of 'African ownership' are indeed of the utmost importance whilst hunger and poverty, inequality in economic terms, political injustice, the escalation of conflicts through violence, forcible expulsions, epidemics, scarcity of resources and numerous ecological hazards remain the most acute problems for the African population; is deeply concerned about the fact that the international community is not able to react adequately to the massive war crimes and human rights violations which can be construed as genocide in Darfur;
33	"Calls on the Council and the Commission to undertake together with Parliament, as soon as possible, an overall assessment of the EU Summits with India, China (September 2005), Russia (October 2005), Ukraine and Canada (November 2005), bearing in mind that the concept of ""strategic partnerships"" must be based on the sharing and promotion of common values and that Parliament must in any event be fully associated;"
34	Stresses that the present partnership with Russia is more pragmatic than strategic since it reflects common economic interests without achieving any progress as regards human rights and the rule of law; expects, in this respect, concrete results from the recently set up bilateral human rights consultation; is of the view that a genuine partnership should inspire a friendly and just solution to the issue of border treaties with certain neighbours, and trigger a real peace process in Chechnya involving all the democratic components of society so as to find a peaceful solution to the conflict there; stresses the importance of EU-Russia dialogue on issues relating to their common neighbourhood and hopes that Russia will take a more transparent and even-handed approach towards their common neighbours; asks for the EU-Russia Four Common Spaces Agreement to be implemented without delay; supports the work being jointly undertaken by both partners regarding crisis management;
35	Calls for arms reduction in the Kaliningrad region;
36	Considers that the policy on Belarus implemented by the European Union has achieved few results, and therefore proposes the development of new measures designed to strengthen links with the people of Belarus and to enable them to enjoy the benefits provided by democracy;
37	Underlines the need to improve relations with China in such a way that progress is made not only in trade and economic fields but also on human rights and democracy issues; to that end, reiterates its demand for a binding EU Code of Conduct on Arms Exports and calls on the Council not to lift the arms embargo until greater progress is made in the field of human rights and arms exports controls in China and on cross-Straits relations; supports the UK Council Presidency proposal to ensure closer EU-China cooperation on energy security and climate change; stresses the need for closer cooperation within the WTO to resolve the serious bilateral trade problems and ensure compliance by China with that organisation's international standards;
38	Calls on the Council to renew any efforts, within the framework of the Middle East Quartet (USA, Russian Federation, EU and UN), to revive negotiations between Israelis and Palestinians, and considers that a comprehensive strategy should be set up for the broader region of the Middle East with the aim of reinforcing peace, security and democracy;
39	Underlines the need to give the Barcelona Process a new impetus with the aim of enhancing balanced economic, social and democratic development of the countries concerned;
40	Takes the view that, according to the relevant EU guidelines, human rights dialogues are an acceptable option only if there is sufficient commitment in the partner country to improve the human rights situation on the ground; therefore calls on the Council to evaluate the results of such dialogues at regular intervals in order to determine the extent to which its expectations have been met; reiterates its request to be further involved in such process;
41	Is of the view that the Union must do its utmost to work with the Iraqi authorities, the United Nations and other relevant regional actors to contribute to Iraq's constitutional process in the wake of the general elections held on 15 December 2005; welcomes the CFSP joint action on the European Union Integrated Rule of Law Mission for Iraq and asks for further actions to be financed under the EU's budget; supports the opening of a Commission delegation in Baghdad in the coming months;
42	Is of the view that promotion of national solidarity, stability, peace and democratic and economic development which no longer depends on opium production must remain at the forefront of the Union's policy towards Afghanistan in the coming years; supports the expansion of the International Security Assistance Force (ISAF), under NATO command, in order to enhance the role of the newly elected national parliament, but stresses that the current priority is to fight terrorism and to ensure the security of borders, and with that in mind urges that this assignment be placed under a clear UN mandate; is of the opinion that the Enduring Freedom operation carried out by the US should not be merged with ISAF's reconstruction mission; considers it necessary for the European Union to give particular support for the development of strong national state institutions, the economic, social and cultural development of the country, the disarming of private militias and measures to combat drugs cultivation and trade;
43	Recalls its longstanding support for a negotiated solution whereby Iran would become an active partner in the region, respectful of human rights; reiterates its call on Iran to take all necessary steps to restore the international community's confidence in line with Parliament's proposals in paragraph 46 of its resolution of 17 November 2005
44	Underlines that making a real success of the IVth EU-LAC (Latin America and the Caribbean) Summit to be held in Vienna in May 2006 is a decisive challenge for both partners, and indeed that the Summit represents a good occasion to give specific substance to their Strategic Association in order to get the most from its immense potential; is of the view that care should be taken to avoid sending any negative financial signal in the Summit year;
45	Regrets that, often, its resolutions and reports concerning the different geographical areas of interest to the Union have not been taken into account by the Council and the Commission; stresses that they contain valuable contributions to the debate on the way in which the Union's policy vis-à-vis those geographical areas should evolve; calls for the human rights and democracy clause to be extended to all new agreements between the European Union and third countries and considers that there is a need for greater involvement of the European Parliament in the drawing-up of the respective negotiating mandates for such agreements;
46	Pending ratification of the Constitutional Treaty, is of the view that the Interinstitutional Agreement of 6 May 1999 should be revised as soon as possible in order to adjust it to the new political, institutional and financial situation of the Union;
47	Proposes that the structure of the revised Interinstitutional Agreement should take into account the actions to be undertaken by the Union in accordance with the European Security Strategy and the budgetary compromises to that end contained in the Financial Perspectives;
48	Considers that the Council's position on the financial perspective 2007-2013 does not reflect the ambitions of the EU as a global partner; deplores the proposed reductions in the levels of spending on external actions and policies, both in themselves and as a proportion of total spending; believes that this sends out the wrong signal with regard to the EU's policy priorities and its preparedness to deliver the results in the field of the CSFP;
49	Recommends that the revised Interinstitutional Agreement should take a step forward and provide for the joint costs of military operations in the framework of the ESDP to be financed from the Community budget, thereby discontinuing the existing practice of Member States' subsidiary budgets or start-up funds;
50	"Suggests that the revised Interinstitutional Agreement should also provide that in the event of any future ESDP operations, and in opposition to existing rules such as the principle that ""costs lie where they fall"" or any other ad hoc arrangements such as the so-called ""ATHENA mechanism"", the joint costs of such operations should also be financed from the EU's budget;"
51	Instructs its President to forward this resolution to the Council, the Commission, the parliaments of the Member States, the Secretary-General of the UN, the Secretary General of NATO and the President of the Assembly of the Council of Europe.
