A	whereas the economic, social, financial and sovereign debt crises have not yet abated;
18	Points out that structural reforms can only yield results in the medium to long term and may not per se solve the recessionary spiral in which the EU currently finds itself;
19	Calls upon the Commission to include the EU2020 Strategy in the European Semester and to ensure that it is better reflected in the country-specific recommendations, such as policies aimed at tackling youth unemployment and combating poverty; notes that in many countries little or no progress is being made with regard to achieving the social and environmental targets of the EU2020 strategy, meaning that the EU as whole is not on track to make good on EU2020
20	Welcomes the important Commission initiative of 27 June 2012 to reinforce the fight against tax fraud and evasion; stresses that enhanced efforts in this area – at national and EU levels as well as in relation to third countries – should be a crucial element in programmes aimed at consolidating public finances; calls for the raised level of ambition signalled by the initiative to be fully materialised in future legislative proposals and to be clearly reflected in the continuous work within the framework of the European Semester;
21	Encourages the Member States to strictly follow the rules set by the Stability and Growth Pact, as modified by the ‘six-pack’, by pursuing differentiated growth-friendly fiscal consolidation taking into account country-specific circumstances, and to render public finances more resilient and ensure that the European economy becomes more sustainable as well as to reduce pressure from the banking sector;  firmly believes that the sustainability of fiscal discipline and fiscal institutions at both national and sub-national level should be strengthened and that government expenditure should be shifted towards long-term investment, which would foster sustainable growth; calls on the Member States to avoid unwanted negative spill-over effects by facilitating compliance by other Member States, in particular by taking due account of recommendations made to other Member States when drawing up their own policies; 
22	Welcomes the end of excessive deficit procedures for several Member States; hopes that more procedures can be brought to an end in the near future; urges all political leaders to pursue such efforts and maintain their commitments while taking due account of the macroeconomic context;
23	Acknowledges the very demanding efforts that have been requested of all European citizens in recent years;
24	Urges all parties involved to speedily agree on the ‘two-pack’ to complement current legislation adopted in co-decision; 
25	Asks the parties involved in the Council decision-making process not to call the decisions into question shortly after their adoption;
26	Lauds the economic dialogue held so far between European Parliament and national representatives; emphasises the importance of this dialogue with a view to achieving a fully operational European Semester framework and attaining the necessary level of democratic accountability with regard to all those involved; reiterates its commitment to conducting further dialogues that must be an important element of enhanced Europe-wide debate on economic and social priorities and instruments; believes that economic dialogue constitutes a milestone towards enhanced democratic accountability regarding economic policy surveillance and coordination within the EMU;
27	Notes with concern that the European Parliament has been constantly marginalised in the main economic decisions resulting from the crisis, and considers that it must be involved in order to increase the legitimacy of decisions which affect all citizens;
28	Considers it essential to enhance the Semester’s legitimacy and to clear up the remaining legal ambiguities which may otherwise give rise to institutional conflicts in the future, including the superimposition and duplication of competences and responsibilities, and the lack of clarity and increased complexity of the EU’s institutional framework;
29	Regrets that parliamentary scrutiny plays only a minor role in the process, and stresses that the European Semester must in no way jeopardise the prerogatives of the European Parliament and the national parliaments;
30	Calls on the Commission to report on the progress made regarding the call issued by Parliament in its resolution of 1 December 2011 on the European Semester for Economic Policy Coordination for ‘the Commission to ask civil society and social partners to contribute an annual shadow report on the progress of the Member States regarding the headline targets and the implementation of measures proposed in the NRPs’;
31	Calls on the Commission and the Council to agree on concrete measures that improve the participation and involvement of the social partners, NGOs and local authorities in the formulation and implementation of sustainable policies in the framework of the European Semester, at both national and European level; welcomes the fact that the Cypriot Presidency has identified this challenge as one of its priorities;
32	Underlines the need to strengthen the working methods of the Eurogroup so as to increase its overall accountability towards the European Parliament; further believes that a move towards a stronger Community approach is needed;
33	Is of the opinion that the economic dialogue should be extended along the lines of the monetary dialogue with the ECB, to include regular discussions between the European Parliament, the Commission and the ECOFIN President on the preparation of and follow-up to the Annual Growth Survey and the Country-Specific Recommendations;
34	Reiterates the need to involve Parliament – the only supranational European institution with electoral legitimacy – in economic policy coordination;
35	Recalls that the European Parliament must be recognised as the appropriate European democratic forum for providing an overall evaluation at the end of the European Semester; believes that, as a sign of this recognition, representatives of the EU institutions and the economic bodies involved in the process should provide information to Members of the European Parliament when asked to do so;
36	Reiterates its urgent call to take action to improve the stability of the financial system in the euro area, to foster the creation of a genuine Economic and Monetary Union built on enhanced democratic legitimacy and accountability, and to implement the EU 2020 strategy; recalls that such action is needed to regain stability worldwide since the Union is a decisive global player; urges all political leaders to take the measures necessary to reach this goal;
37	Recalls that the recommendations by the Commission are a contribution to the Spring Council;
38	Recalls that any decision of the Council not to follow the Commission’s recommendations should be duly explained and be accompanied by a full explanatory statement; welcomes the ‘comply or explain’ principle introduced by the ’six pack’ regarding Country Specific Recommendations; believes that such a clause will increase the transparency and scrutiny of the EU Semester process;
39	Building on the European Semester for economic policy coordination (as codified in Regulation (EC) No 1466/97) the Commission should present a framework regulation specifying the role (including timelines) of the Member States and the EU institutions under the various steps of the Semester cycle;
40	Welcomes the Commission communication entitled ‘Towards a job-rich recovery’ (
41	Deplores the fact that, despite their political commitment during the 2012 Spring European Council and the Commission’s guidance in the Employment Package, most Member States did not submit a National Job Plan (NJP) as part of their 2012 NRPs; considers it regrettable that the Commission has not made this a commitment which must be respected by the Member States, and urges it to call on the Member States to deliver their NJPs as soon as possible; calls, furthermore, for NJPs to include comprehensive measures for job creation and green employment, a link between employment policies and financial instruments, labour market reforms, a clear timetable for rolling out the multiannual reform agenda over the next 12 months and an indication of both the fields and regions experiencing specialisation shortages and surpluses; calls on the Commission to follow up its plan for a labour market monitoring system based on objective data and for an individual tracking scheme for countries that do not comply with country-specific recommendations;
42	Proposes that the Commission oversee the preparation of NJPs;
43	Points out that social economy enterprises are part of the European social model and the single market and therefore deserve strong recognition and support, and that their specificities need to be taken into account when designing European policies; reiterates its call on the Commission to draw up a framework for the social economy, recognising its components and involving both the Member States and stakeholders in order to encourage the exchange of best practices, as it is an important element of the European social model and the single market;
44	Stresses the importance of ensuring greater social cohesion, without neglecting cooperation by companies in achieving this, which could be encouraged notably by allowing them to promote their innovative and virtuous actions in social matters through a label which would attract new investors and promote the development of a European social model in the long term;
45	Welcomes the recognition of the importance of access to finance for SMEs, as they are the cornerstone of employment and job creation within the EU and have significant potential for addressing youth unemployment and the gender imbalance; urges the Member States to make access to finance for SMEs an absolute priority in their national growth plans;
46	Regrets that the Council failed to take into account Parliament’s call for a focus on job quality in its guidance for 2012; agrees with the Commission that all employment contracts should give workers access to a core set of rights, including pension rights, social protection and access to lifelong learning; calls on the Commission to include job quality, training and advanced training, core workers’ rights, and support for labour market mobility, self-employment and cross-border mobility by increasing security for workers in transition between jobs in the 2013 AGS;
47	Calls on the Member States to combat the existence and proliferation of non-decent labour contracts and false self-employment and to ensure that people with temporary or part-time contracts or who are self-employed have adequate social protection and access to training and, when feasible, advanced training, and to implement related framework agreements;
48	Calls for labour market flexibility to be improved by introducing modern forms of employment contract; recognises that part-time employment is often the choice of the employee, especially among women;
49	Welcomes the recommendations addressing the low participation of women in the labour market; notes, however, that a broader gender equality perspective going beyond employment rates is missing; calls on the Commission to address labour market segregation, unequal distribution of care responsibilities and the effects of fiscal consolidation on women in its policy guidance;
50	Calls on the Commission and the Member States to address the low labour market participation of disadvantaged groups, including people belonging to minorities (e.g	Roma), coming from the poorest micro-regions or living with disabilities; calls on the Commission and the Member States also to address the unequal distribution of jobs between regions and social groups and the effects of fiscal consolidation on vulnerable social groups;
51	Notes that recommendations have been made to several Member States regarding wages; stresses that wages are, above all, the income that workers need to live on; stresses that the Commission’s practice of determining wage formation and wage levels in programme countries may increase the risk of in-work poverty or wage inequalities which harm low-income groups; calls on the Commission to step up policy guidance to those Member States in which wages have stagnated in comparison with productivity levels, while respecting the autonomy of the social partners, as protected inter alia in Articles 152 and 153(5) of the Treaty on the Functioning of the European Union (TFEU);
52	Welcomes the increased focus of the Commission and the Council on combating youth unemployment; calls on the Commission to propose, without prejudice to national legislation, a binding European Youth Guarantee without delay, in order to improve effectively the situation of young people who are not in employment, education or training (NEET) and to gradually overcome the problem of youth unemployment in the EU; stresses that the European Youth Guarantee requires specific European financial support, especially in those Member States with the highest youth unemployment rates, and calls for some of the unspent Structural Funds to be deployed for this purpose; calls on the Council to swiftly decide on the proposals in the Employment Package;
53	Welcomes the inclusion of the recommendation to tackle the social consequences of the crisis in the 2012 guidance and the increased focus on combating poverty in the country-specific recommendations; is gravely concerned, however, about the increase in poverty (including in-work poverty and poverty among elderly people) and unemployment in the EU; calls on the Member States to raise their ambitions, to step up the measures they are taking to combat poverty, and to follow up closely on the Commission’s recommendations; calls on the Commission explicitly to address in-work poverty, poverty among people with limited or no links to the labour market and poverty among elderly people in the 2013 AGS; emphasises that Article 9 of the TFEU needs to be mainstreamed throughout the European Semester;
54	Reiterates the need to require additional commitments from the Member States in the social field, giving the EU the responsibility of implementing the priorities chosen in a context of growth and social cohesion within the single market;
55	Stresses the urgent need to develop new tools to fight social imbalances and unemployment in Europe;
56	Calls on the Member States and on the European Council to involve social and health ministers in the European Semester process and at all stages of the NRP process, as this would involve strengthening the role of the Employment, Social Policy, Health and Consumer Affairs Council (EPSCO), which is necessary as the issues of pensions, wage policies and the tax wedge on labour fall within its mandate;
57	Calls on the Commission to report on the use of a common, uniform set of benchmarks across the EU for assessing the NRPs; stresses that standards and data should reflect social inclusion and environmental sustainability, in addition to economic data; calls on the Commission to encourage the Member States to use social indicators and data that measure progress and development which go beyond the measure of GDP, as this is crucial in order to measure progress on reaching the Europe 2020 targets;
58	Urges the Commission, in its next AGS, to fully address and underline the role of the EU budget in the European Semester process by providing factual and concrete data on its triggering, catalytic, synergetic and complementary effects on overall public expenditure at local, regional and national levels; believes, moreover, that funding at EU level can generate savings for the Member States’ budgets and that this should be emphasised; considers that in terms of stimulating growth and boosting job creation, as well as successfully reducing macroeconomic imbalances throughout the Union, the EU budget has a vital role to play;
59	Urges the Council, during negotiations on the 2013 EU budget, to accept a political and public debate on the level of appropriations needed to implement the ‘Compact for Growth and Jobs’ adopted at the June 2012 European Council; expresses its strong concern at the position repeatedly taken by the Council to reduce artificially the level of payment appropriations available in the EU budget, which would jeopardise the EU’s ability to meet its legal and political commitments; calls, once more, on the Council to agree with Parliament and the Commission on a common method to assess real payment needs; underlines the urgency of the situation, especially in headings 1A and 1B (competitiveness for growth and employment / cohesion for growth and employment), as well as in rural development funds;
60	Calls on the Member States to fully seize the possibilities agreed in the ‘Compact for Growth and Jobs’ to consider reallocations within their national structural and cohesion fund envelopes (EUR 55 billion) in support of research and innovation, SMEs (including facilitating their access to EU funds) and youth employment; calls on the Commission to provide, in its AGS 2013 to be published in November 2012, a full and complete picture of what has been achieved in that respect;
61	Emphasises, moreover, that the ‘Compact for Growth and Jobs’ expressly invites Member States to use part of their structural fund allocation to work with the EIB on loan risk and loan guarantee facilities for knowledge and skills, resource efficiency, strategic infrastructure and access to finance for SMEs; is of the opinion that Member State authorities should seek to maximise the growth potential offered by other already agreed EU initiatives financed by the EU budget, such as the pilot phase for project bonds, the various existing EU innovative financial instruments in place since 2007 in the field of research innovation, support to SMEs or microcredit schemes; underlines, furthermore, the increased EIB lending capacity for the period 2012-2015; believes that, if properly combined and implemented, all these measures could form the foundations of an EU investment programme for the years to come with a dramatically positive effect on GDP and employment in the EU-27, with some academics estimating a GDP increase of 0,56 % and 1,2 million additional jobs;
62	Calls, therefore, on the Member States neither to consider their national GNI contribution to the EU budget as an adjustment variable in their consolidation efforts, nor to seek to reduce artificially the volume of the EU budget’s growth-enhancing expenditure contrary to the political commitments they have made at the highest level; is, however, aware of the economic tension between the need to consolidate public finances in the short run, on the one hand, and any potential increase for some Member States in their GNI-based contribution brought about by an increase in the level of payments in the EU budget; restates, therefore, its strong calls for reform of the financing of the EU budget – to be agreed in the framework of the 2014-2020 MFF negotiations – by reducing the share of Member States’ GNI-based contributions to the EU budget to 40 % by 2020, thereby contributing to their consolidation efforts
63	Asks the Commission, moreover, to explore the possibility of excluding the GNI-based contribution to the EU budget from the calculation of the structural deficit as defined in the two-pack;
64	Warns that, in the context of the negotiations on the multiannual financial framework for 2014-2020, lowering the level of the EU budget, given its role as a catalyst for investment, would have an adverse effect on the creation of growth and jobs in the Union;
65	Urges the Commission to make single market governance a key priority, since it contributes substantially to reaching the targets of the European Semester, namely sustainable economic growth and employment; takes the view that the Commission’s country-specific recommendations should, at the same time, offer the Member States more practical solutions for improving the functioning of the single market, so that stronger public support and political commitment are created to encourage the completion of the single market;
66	Calls on the Council and the Commission to link the European Semester to the Single Market Act in order to secure the coherence of European economic policy and the creation of sustainable growth;
67	Emphasises that the initiatives taken in the framework of the Single Market Act must be consistent with, and contribute to, achieving the objectives of the seven flagship initiatives of the Europe 2020 Strategy for smart, sustainable and inclusive growth;
68	Calls on the Commission to coordinate the annual report on the integration of the single market with other single market monitoring instruments, such as the Internal Market Scoreboard, in order to avoid overlap and to produce efficient and clear recommendations and to secure the coherence of European economic policy;
69	Lauds in this context the Commission’s proposal to define country-specific recommendations relating to the single market, especially concerning correct transposition of legislation and transposition deadlines; calls on the Commission to step up its actions in ensuring the proper implementation and enforcement of EU legislation in the Member States by making determined use of all its powers;
70	Urges the Commission and the Member States to give priority to the adoption of the 12 key actions of the Single Market Act, as an important contribution to strengthening the Single Market in a comprehensive and balanced manner;
71	Considers that close cooperation between the European Parliament and the national parliaments, pursuant to Article 9 of Protocol No 1, is essential in order to establish the necessary democratic legitimacy and national ownership of the Semester process; calls for a reinforcement of the dialogue between the European and the national levels, respecting the division of labour between them;
72	Considers that in addition to ensuring cooperation between parliaments, it is also necessary to make greater efforts to communicate with the citizens and actively include them in the process;
73	Takes the view that, in order to reduce concerns over legitimacy, the national parliaments should play a more active role in the process, and suggests that the Member States adjust their internal procedures so that the national parliaments can be involved in the discussion of their countries’ fiscal and reform plans before their submission to the EU; 
74	Reiterates its call on the Member States to integrate a gender equality perspective into the European Semester process, as well as to put more focus on training within labour-market policies by taking into account women’s needs and situation when implementing the policy guidance given in the Annual Growth Survey; commends those Member States that have mainstreamed the gender dimension throughout their National Reform Programmes (NRPs) but regrets that many Member States have omitted any mention of gender; calls on the Commission to propose to the Member States a uniform format and criteria for integrating a gender equality perspective into the NRPs;
75	Calls on the Member States to set specific quantitative targets in their respective NRPs in line with women’s employment statistics, and to take specific measures targeting vulnerable groups of women (such as young, migrant, disabled and single mothers);
76	Recalls that the gender pay gap is still an issue in the EU and that it also affects the level of pensions that women later receive, which may consequently result in women finding themselves below the poverty line; calls, therefore, on the Member States to set qualitative targets in NRPs related to closing the gender pay gap, thus reducing both the unfair treatment of women pensioners and the poverty vulnerability of elderly women;
77	Instructs its President to forward this resolution to the European Council, the governments of the Member States, the Commission, the national parliaments and the European Central Bank.
