A	whereas seven countries have an outlet to the Adriatic and Ionian seas
M	whereas a number of valuable regional schemes to promote scientific cooperation aimed at securing responsible fishing in the Adriatic Sea, such as Adriamed
N	whereas many Member States do not have specific national or regional development plans that regulate installations in coastal and marine areas and that clearly identify the zones available for aquaculture plants, thereby preventing easily foreseeable conflicts of interest with other economic sectors, such as tourism, agriculture and coastal fishing;
O	having regard to the Adriatic Protected Areas Network (AdriaPAN), the purpose of which is to optimise the management and planning of those areas through partnership;
P	whereas the development of an integrated approach to maritime policies in the Adriatic and Ionian seas needs to be accompanied by a dialogue and partnership process with all coastal states, given the transboundary nature of marine activities and shared resources;
1	Points out that, following the entry into force of the Lisbon Treaty, Parliament now has full co-legislative powers in the fisheries and aquaculture sector and intends to play its full part in shaping fisheries policy at EU level, as well as at regional and trans-regional level;
2	Believes that a strategy for the Adriatic and Ionian seas should make particular reference to the sustainable development and growth of the fisheries and aquaculture sector, including employment;
3	Believes that a strategy for the Adriatic and Ionian seas should strive to ensure the preservation and protection of the environment;
4	Welcomes the Commission communication of 3 December 2012 as an important step towards the adoption of a legislative framework that will foster closer cooperation between the countries and regions along the shores of the Adriatic and Ionian seas, with a view to ensuring that fishing is carried out in a responsible manner and is economically viable for coastal communities;
5	Believes, in this context, that the Integrated Maritime Policy (IMP) should play a vital role in developing a long-term strategic policy in the Adriatic and Ionian seas, aiming at sustainable marine and maritime growth and the preservation of marine ecosystems for future generations;
6	Believes further that maritime spatial planning – as the public process for analysing and planning the spatial and temporal distribution of human activities in the Adriatic and Ionian Sea areas, in particular in the north of the Adriatic Sea – is vital for the sustainable future of the fishing sector in relation to other related activities;
7	Reiterates its support to the introduction of a macro-regional strategy for this important maritime area, with a view to addressing the shared challenges and problems faced by the inhabitants of the coastal regions concerned and to promoting economic development and European integration in the area;
8	Takes the view that all EU programmes and funding instruments
9	Firmly believes that all efforts that are made to secure responsible, sustainable fishing in the Adriatic-Ionian sea basin can act as a catalyst for the development of coastal and rural areas in the countries concerned, and foster the development of combined economic activities – such as fishing tourism, in which professional fishermen take tourists or researchers out on fishing trips – which remain fully in keeping with the principle of practising a sustainable form of fishing that conserves the local environment and biodiversity;
10	Considers that the Barcelona Convention and its Protocol on Integrated Coastal Management, which entered into force in March 2011, could serve as a model to render an integrated policy compulsory for Member States bordering on the Adriatic and Ionian seas;
11	Considers the data available on Adriatic-Ionian fish stocks, their movements and their distribution, as well as on recreational fishing, to be unsatisfactory, and calls, accordingly, on the relevant authorities and research bodies to make good the shortcomings at the earliest opportunity;
12	Calls on the Commission to take further measures to promote research programmes relating to the marine environment and fisheries, and to encourage the utilisation and dissemination of the findings of this research;
13	Takes the view that successful schemes for cooperation in commercial matters between administrative bodies from various regions
14	Endorses the participation of all stakeholders for the development of a sustainable and productive fisheries sector in this area;
15	Considers it essential, with a view to ensuring the sustainable development of the fisheries and aquaculture sector throughout the Adriatic-Ionian sea basin and to boosting employment in coastal areas, for the vital work carried out by women in the fisheries sector to be given proper recognition, for it to be made easier for women to gain professional qualifications and for women to be included in coastal action groups and producer organisations;
16	Calls for incentives that can attract young people to the fisheries and aquaculture sectors in this area and encourage them to engage in these activities;
17	Points out that Parliament has already in the past drawn attention to the need for simpler, more consistent and more transparent aquaculture legislation that removes the barriers which, to date, have prevented the potential of the EU's aquaculture sector from being fully exploited, and that this will require the establishment of clear and consistent EU and national rules, together with the drafting of clearly defined marine and coastal development plans by the Member States, in line with the guidelines recently adopted by the GFCM
18	Points out that the targeted development of the aquaculture sector could generate non-seasonal jobs in Adriatic-Ionian coastal regions, which are heavily dependent on the summer tourist trade, thus giving a significant boost to employment in the area;
19	Stresses that the expansion of aquaculture activities must not jeopardise the achievement of good environmental status under Directive 2008/56/EC and shall be carried out in full compliance with all relevant Union environmental legislation;
20	Points out that the only way of ensuring that fish stocks and the marine environment can be protected against pollution and over-fishing and/or illegal fishing is to set up an integrated network of maritime activities information and monitoring systems, in close cooperation with the states and coastal regions affected; 
21	Urges the coastal countries of the Adriatic-Ionic sea basin to cooperate in drafting a global overview of the area's specific geo-physical and bathymetric features, the presence and distribution of the various marine species and the different fishing techniques, in order to obtain an overall perspective to serve as a basis for improved fisheries management and help strengthen fisheries activity within the framework of any future macro-regional strategy; 
22	Urges the Commission to adopt, at the earliest opportunity and by 2013 at the latest, the action plan for the practical implementation on a macro-regional basis of the maritime strategy for the Adriatic Sea and the Ionian Sea, pointing out that the fisheries sector should form one of the priorities of that strategy, taking account of the specific geo-physical features and linking this plan of action to regional policy, the Union's integrated maritime policy and the Connecting Europe Facility, so as to maximise its leverage effect;
23	Calls on the Commission to submit, at the earliest opportunity, a proposal for a regulation laying down common technical measures for fishing in the Adriatic-Ionian sea basin and specifying the admissible fishing effort, fishing periods and fishing gears and other relevant management measures;
24	Regrets that the Member States have not made greater use of these individual management plans, which allow certain general rules to be suspended so that specific characteristics can be taken into account; considers that this would have considerably facilitated local management and would have provided valuable data on the situation in the different zones, making it possible to introduce appropriate changes; asks, therefore, the coastal Member States to collaborate constructively with each other and with the Commission in updating and continuously adapting fisheries management measures;
25	Calls on the Commission to establish an ongoing dialogue with the non-EU countries of the Adriatic-Ionian sea basin, with a view to concluding bilateral or multilateral agreements with the aim of advancing towards a harmonisation and standardisation of the rules for fisheries management in order to achieve the objectives of the EU Common Fisheries Policy CFP in the Mediterranean while taking full advantage of the framework for collaboration provided by the international and regional fisheries organisations; points out that a strategy for the Adriatic and Ionian seas can only be of added value if all bordering countries, EU and non EU-countries alike, are taken into account;
26	Calls on the Commission to promote CFP objectives, notably the goal of achieving above maximum sustainable yield (MSY) for all fish stocks by 2020 at the latest, and to encourage the employment of an ecosystem-based approach vis-à-vis non-EU countries;
27	Calls on the Commission to step up exchanges of best conservation practice, in cooperation with the coastal states, and to promote the establishment of marine protected areas for the recovery of the most threatened species;
29	Calls, in this regard, on the Commission to encourage those Member States bordering on the Adriatic and Ionian seas to develop and implement marine strategies that take an eco-system-based approach and that ensure the integration of environmental concerns into the different policies that have an impact on the marine environment, taking into account the trans-boundary effects on the quality of marine waters of neighbouring third countries;
30	Recalls that funding exists, both under the future European Maritime and Fisheries Fund (EMFF), through its data collection programmes, and within the framework for the Union's various research programmes, for improving knowledge of the marine environment, including fish species, and for introducing greater innovation and better practices in fisheries activity; calls, therefore, on the Member States to put forward projects in these areas, and considers that advance cooperation among the various coastal countries, whether or not they belong to the EU, can lead to extremely interesting initiatives able to benefit the whole of the Adriatic-Ionian basin, through projects presented by the Member States;
31	Calls on the Commission to consider whether a specific funding line for implementation of the measures and objectives laid down for this strategy should be created in cooperation with the European Investment Bank (EIB), drawing on the experience gained with the FEMIP
32	Calls on the Commission to propose that specific advisory bodies for the Adriatic Sea and the Ionian Sea should be set up within the Regional Advisory Council (RAC) already established for the Mediterranean area, drawing on the positive experience gained with the ‘maritime districts’ that have been set up in Italian waters
33	Calls on the Commission to include in the future legislative proposal on maritime spatial planning provisions obliging maritime Member States to make inventories of the environmental and tourism protection rules in force on their respective national territories and, in respect of areas not subject to restrictions, to adopt marine and coastal development plans establishing the admissibility and compatibility of the use and occupation of these areas, with a view to facilitating access to areas suitable for setting up aquaculture undertakings;
34	Calls on the Commission to establish a specific Work Plan for the Adriatic and Ionian Seas, setting out the future objectives in that region as is currently undertaken in the Mediterranean Sea (IMP-MED project); stresses that this Work Plan should be seen as a project eligible for funding under the EMFF;
35	Urges the Commission to create a toolbox of sanction measures to ensure that a Member State that does not fulfil its data collection and transmission obligations, or is unable to tackle problems with illegal, unreported and unregulated (IUU) fishing in its waters or by its fishing fleet, can be sanctioned;
36	Instructs its President to forward this resolution to the Council and the Commission.
