A	whereas relaunching the Single Market requires the active support of all citizens
19	Urges the Commission to launch an information and education campaign on the essence of the single market and the objectives set in order to increase its dynamism while incorporating the dimensions of social and regional cohesion; stresses the need for this communication campaign to favour better participation – and a better ability to participate – by each citizen, worker and consumer in bringing about a competitive, just and balanced market;
20	Considers that the use of the new collaborative tools and approaches of Web 2.0 offers an opportunity to achieve more open, accountable, responsive and efficient governance of the Single Market;
21	Takes the view that initiatives by single Member States cannot be effective without coordinated action at EU level, and that it is thus of fundamental importance that the European Union should speak with a strong single voice and implement common actions; considers that solidarity, on which the European social economy model is based, and the coordination of national responses have been crucial to avoiding protectionist measures of short duration by single Member States; expresses its concern that the re-emergence of economic protectionism at national level would most probably result in fragmentation of the internal market and a reduction in competitiveness, and therefore needs to be avoided; is concerned that the current economic and financial crisis could be used to justify reviving protectionist measures in various Member States, whereas the downturn calls for common safeguard mechanisms instead;
22	Takes the view that progress in the internal market should not be based on the lowest common denominator; encourages the Commission, therefore, to take the lead and come forward with bold proposals; encourages the Member States to use the method of enhanced cooperation in areas where the process of reaching an agreement among 27 is not achievable; notes that other countries would be free to join these spearhead initiatives at a later stage;
23	Believes that the overall efficiency and legitimacy of the Single Market suffers because of the complexity of Single Market governance;
24	Considers that more attention should be paid to the quality and clarity of EU legislation in order to facilitate the implementation of the Single Market rules by the Member States;
25	Considers that the use of regulations instead of directives where appropriate would contribute to a clearer regulatory environment and reduce the transaction costs associated with transposition; calls on the Commission to develop a more targeted approach to choosing legislative instruments, depending on the legal and substantial characteristics of the provisions to be implemented, while respecting the principles of subsidiarity and proportionality;
26	Encourages the Commission and the Council to intensify their efforts to implement the Smart Regulation strategy to further enhance the quality of regulation, fully respecting the principles of subsidiarity and proportionality;
27	Urges the Commission to continue independent ex-ante and ex-post evaluation of legislation with the participation of stakeholders to improve the effectiveness of legislation;
28	Suggests that the Commission systematises and refines the SME test, taking into account the diversity of their situations, to evaluate the consequences of legislative proposals on these businesses;
29	Believes that correlation tables contribute to better transposition and significantly facilitate enforcement of the Single Market rules; urges Member States to create and make publicly available correlation tables on all Single Market legislation; points out that in future Parliament may not include reports on compromise texts agreed with Council on the plenary agenda if provisions on correlation tables are not provided for;
30	Supports the proposals of the Single Market Act that aim at developing further administrative cooperation between the Member States, including extending the Internal Market Information (IMI) System to other relevant legislative areas taking into account the security and usability of the system; calls on the Commission to support Member States by providing training and guidance;
31	Considers that local and regional authorities could be involved in developing and expanding the Internal Market Information System after thorough evaluation of the benefits and problems such an expansion of the system may cause;
32	Stresses the importance of better communication and extension of the internal market information system as it is essential to provide SMEs in particular with clear information on the internal market;
33	Welcomes the Commission's intention to cooperate with Member States to consolidate and strengthen informal problem solving tools like SOLVIT, the EU Pilot project and European Consumer Centres; calls on the Commission to come up with a roadmap regarding the development and interlinking of different problem-solving tools to ensure efficiency and user friendliness and avoid unnecessary overlaps; calls on the Member States to provide these problem-solving tools with adequate resources;
34	Calls on the Commission to further develop and promote the Your Europe website so that it offers a single gateway to all the information and help services citizens and businesses need to make use of their rights in the single market;
35	Calls on Member States to develop points of single contact under the Services Directive into user-friendly and easily accessible e-Government centres where businesses can obtain all the necessary information in the relevant EU languages, deal with all formalities and complete the necessary steps by electronic means in order to provide services in the respective Member State;
36	Acknowledges the important role of EURES in facilitating the free movement of workers within the Union and ensuring close cooperation between national employment services; calls on the Member States to increase public awareness of this useful service to enable more EU citizens to fully benefit from employment opportunities across the EU;
37	Calls on the national Parliaments, regional and local authorities and social partners to take an active part in communicating the benefits of the Single Market;
38	Calls on the Commission to use all powers under the Treaties to improve transposition, application and enforcement of the rules of the Single Market to the benefit of European citizens, consumers and businesses; calls on the Member States to step up their efforts in order to fully and correctly implement Single Market rules;
39	Believes that the infringement procedure remains a key tool to ensure the functioning of the single market, but stresses that consideration should be given to additional instruments which are less time-consuming and cumbersome;
40	Calls on the Commission to resist any political interference and immediately launch infringement procedures where pre-litigation problem-solving mechanisms fail;
41	Notes that the recent Court of Justice case law opens new scenarios for the Commission to pursue ‘general and structural infringements’ of Single Market rules by Member States;
42	Calls on the Commission to make full use of the changes introduced by Article 260 of the TFEU which are designed to simplify and speed up the imposition of financial penalties in the context of infringement proceedings;
43	Believes that the Commission should take a more active role in the enforcement of Single Market rules, by carrying out more systematic and independent monitoring in order to speed up and expedite infringement proceedings;
44	Regrets that too many infringement proceedings take a long time before they are closed or brought before the Court of Justice; asks the Commission to set a benchmark of 12 months for the maximum average time taken to process infringements, from opening the file to sending the application to the Court of Justice; deeply regrets that such procedures have no direct effect on EU citizens or residents who may have been victims of lack of EU law enforcement;
45	Asks the Commission to provide better information, in a transparent manner, about ongoing infringement procedures;
46	Calls on the Commission to propose a benchmark for Member States' compliance with the rulings of the Court of Justice;
47	Supports the Commission's initiatives to further improve the use of alternative dispute resolution (ADR), with a view to ensuring quick and efficient access to simple and low-cost out-of-court dispute resolution for consumers and enterprises in national and cross-border disputes involving both online and offline purchases; welcomes the consultation launched by the Commission; insists on the necessity of better information for citizens on the existence of ADR;
48	Calls on the Commission to focus also on the prevention of disputes, for example through stronger measures that prevent unfair commercial practices;
49	Welcomes the Commission's intention to launch a public consultation on a European approach to collective redress, and opposes the introduction of collective redress mechanisms along the lines of the US model, which contains strong economic incentives to bring unmeritorious claims to court;
50	Notes that any proposal on collective redress for infringements of competition law must respect Parliament's view expressed in its resolution of 26 March 2009 on damages actions for breach of the EU antitrust rules; insists that Parliament must be involved in the adoption of any such act by means of the ordinary legislative procedure and calls on the Commission to consider the case for minimum standards in relation to the right to compensation for damage resulting from a breach of EU law more generally;
51	Supports a focused and evidence-based approach to market monitoring and evaluation; invites the Commission to continue developing its market monitoring tools, such as that of the alert mechanism in the Services Directive, by improving methodology, indicators and data collection, whilst observing the principles of practicality and cost-effectiveness;
52	Points out the need to evaluate the state of implementation of all Single Market legislation by Member States in a faster and clearer manner;
53	Highlights the mutual evaluation provided for in the Services Directive as an innovative way of using peer pressure to improve the quality of transposition; supports where appropriate using mutual evaluation in other areas, e.g	in the area of free movement of goods;
54	Encourages Member States to regularly review national rules and procedures which have an impact on free movement of services and goods in order to simplify and modernise national rules and remove overlaps; considers that the process of screening national law used for the implementation of the services directive could be an efficient tool in other areas to remove overlaps and unjustified national barriers to free movement;
55	Urges the Commission to support the efforts of the public sector to adopt innovative approaches, exploiting new technologies and procedures and disseminating best practices in the public administration which will lower bureaucracy and embrace citizen-centred policies;
56	Asks that each spring session of the European Council should be devoted to assessing the state of the Single Market, backed by a monitoring process;
57	Calls on the Commission to publish a Green Paper on guidelines for the consultations of the EU institutions with representative associations and civil society ensuring that these consultations are broad, interactive, transparent and add value to the proposed policies;
58	Urges Member States to create and make publicly available correlation tables on all Single Market legislation;
59	Calls on the Member States to reduce the transposition deficit of Single Market Directives to 0.5%for outstanding legislation and 0.5% for incorrectly transposed legislation by the end of 2012;
60	Calls on the Commission to submit a legislative proposal on the use of alternative dispute resolution in the EU by the end of 2011 and underlines the importance of its quick adoption;
61	Instructs its President to forward this resolution to the Council and the Commission and to the governments and parliaments of the Member States.
