A	whereas the wind of protectionism blowing across Europe is alarming,
16	Stresses that retail planning should provide a structural framework for companies to compete, enhance consumers' freedom of choice and allow access to goods and services, especially in less accessible and sparsely populated regions or when consumers' mobility is reduced; insists furthermore on the social, cultural and environmental role played by local shops and markets in the revitalisation of rural and urban areas; urges therefore Member States to encourage sustainable local communities by fostering innovation and growth of SMEs;
17	Stresses that SMEs constitute the backbone of the European economy and have a unique role to play in creating jobs, particularly in rural areas, as well as fostering innovation and growth in the retail sector in local communities across the EU;
18	Considers that accessibility must be addressed in full respect of subsidiarity;
19	Recognises that the Member States are responsible for their shop location policies and that sustainability, mobility, regional planning and core consolidation are major factors which must be taken into account in deciding on the admissibility of new shop locations;
20	Takes the view that incentives to renovate the urban building stock, also by using the Structural Funds, could enable rents to be reduced (public-private partnership) and could facilitate the return of businesses, particularly local ones, which are instrumental to economic and social development;
21	Calls on the Commission, in cooperation with the Member States, to draw up a survey of the impact and possible consequences of the creation of hypermarkets or shopping malls with regard to the employment market, SMEs and consumers; 
22	Notes the great concern expressed by itinerant street vendors operating in public areas over the possibility that Directive 2006/123/EC might be enforced in the Member States, extending the concept of ‘natural resource’ also to public land, which would result in trading concessions in public areas being limited in time; this would be highly detrimental to employment, to consumers' freedom of choice and to the very existence of traditional local street markets;
23	Emphasises that e-commerce is an important complement to offline trade and that appropriate action must be taken to develop its full potential, including improving access to the Internet in the European Union's most remote areas; calls on the Commission to include in the upcoming communication on e-commerce measures to enhance confidence, in particular by simplifying registration of domains across borders, improving secure online payment, facilitating cross-border debt recovery and improving information to consumers on their rights, particularly concerning cancellations and opportunities to appeal;
24	Regrets the significant number of obstacles to retailers' freedom of establishment across the EU; is concerned, in particular, about certain national trade and tax laws, which have a de facto discriminatory effect against foreign retailers; 
25	Calls on the Commission to act more firmly with regard to any Member State infringing internal market principles, to speed up infringement procedures through a ‘fast-track approach’ and to report to the European Parliament yearly on resolved cases in the field of retail;
26	Reaffirms that free and fair competition, freedom of contract and proper enforcement of relevant legislation are key to a well-functioning retail market;
27	Recognises that companies have different market power, that they need to act in an economically sound way and that the EU needs economic champions to compete globally; 
28	Stresses, however, that there is widespread concern about market dominance by bigger actors, who are often perceived to impose unfair terms on weaker suppliers and retailers, for instance through unjustified mechanisms of selective distribution, geographical segmentation, price control, delisting without notice, and other restrictive practices, thereby distorting competition; underlines that the entire retail supply chain is affected by such practices; denounces practices that misuse power imbalance between economic actors and affect true freedom of contract; stresses that raising all actors' awareness of their contractual rights, especially SMEs, would contribute to preventing these practices;
29	Recognises that franchising is a good formula for independent retailers to survive in a highly competitive environment; notes with concern that the contracts for retailers to be part of a franchise are becoming more and more rigorous;
30	Emphasises that private labels should be developed in such a way as to deliver improved consumer choice, notably in terms of transparency, quality of information and diversity, and to provide clear opportunities for SMEs to innovate and expand;
31	Considers that ‘parasitic copying’, which can result, inter alia, from the retailer's dual role as the customer and competitor of brand manufacturers, is an unacceptable practice that should be addressed without delay; welcomes the fact that the Commission is conducting an analysis to further clarify the legal frameworks and practices relating to trade secrets and ‘parasitic copying’ within the 27 EU Member States;
32	Recognises the need for more balanced relations and transparency in the retail supply chain; stresses the need to move from confrontation to dialogue based on facts, in order to restore confidence and enable fairer negotiations and a level playing field for all, thus enabling all economic actors in supply chains to benefit from the added-value of their products and reap the full benefits from the Single Market;
33	Urges the Commission and Member States to fully and coherently enforce competition law and, where applicable at national level, unfair competition and anti-trust law;
34	Stresses that, to ensure proper implementation of competition rules and prevent abuse of a dominant position, it is first and foremost necessary to strengthen the local competition watchdog authorities and ensure continuous and uninterrupted lines of communication and cooperation between them and the Commission's Directorate-General for Competition;
35	Supports the good work of the Experts Platform on B2B contractual practices of the High Level Forum for a Better Functioning Food Supply Chain, in particular to define, list and assess what constitutes a manifestly unfair commercial practice, based on data and concrete examples; calls for strong support of initiatives for dialogue between parties on this issue; is concerned that the European Parliament is not formally involved in the work of the Platform and the High Level Forum; considers that the Parliament should urgently address this matter and should actively participate in the Forum's work;
36	Supports the need expressed by stakeholders to take a broader and horizontal approach, extending the scope beyond the agro-food industry; asks the Commission and the business federations, building on the ongoing work in the Experts Platform, to explore the possibilities for creating a new, open-ended forum focusing on retail as a whole;
37	Strongly supports, at the same time, the intense work underway by retailers' and suppliers' federations to set up informal dialogue and regular consultation mechanisms in respect of competition law; welcomes their voluntary initiative to agree on a declaration on common principles of good trading practices across the retail supply chain; 
38	Also welcomes the Commission's European food prices monitoring tool as well as similar initiatives taken by Member States to allow fair revenues along the food supply chain, with an analysis of costs, processes, added value, volumes, prices and margins across all sections of the food supply chain;
39	Notes with concern that existing legal instruments are not being fully used, especially by SMEs, to uphold their rights, due to economic dependency and concern about losing business; asks the Commission, Member States and business federations to identify ways to restore confidence and facilitate access to judicial systems, including the possibility of anonymous complaints and the establishment of an EU Ombudsman in this area; is convinced moreover that it is necessary further to develop the conceptual framework so as to ensure fair competition in both vertical and horizontal B2B relations, thereby paving the way for a genuine level playing field for businesses;
40	Asks the Commission to publish, by the end of 2011, a communication mapping national laws and tools in place to deal with commercial practices and contractual relations, and to assess thoroughly if these rules are being properly enforced and if further action is needed;
41	Considers that alternative and informal dispute resolution and redress mechanisms should be explored and their effectiveness evaluated, as they could be a means of resolving disputes for retailers; calls on the Commission to propose measures on alternative dispute resolution by the end of 2011 in order to strengthen businesses' and consumers' confidence;
42	Asks the Commission and operators in the retail supply chain to report to Parliament on a yearly basis on progress made in the existing platforms and informal dialogue mechanisms; suggests that the results should be debated at a yearly Retail Market Roundtable organised by its Committee on the Internal Market and Consumer Protection;
43	Highlights the retail sector's responsibility concerning sustainability; welcomes the fact that retailers and suppliers have been at the forefront for green responsibility, particularly regarding waste, energy consumption, transport and CO
44	Emphasises that retailers and suppliers are drivers of innovation, research and development; stresses that the whole sector needs to continue driving up the level of investment in innovative technologies and practices to further improve competitiveness throughout the supply chain, covering logistics and transport, energy efficiency, packaging, waste disposal and product recycling, and to exchange best practices;
45	Calls on the Commission to develop a common assessment and labelling system, as indicated in its resolution on a single market for enterprises and growth, based on the product's whole life cycle, particularly in order to simplify, harmonise and overcome the cost of fragmentation for business and consumers;
46	Calls on stakeholders to take further initiatives to combat food waste;
47	Welcomes the joint agreement by EuroCommerce and UNI-Europa, which illustrates that social dialogue is working well in commerce; recognises that more needs to be done to increase consumer information on the social responsibility of retailers, to match investments in new technologies with human capital, in particular through competence development, and to combat the informal economy;
48	Recalls the importance of proper implementation of existing social and labour legislation; regrets the existence of a high degree of undeclared employment, which involves a high level of tax evasion and prevents a level playing field among traders in the internal market; 
49	Points out that improving working conditions, combating the informal economy and maintaining employment levels and competitiveness by better matching the needs of the retailers to the skills of the workers are among the main challenges in this sector; highlights, to this end, the need to invest in training and competence building as this will help the sector adapt quickly to new technologies;
50	Asks the Commission to prepare, in consultation with the retail sector, a comprehensive European Action Plan for Retail in order to set out a strategy, building on achievements and addressing outstanding issues, with sector-specific recommendations; welcomes the fact that Parliament has supported this initiative in its resolution on a single market for enterprises and growth; 
51	Stresses that this Action Plan should take into account initiatives already developed by the Commission, such as the High Level Forum on the Better Functioning of the Food Supply Chain, initiatives on sustainability and climate change, and relevant proposals of the Single Market Act;
52	Proposes that follow-up to the recommended actions in the Action Plan, including progress made in the dialogue among stakeholders, be presented and debated at the first Retail Market Roundtable;
53	Expects that the further optimisation of purchasing and sales processes throughout the retail supply chain, from market research and product marketing to supplier relations, logistics and stock management, as well as the handling of faulty goods, consumer complaints and custom care, will improve competitiveness in the retail sector, drive down prices for consumers and improve service quality;
54	Encourages retailers and suppliers to actively engage in an open, constructive and continued dialogue to reach pragmatic solutions; invites Member States and EU institutions to actively support this process;
55	Instructs its President to forward this resolution to the Council and the Commission, and to the governments and parliaments of the Member States.
