A	having regard to the substance of Article 280(1) and (2) of the EC Treaty,
22	Calls on the Commission to indicate, as regards the own resources sector, which further actions it will undertake to put a stop to the fraudulent importing of televisions, cigarettes and counterfeit goods in general; in this context, welcomes the fact that OLAF has been able to open an office in China; urges the Commission to step up the fight against counterfeiting; calls on the Commission to report back in the context of the annual report on the protection of the Communities' financial interests for 2007, which will be published in July 2008, on the initiatives and action taken on the basis of Parliament's resolution of 11 October 2007 on the implications of the agreement between the Community, Member States and Philip Morris on intensifying the fight against fraud and cigarette smuggling and the progress made in implementing the recommendations of Parliament's Committee of Inquiry into the Community Transit System
23	Considers it wholly unacceptable that for many years Germany and Spain have not been forwarding information to the Commission, in electronic form, on irregularities concerning agricultural expenditure; notes, furthermore, that these two countries are responsible for 38 % (EUR 33,2 million) of the irregularities and that Germany is no longer providing details of the individuals and companies involved, despite an obligation to do so; consequently, urges the Commission to start infringement procedures against these two Member States and to withhold 10 % of agricultural payments pending the procedure;  calls on the chairman of the Committee on Budgetary Control to send a letter to the Permanent Representations concerned requesting an explanation;
24	"Considers that a period of 39 months between the time when an irregularity is committed and the time when it is notified to the Commission is unacceptable, as such a delay makes recovery more difficult; asks the Commission what measures it has taken to call the Member States to order; notes that the Member States"" actions indicate a degree of complacency;"
25	Asks what measures the Commission has taken to reduce the number of irregularities in the rural development, beef and veal, and fruit and vegetables sectors;
26	Calls on the Commission to take a firm stance should Greece fail to comply with the action plan for introducing the IACS
27	Notes that, concerning structural actions, 84% of all irregularities were recorded in Italy (2006: EUR 228,2 million), Spain (2006: EUR 85,7 million), the United Kingdom (2006: EUR 59,8 million), Portugal (2006: EUR 37,2 million) and Germany (2006: EUR 27,2 million); notes, furthermore, that neither Germany nor Spain uses the electronic module of the Anti-Fraud Information System and that Germany does not send data on the individuals and companies involved; calls on the chairman of the Committee on Budgetary Control to send a letter to the Permanent Representations concerned requesting an explanation;
28	Considers that, in this context, the 2000-2006 programming period proved that overly complicated rules and ineffective supervisory and control systems contributed to the irregularities ascertained; points out, furthermore, that beneficiaries often received payments late; consequently, welcomes the improvements which Council Regulation (EC) No 1083/2006 of 11 July 2006 laying down general provisions on the European Regional Development Fund, the European Social Fund and the Cohesion Fund
29	Points out that in paragraph 11 of its resolution of 15 June 2006 on protection of the financial interests of the Communities and the fight against fraud - 2004 annual report
30	Considers that the Commission should attach particular importance to criminal networks specialising in the misappropriation of EU funds;
31	Calls on the Commission to provide Parliament's Committee on Budgetary Control with a detailed analysis of the system or systems used by organised crime, whether run on mafia lines or not, to undermine the Communities' financial interests;
32	"Expresses its deepest concern over the following finding of the President of the ECA: ""The supervisory and control systems in the Member States were generally ineffective or moderately ineffective, and the supervision of their operation by the Commission was only moderately effective"
33	"Calls, therefore, on the Member States to guarantee the quality of their supervisory and control systems by adopting, at an appropriate political level, a national declaration on management concerning all Community spending in shared management; calls on the Commission to give active support to this idea and to report on the progress achieved in its annual report on the protection of the Communities"" financial interests;"
34	Calls on the Commission to take the appropriate measures, possibly including infringement procedures, against those Member States which do not assist the Commission services in carrying out on-the-spot checks as provided for by Council Regulation (Euratom, EC) No 2185/96;
35	Calls on the Commission, in this context, to consider the inclusion of binding and precautionary elements in future EC legislation concerning shared management so that irregular payments can be recovered at the end of the recovery procedure, for example by a Member State placing a surety with the Communities in order for recipients to use European funds;
36	Points out that, concerning structural actions, more than EUR 1 000 million remains to be recovered for 2006 and previous years;
37	Emphasises the direct responsibility of Member States in recuperating funds the payment of which is affected by irregularities; reiterates its encouragement to the Commission to suspend interim payments to Member States in cases of serious irregularity; recognises the need to react appropriately to the insufficiency of management and control systems in the Member States and recalls that fraud and irregularities are prejudicial to the work of the European Union, particularly to structural projects;
38	Welcomes the fact that, as part of the European Transparency Initiative, information will be published about recipients of Structural Funds, and urges that a binding obligation be introduced in Member States to publish information about projects and recipients of funding from all Community funds under shared management;
39	Calls on the Member States to notify the Commission annually of the financial loss resulting from amounts definitively lost, which the Commission should include in its annual report;
40	"Calls also on the Member States"" competent authorities to inform the Commission, including OLAF, once a year, of court judgments on the fraudulent use of Structural Funds;"
41	"Calls on the Commission to take a position on the negative assessment of its work by the ECA and to explain what steps it has taken to improve, in the Member States, a situation which jeopardises the protection of the Communities"" financial interests;"
42	At the same time calls on the Commission to report back more often to the Member States, giving details of how it used the reported information as well as how it followed up the reported irregularities;
43	Notes that, concerning the use of pre-accession funds, Bulgaria (2006: EUR 1,7 million), Poland (2006: EUR  2,4 million), Romania (2006: EUR  5,5 million) and Slovakia (2006: EUR  1,9 million) accounted for 94% of irregularities; notes that, in this context, the Commission has stressed the need for a common interpretation and uniform application of guidelines and working documents; asks the Commission, therefore, to indicate what measures it has taken in this regard;
44	Calls on the Commission to make it possible for the Member States to identify more clearly, from the outset, those irregularities that are suspected of involving fraudulent misappropriation, since the Member States still have difficulties knowing precisely what constitutes an irregularity or a fraud and what needs to be reported to the Commission/OLAF, although they do comply with the quarterly reporting requirements;
45	Calls on the Commission to assist Member States in using OLAF's Anti-Fraud Information System/CIGinfo (instrument of communication of information concerning cigarette seizures); believes this single administrative homepage could improve the exchange of data (especially on irregularities) between OLAF and the Member States once the national and the European systems are compatible;
46	Welcomes the fact that the Committee on Budgetary Control has already twice met its counterparts from the national parliaments; believes that annual meetings of the budgetary control committees of national parliaments and the European Parliament could be most useful for improving the Member States' control and monitoring systems and obtaining a national declaration on management;
47	Wishes to see the closest possible cooperation between the ECA and the national and regional audit bodies with a view to increasing the use of their reports to monitor the utilisation of EU funds in the Member States;
48	Notes that OLAF was restructured in 2006, taking into account the ECA´s Special Report 1/2005; considers that OLAF's operations should be assessed by Parliament as part of the procedure to revise the OLAF Regulation;
49	Calls on the Commission to ensure that the database referred to in Article 95 of the Financial Regulation is fully operational as of 1 January 2009;
50	Notes that OLAF received 802 new notifications in 2005, and 826 in 2006; welcomes the fact that the evaluation system has made it possible to reduce the number of investigations opened to 254 cases, and the fact, moreover, that, according to the statistics, the majority of completed investigations were followed-up by administrative, disciplinary, financial, judicial or legislative action; notes that the financial impact of all ongoing cases and closed cases was EUR 6 600 million at the end of 2005 and EUR 7 400 million at the end of 2006, and that the sectors most affected were Structural Funds (2006: EUR 1 606,7 million), cigarettes (2006: EUR 1 320,1 million), customs (2006: EUR 989,8 million) and VAT (2006: EUR 727,8 million);
51	Calls on the Commission to prepare the appropriate legal base for the publication of the names of companies and individuals who have defrauded the Community;
52	Welcomes the way in which OLAF informed Parliament of the follow-up to its closed investigations; notes, however, that the prosecution offices concerned refused to take follow-up action on 20 cases (out of the 134 cases in which judicial follow-up had been requested) because of the statute of limitations or lack of evidence;
53	Is disappointed, however, that OLAF has not relaunched the dialogue on written information which Parliament's competent committee regularly receives, as requested in Parliament's abovementioned resolution of 15 June 2006;
54	Notes that, as in previous years, the majority of cases were registered in Belgium, Germany and Italy;
55	Draws attention to its abovementioned resolution of 11 October 2007;
56	Notes that in 2006 an amount exceeding EUR 450 million was identified for recovery in connection with OLAF investigations, and that this amount came from cases closed in 2006 (approximately EUR 114 million) and from ongoing follow-up measures (approximately EUR 336 million, mainly from the agricultural sector (EUR 134,6 million) and Structural Funds (EUR 146,3 million));
57	Welcomes the cooperation between OLAF, Europol, Eurojust and certain international organisations, one of the purposes of which is to combat organised crime; stresses, at the same time, that such cooperation must be transparent and must not affect the independence of OLAF;
58	Understands that the Commission wishes to limit the number of language versions of its reports for reasons of economy; insists, nonetheless, that both Annex 2 to the annual reports on the protection of the Communities' financial interests and the activity reports must be available at least in English, French and German;
59	"Reminds the Commission that, in paragraph 30 of its abovementioned resolution of 15 June 2006, Parliament advocated that ""(...) all OLAF's investigatory powers be grouped together in a single regulation;""; at the same time emphasises that the Council's working party on fight against fraud also seems to be in favour of streamlining the current legal bases"
60	Notes that the European Court of Human Rights ruled on 27 November 2007 in the case of Tillack v	Belgium (application No 20477/05) that the Belgian state had violated Article 10 (freedom of expression) of the European Convention on Human Rights when searching the journalist's premises; notes however that neither OLAF's nor the Commission's prior administrative investigations were the subject of the ruling; in this context, is of the opinion that, in general, every appropriate measure must be taken to protect the rights of persons under investigation;
61	"Is extremely concerned at the financial losses caused by ""carousel"" transactions; notes, for instance, that the German Economic Research Institute puts lost national VAT receipts for 2003 to 2005 at between EUR 17 000 million and EUR 18 000 million a year; that, extrapolating across the board, Member States estimate that they lose about 10% of their VAT receipts each year; and that one-third of these losses are attributed to cross-border ""carousel"" transactions;"
62	"Notes, furthermore, that the House of Lords estimates lost national VAT receipts in the United Kingdom for 2005 to 2006 at between GBP 3 500 million and GBP 4 750 million, which is at least GBP 9,6 million per day; cites the report which states: ""The current mechanism for intra-Community VAT transactions is not sustainable."
63	Points out that only actual receipts can be taken into account for collection of VAT own resources;
64	Is very concerned that many Member States are still reluctant to step up cooperation both between competent national services and between the Commission, including OLAF, and the national services;
65	Welcomes the Commission's communication to the Council concerning some key elements contributing to the establishment of the VAT anti-fraud strategy within the EU (
66	Criticises the fact that the Council has still not adopted a position on the proposal for a regulation on mutual administrative assistance for the protection of the financial interests of the Community against fraud and any other illegal activities
67	Considers that improved cooperation between the services concerned and with the Commission (OLAF) is essential to tackling cross-border 'carousel' fraud; considers that, in this context, the VAT information exchange system and cooperation in the field of data analysis, with the assistance of the Commission (OLAF), should be strengthened;
68	Instructs its President to forward this resolution to the Council, the Commission, the Court of Justice, the Court of Auditors, the OLAF Supervisory Committee and OLAF.
