A	"	whereas health is one of the most precious things"
36	Regrets that, despite Parliament's repeated and specific requests, the Commission has yet to propose amending Directive 2000/54/EC of the European Parliament and of the Council of 18 September 2000 on the protection of workers from risks related to exposure to biological agents at work
37	Considers that poor application of Community environmental legislation also has an adverse impact on the state of health of EU citizens;
38	Stresses that, in certain situations, EU citizens face health problems such as air pollution which represent a considerable threat to health, affecting the proper development of children and reducing life expectancy in the EU
39	Believes that action to promote healthy lifestyles in families, schools,  hospitals, care homes, workplaces and places of leisure is essential to successful disease prevention and good mental health; recognises that the family is of vital importance in establishing a 'healthy lifestyle' model which is often replicated in later life;
40	"Draws the attention of the Commission and the Member States to Article 3 of the UN Convention on the Rights of the Child, which calls for legislative bodies to treat the interests of children as a primary consideration, one way being to make the necessary provision for maternity and parental leave, for health protection and access to health services during maternity, taking into account in particular the effect that parents"" presence and affection, as well as breastfeeding, have on an infant's mental and physical development;"
41	Stresses the need to improve health care and information for pregnant and breastfeeding women concerning the risks associated with alcohol, drug and tobacco consumption during pregnancy and breastfeeding;
42	Stresses the need to increase public awareness of reproductive and sexual health in order to prevent unwanted pregnancies and the spread of sexually transmitted diseases and reduce the social and health problems caused by infertility;
43	Supports action on specific types of disease and believes that, in order to be more effective, suitable working methods and organisation need to be found to improve interinstitutional cooperation;
44	Calls on the Commission and Member States to consider the contribution which integrated social and health policies (socially relevant health service provision) could make to a modern approach to the promotion and protection of health, particularly for the most vulnerable sections of the population such as young children and those who are not self-sufficient;
45	Believes that the EU should increasingly focus its research programme efforts on important but often neglected patient groups, such as those with mental health problems and men;
46	Invites the Commission and the Member States further to explore, in the framework of the EU health strategy, the synergies between scientific and technological research, particularly as regards new kinds of research in medical areas that are currently underfunded, on the one hand, and the development of new medical sectors and therapies on the other, in order to make it possible for everyone to have access to these therapies as they can have a very positive impact on the health status of EU citizens and in terms of increasing the efficiency of the system;
47	Welcomes the approach proposed by the Commission with a view to combating effectively the counterfeiting of medicines and encourages the Commission to promote the drafting of an international convention on this subject or the appending of an additional protocol to the UN Convention against Transnational Organised Crime (Palermo Convention);
48	Calls on the Commission and the Member States to establish centres of excellence for each important disease group, which should serve as a point of reference, information and guidance for patients and their families, doctors, health care workers, industry and others;
49	Points out that regional and local health authorities in many Member States are often responsible for the planning, management, operation and development of the health sector and often also bear the financial responsibility for the sector, have a thorough knowledge and understanding of the health sector and are essential partners in the formulation and implementation of health policy;
50	Calls on the Commission and Member States to consider the recognised positive impact of thermal cures on the convalescence and on preserving people's health;
51	Calls on the Commission to support the development of e-health, new health care technologies and user-driven innovation in medical devices;
52	"Welcomes the Commission's proposal to set up an EU-level structured cooperation mechanism and to establish closer cooperation with stakeholders, with the participation of civil society; stresses the need to include employers"" and employees"" organisations in partnership;"
53	Calls on Member States, along with regional and local authorities, to use the cooperation mechanism to improve the exchange of best practice; calls on the Commission to be proactive in producing guidelines and recommendations based on such good practice;
54	Agrees that actions under the EU health strategy must be supported by existing financial instruments until the end of the current Financial Framework (2007-2013), without additional budgetary consequences;
55	Calls upon the Commission to recommend to Member States, when they formulate national health strategies, to include priorities to be pursued in other projects not confined to the field of public health;
56	Instructs its President to forward this resolution to the Council and the Commission and to the governments and parliaments of the Member States.
