A	whereas the Audiovisual Media Services Directive (AVMSD) is the backbone of EU media regulation;
11	Encourages the Commission to examine, in the event of any review of the AVMSD, to what extent, if any, uncertainties or inaccuracies in the definitions have led to difficulties in implementation in the Member States, so that these issues can be resolved in the context of this review;
12	Notes, in relation to the ‘over-the-top’ delivery of audiovisual content, that it is necessary to specify what is meant by ‘stakeholders’, these being, at the very least, public and private television companies, internet providers, consumers and creators;
13	Calls on the Commission to continue to ensure that audiovisual media services, given their dual nature as providers of cultural as well as economic services, remain excluded from any accord on liberalisation reached in negotiations on the General Agreement on Trade in Services (GATS);
14	Stresses that the Commission application report fails to address substantively the issue of accessibility as referred to in Article 7 of the AVMSD, and regrets that the effectiveness of the Member States' implementing rules in this regard is not addressed;
15	Notes that in many Member States the infrastructure to provide such services does not yet exist, and that it will take time for some Member States to meet these requirements; encourages the Member States concerned to attend to this matter as soon as possible in order to allow for the practical implementation of Article 7;
16	Calls on the Commission to address this deficit by providing a regular overview of the measures taken by the Member States, and an assessment of their efficacy, so as to ensure that audiovisual media services are continually made more accessible;
17	Highlights the fact that, in an increasingly digital environment, public media services play a crucial role in ensuring that citizens are able to access information online, and acknowledges, in this regard, that the provision of internet services by public media services contributes directly to their mission;
18	Takes the view that the concentration of media ownership may undermine freedom of information and, in particular, the right to receive information;
19	Takes the view, therefore, that a proper balance should be struck between the objectives of the AVMSD and the need to safeguard the freedom to distribute and access content, in order to avoid the risks of concentration and loss of diversity;
20	Acknowledges the different business models in place to finance content, and emphasises the importance of affordability of access for different consumers;
21	Points to the need for wider accessibility of programmes, in particular those rendered via on-demand services, through further developments in, inter alia, audio description, audio/spoken subtitles, sign language and menu navigation, notably of electronic programme guides (EPGs);
22	Recognises, furthermore, that the Member States should encourage media service providers and manufacturers of supporting devices under their jurisdiction to make their services more accessible, particularly to the elderly and to people with disabilities, such as the hard of hearing and the visually impaired;
23	Welcomes the personal commitment made by Commissioner Barnier in relation to the ongoing negotiations on a Treaty on copyright limitations and exceptions for visually impaired persons and persons with print disabilities;
24	Calls on the Commission to ensure that aids for persons with impaired vision are generally available for accessing audiovisual products and services;
25	Believes that Article 7 of the AVMSD should therefore be reworded in order to include stronger, binding language, requiring media service providers to ensure that their services are made available to people with disabilities;
26	Stresses, however, that the market for non-linear services is still at a relatively early stage of development and that any new obligations placed on providers must reflect this;
27	Calls on the Commission, in its next report on the application of the AVMSD, to assess whether the Member States have implemented this directive in a way that preserves the necessary and existing balance between, on the one hand, safeguarding the principle of freedom of access to information, especially on events of high interest to society, and, on the other hand, the protection of rights holders;
28	Welcomes the approach taken by the Commission and the European Court of Justice in relation to the interpretation of Article 14 of the AVMSD; calls for a continued broad interpretation of the term ‘events which are regarded as being of major importance for society’, including sports and entertainment events that are of general interest, and encourages the Member States to draw up lists of such events;
29	Calls on the Commission to include in its next report an assessment of the ways the Member States have implemented Article 15 of the AVMSD, by looking more particularly at how they ensure that events of high interest to the public, which are transmitted on an exclusive basis by a broadcaster under their jurisdiction, are used for the purposes of short news reports in general news programmes;
30	Hopes that the Member States, in their application of Article 15 of the Directive, promote a high level of diversity in the number of events of significant public interest that are shown in general news programmes through short news reports;
31	Highlights that while most Member States comply with the rules relating to the promotion of European works, priority is still given to national works whilst the percentage of independent works on TV is on the decline;
32	Regrets that the data provided are insufficient to draw any conclusions on the promotion of European works by on-demand services providers;
33	Calls, in this regard, for the reporting requirement on European works to include at least a breakdown by category – cinema production, fiction and non-fiction TV production, and show-type or entertainment formats – and by means of distribution, and urges the Member States to provide relevant data in this regard;
34	Stresses the lack of detailed reporting under Article 13 of the AVMSD on the dual obligation to promote the production of, and the access to, European works in on-demand services, and asks the Commission to clarify this point while also taking into account that such services are still in their infancy and that drawing conclusions about the effectiveness of promotion criteria applied to on-demand services is difficult;
35	Calls, therefore, on the Commission and the Member States to act urgently to ensure the effective implementation of Article 13 of the AVMSD;
36	Calls on the Member States to take effective measures to promote better synergies among regulatory authorities, audiovisual media services providers and the Commission, so that EU films can reach a wider audience both within and beyond the EU on linear and non-linear services;
37	Recommends strengthening the role of the European Audiovisual Observatory, as this would be an appropriate solution for collecting data concerning the promotion of European audiovisual works;
38	Stresses the importance of implementing Article 17 of the AVMSD in a satisfactory manner with regard to the average broadcasting time for European works by independent producers, and emphasises the autonomy of the Member States in this respect; encourages the Member States and broadcasters to go beyond the minimum level of 10 % suggested in the directive;
39	Takes note of self-regulatory initiatives and codes of conduct designed to limit children's and minors' exposure to food advertising and marketing, such as those launched within the framework of the Commission's Platform for Action on Diet, Physical Activity and Health;
40	Recognises the efforts made by the advertising industry and members of the EU Pledge, to respond to the AVMSD's call for codes of conduct for commercial communications, accompanying or included in children's programmes, of foods and beverages high in fat, sugar and salt;
41	Stresses that co-regulatory and self-regulatory initiatives, particularly in the field of advertising that targets minors, not least against the background of the Commission's new strategy on corporate social responsibility (CSR), which is defined as ‘the responsibility of enterprises for their impacts on society’, represent an advance on the prior situation because they offer a means of reacting more swiftly to developments in the rapidly changing world of the media;
42	Notes, however, that such initiatives may not always be sufficiently effective in all Member States and that they should be regarded as complementary to legal provisions in realising the aims of the AVMSD, particularly in an online context;
43	Stresses that it is essential to find the right balance between voluntary measures and mandatory regulation in this respect;
44	Stresses, therefore, that such initiatives need to be monitored regularly to ensure that they are enforced, along with future legally binding requirements that may be necessary to ensure the effective protection of minors;
45	Calls on the Commission, in the event of a revision of the AVMSD, to give these relatively new regulatory tools a greater role in the protection of minors in the media and in the regulation of advertising; without, however, eschewing public-authority regulation or supervision;
46	Urges the Member States to continue to encourage audiovisual media service providers to develop codes of conduct with regard to inappropriate audiovisual commercial communications in children's programmes;
47	Calls on the Commission to consider how the basic requirements of the AVMSD applicable to non-linear services can be extended to other online content and services which are currently out of its scope, and what steps need to be taken to create a level playing field for all operators; calls on the Commission to present to Parliament the results of its considerations no later than 31 December 2013;
48	Acknowledges Member States' achievements in providing protection against content inciting hatred on the grounds of race, sex, nationality and religion;
49	Highlights the need for a comparative, pan-European study to provide further understanding of how children's, adolescents' and adults' media consumption behaviour is evolving; believes that such a study would be beneficial to audiovisual policymakers at EU level and in the Member States;
50	Notes that the 12-minute hourly advertising limit has been breached in some Member States;
51	Urges the Member States concerned to implement fully, correctly and without delay the provisions of the AVMSD in this respect;
52	Reiterates that the proportion of televised advertising and teleshopping spots should not exceed 12 minutes per hour;
53	Is concerned that the 12-minute limitation is regularly breached in some Member States;
54	Urges the Commission, while monitoring compliance with existing rules setting out qualitative and quantitative stipulations on advertising, to have an eye to future challenges, e.g	that of Connected TV, in terms of the competitiveness and the sustainable financing of audiovisual media services;
55	Highlights, in particular, the need to monitor commercial formats devised to circumvent this restriction, especially surreptitious advertising, which can confuse consumers;
56	Asks the Commission to submit, as soon as possible, the clarifications needed of the issues it has identified in the field of commercial communications concerning sponsorship, self-promotion and product placement;
57	Calls on the Commission to analyse the effectiveness of the regulations in place and to monitor compliance with the rules on advertising aimed at children and minors;
58	Calls, furthermore, for a ban on prejudicial advertising, as described in Article 9 of the AVMSD, during programmes for children and young people; recommends, as a basis for future reform of the legislative framework, an analysis of the best practices followed in this field in certain countries;
59	Regrets that the necessary, updated version of the interpretative communication on certain aspects of the provisions on televised advertising has still not been issued;
60	Welcomes the Commission's intention to update its interpretative communication on certain aspects of the provisions on televised advertising in 2013;
61	Takes note of the findings by the Commission with regard to the level of media literacy in the Member States;
62	Notes that access to channels, and the choice of audiovisual services, has increased significantly;
63	Stresses that, in order to achieve a true digital single market in Europe, further efforts are therefore needed in the field of improving media literacy among citizens, and calls on the Commission and the Member States to promote media literacy for all EU citizens, in particular children and minors, through initiatives and coordinated actions, in order to increase the critical understanding of audiovisual media services, and to stimulate public debate and civic participation, whilst encouraging the active participation of all stakeholders, in particular the media industry;
64	Encourages, in particular, the Member States to integrate media literacy and e-skills, especially in relation to digital media, into their respective school curricula;
65	Regrets that the Commission only partially carried out its reporting task in keeping with its obligation under Article 33 of the AVMSD, and calls for an interim evaluation before the next Commission application report;
66	Calls on the Member States to increase cooperation and coordination in the framework of the contact committee as established under Article 29 of the AVMSD, in order to increase implementation efficiency and coherence;
67	Calls on the Commission to monitor closely the development of hybrid services in the EU, in particular Connected TV, to establish in its Green Paper on Connected TV the various issues they raise and to pursue those issues through public consultation;
68	Asks the Commission to take into consideration the following aspects when launching public consultations on connected or hybrid television: standardisation, technological neutrality, the challenge of personalised services (especially for persons with disabilities), problems related to multi-cloud security, accessibility to users, protecting children and human dignity;
69	Calls on the Commission to address, in particular, the uncertainties surrounding the use of the term ‘on-demand audiovisual media services’ and, with an eye both to greater consistency in EU legislation affecting on-demand audiovisual services and to likely developments in media convergence, to establish a clearer definition of the term so that the regulatory aims of the AVMSD can be achieved more effectively;
70	Is convinced – given both the market practices of media services providers and platform operators and the developing potential of the relevant technology – that the level of data protection needs to be improved and standardised throughout the EU, while continuing to provide for anonymity in the use of audiovisual media services as the norm;
71	Instructs its President to forward this resolution to the Council and the Commission.
