A	whereas the current 6th EAP will expire on 22 July 2012;
60	Urges the Commission, when reviewing the Environmental Impact Assessment Directive and Directive 2001/42/EC, to ensure that they contribute to a sustainable use of land as a critical resource in the EU and also to extend the scope of environmental impact assessments to cover not only large projects, while tightening and expanding the criteria of such assessments  but also to include the notion of cascading use of resources and full life-cycle analysis;
61	Calls on the Commission to propose a procedure ensuring the impartiality and independence of environmental impact assessments, first of all by eliminating the direct relationship between project developers and the assessors;
62	Recommends that an equitable balance be found between the need to combat climate change and to halt or mitigate biodiversity loss and the Seventh Environment Action Programme, so that the European Union can achieve the EU 2020 targets and avoid unnecessary costs resulting from climate change and biodiversity loss; stresses in this context the importance of cohesion policy post-2013; also emphasises, with prevention policy in mind, the need to see costs as investments for the future and for new jobs and to launch information, awareness and other campaigns so as to allow best practice to be exchanged at all levels; underlines the need for better use of technical assistance at national, regional and local levels in order to increase administrative capacity where needed; considers it necessary to efficiently match research and innovation objectives with local and regional development needs;
63	Takes the view that the objectives of Roadmap 2050 can only be achieved if complementary strategies are implemented, including assessment of agriculture, reforestation and the introduction of policy incentives for innovation and rapid implementation of solar, geothermal and marine energy;
64	Takes the view that the 7th EAP should include a strict and detailed plan both at European and national level for the phasing-out of all environmentally harmful subsidies by 2020, for example those affecting biodiversity, in order to respect the Nagoya commitments;
65	Considers that  the 7th EAP should provide for the inclusion of environmental considerations beyond the current climate change and energy headline indicators in the European Semester; calls on the Commission, in particular, to integrate resource efficiency policies as set out in the Resource Efficiency Roadmap, and to monitor through the European Semester Member States' follow-up to country-specific recommendations accordingly;
66	Underlines the important role of regional and local authorities, non-governmental organisations, academia as well as civil society and the private sector, in the promotion and implementation of effective environment policy across the EU;
67	Considers that, in order to achieve meaningful results, implementation of the programmes at regional and local level must be ensured, and the process must be inclusive of all interested parties; calls for attention to be paid to the situation of regions and territories with special geographical features, such as islands, mountain regions and sparsely populated regions; welcomes the Commission's proposal to strengthen the use of Environmental Impact Assessments and Strategic Environmental Impact Assessments in local and regional decision-making;
68	Underlines that the 7th EAP should provide for the full implementation of the Aarhus Convention, in particular regarding access to justice; stresses, in this connection, the urgent need to adopt the directive on access to justice; calls on the Council to respect its obligations resulting from the Arhus Convention and to adopt a common position on the corresponding Commission proposal before the end of 2012;
69	Takes the view that the 7th EAP should aim at supporting the development of alternative models to measure growth and welfare ‘beyond GDP’;
70	Calls on the Commission and the Member States to promote the ‘green economy’ globally, integrating environmental, social and economic aspects such as poverty reduction;
71	Underlines the importance of demonstrating to EU citizens, especially in the current economic climate, that environmental protection is not contradictory to sustainable economic and social development; advocates, to this end, the promotion of successful projects and the dissemination of information to the public on the feasibility of environmentally benign economic development in important natural and cultural heritage areas like the Natura 2000 network;
72	Recalls that the 7th EAP should provide for the right framework to ensure adequate funding, including funding for innovation, research and development;
73	Takes the view that the LIFE+ programme should be managed by the Commission, with the emphasis being placed on projects of innovation and excellence, promoting SMEs and R&D institutions and prioritising the maintenance of biodiversity with a systematic and integral approach and agricultural technologies compatible with the preservation of the soil and the food chain of animals' ecosystems; believes that the EU's LIFE+ programme should be more widely promoted in all regions of Europe in order to encourage innovative practices at local level and enhance the impact and awareness of the ‘Environmental Policy and Management’ section of this programme;
74	Calls on the Commission and the Member States to develop within the next Research Framework Programme a research and innovation programme targeting new materials and resources which could in the future replace existing raw materials that are in short supply;
75	Considers that the 7th EAP should have as a goal to integrate environmental considerations into all EU external relations, in particular into development aid and trade agreements, in order to promote environmental protection in third countries; urges the EU to promote joint programming of environmental research activities with its neighbours;
76	Invites the Commission to include in its proposal a goal for the EU to fully support the work on environmental accounting done by the UN, the World Bank and European Environment Agency, in order to equip the world with a harmonised environmental accounting system; welcomes the commitments made in the EU Biodiversity Strategy to improving knowledge of ecosystems and their services in the EU (as in the case of forests); encourages Member States to share information about their experiences and to compare notes on methodologies relating to ecosystem accounting;
77	Considers that the 7th EAP should provide for timely implementation of EU international commitments, in particular in the framework of the UNFCCC and the CBD;
78	Urges the Commission to integrate in the 7th EAP the outcome of the Rio+20 conference on the Green Economy and on strengthening International Environment Governance;
79	Instructs its President to forward this resolution to the Council, the Commission and the governments and parliaments of the Member States.
