A	whereas access to justice is a fundamental right,
20	Stresses that, although there are numerous ADR systems operating effectively in Europe at present, one of the main obstacles to their use is the lack of even development of such systems throughout the EU, both in geographical and sectoral terms; suggests, therefore, that existing shortcomings with regard to the geographical coverage of ADR in Europe be rectified rapidly, deplores the major sectoral deficiencies that persist in most Member States, while promoting the improvement of a sector by sector coverage that would involve people who understand the way in which a given sector works; encourages the Member States to consider introducing single points of contact for each sector, to provide information on how to initiate ADR;
21	Recalls that ADR is of particular interest to SMEs; reiterates its call upon the Commission to consider synergies between ADR and an instrument in EU contract law; would also welcome guidance on ADR clauses in standard contracts;
22	Acknowledges the achievements of FIN-NET, ECC-Net and SOLVIT, but believes that, as regards information to parties and funding, there is still room for improvement, and calls on the Commission to support, strengthen and enhance the capabilities of, existing bodies such as these that have demonstrated their effectiveness and value;
23	Sees great potential for online ADR, in particular for smaller claims; notes that traditional ADR procedures exist online alongside others that seek to prevent disputes or to facilitate their resolution; emphasises that, where traditional ADR is carried out online, procedural standards should not be lowered, and that issues such as the enforceability of awards should also be resolved; sees a particular benefit in online trustmark systems; points to the work of the UNICTRAL Working Group on Online Dispute Resolution(12), intended for B2B and business-to-consumer (B2C) transactions;
24	Believes that a ‘hierarchy’ of settlement – comprising, firstly, an in-house complaint scheme, secondly, ADR and, only as last resort, litigation – will reduce time and cost; calls upon the Commission to assist the sectors in promoting such systems;
25	Emphasises the crucial role of types of ADR in family disputes, where it may reduce psychological harm, can help the parties to start talking again and thereby, in particular, help ensure the protection of children; sees potential in cross-border ADR in terms of its flexibility in particular; points also to the work of the European Parliament Mediator for International Parental Child Abduction;
26	Agrees with the Commission that appropriate access to reparation in the internal market requires both the possibility of easy recourse to ADR and the existence of an effective system for collective claims, the two being complementary and not mutually exclusive;
27	Sees potential for ADR within the ongoing discussion on collective redress, since ADR provides an effective means for dispute settlement that avoids redress action before the courts;
28	Sees a need at EU level for ADR in the area of freedom of the press and rights of personality, given that in cases of defamation and breaches of rights of personality in particular, costs of legal proceedings, especially in some Member States, can be ruinous, and that ADR could help to improve the existing situation;
29	Stresses the need to ensure that European consumers can access ADR systems for transnational as well as national disputes, especially on the on-line market, which is growing rapidly in the EU; notes that the use of ADR systems affords a higher level of consumer rights protection and boosts consumer confidence in the market, businesses and consumer rights protection institutions by making them more attractive, as well as promoting cross-border trade and increasing the prosperity of all operators in the EU market;
30	Calls for an effective out-of-court dispute settlement system for consumer matters which is operational across the EU;
31	Suggests that the Commission's future legislative proposal on the use of ADR for consumers in the EU incorporate the guidelines to be followed in relation to ADR systems established in Europe, these being the following:
32	Calls on the Commission to make provision for coordination in respect of transnational consumer disputes in order to facilitate access to, and the coordination of, national and business-led ADR systems;
33	Calls on the Commission, in the context of cross-border e-commerce consumer disputes, to make arrangements for the rapid introduction of a multilingual platform enabling consumers to resolve their disputes entirely on line, bearing in mind that this platform must meet quality standards and be based on existing ADR systems in the Member States;
34	Takes the view that the provision of information to consumers is a responsibility shared by public authorities, information and advisory networks, regulators and consumer groups, and recommends that they each, at their respective level, conduct awareness-raising campaigns and pilot projects on the subject;
35	Criticises the confusing nature of the Commission's current ADR database; suggests that the Commission create a multilingual European internet ADR portal, where any consumer may access information on how ADR works, what it involves and about their rights and obligations, building on existing databases and networks; emphasises that, in the interests of consumers, emphasis must be placed on the user-friendliness and clarity of the on-line portal;
36	Emphasises that consumers must be able to obtain all relevant on-line information about ADR, properly translated into their own languages, by using readily accessible, user-friendly on-line translation machines;
37	Emphasises that it is crucial to raise consumer awareness of the existence and benefits of ADR prior to the initiation of a consumer dispute; insists on the necessity to reinforce the sense of responsibility of businesses and business organisations in this regard; considers that businesses and businesses federations have a duty to inform consumers on available ADR mechanisms; proposes that this ‘upstream’ information should include a reference in all contractual documents drawn up by professionals to the possibility of recourse to ADR, along with contact details and referral procedures for the relevant ADR systems; however, this requirement should avoid extra costs and bureaucracy;
38	Recommends, as a potential incentive for enterprises, that a quality label for mediation be introduced in relation to mediation in consumer disputes, which would be associated with guidelines recognising best practices, so that consumers can rapidly identify businesses that have opted into ADR systems; takes the view that a cost-benefit analysis should be carried out first on this proposal; stresses that the Commission should ensure that the label is properly used and enforced;
39	Notes that there needs to be an improvement in general information about rights and their enforcement and specific information on ADR schemes, including their existence, functioning and location; takes the view that information programmes should also point to the main advantages of choosing ADR, such as the cost in comparison to litigation, success rates and time efficiency in comparison to litigation; takes the view that such programmes should be targeted in particular at citizens and SMEs; believes that ADR is most effectively provided in a network close to citizens and on the basis of joint work with Member States;
40	Calls on the Commission, at the same time, to take immediate steps to ensure that consumers and businesses are made more aware of existing legislative instruments, such as Regulation (EC) No 861/2007 establishing a European Small Claims Procedure, Directive 2008/52/EC on certain aspects of mediation in civil and commercial matters and Regulation (EC) No 805/2004 creating a European Enforcement Order for uncontested claims; with that aim in view, proposes that national authorities, courts, bar associations and chambers of commerce, consumer advice bureaux, legal expenses insurers and other competent organisations should be involved in a comprehensive information campaign; calls for financial support to be provided for European and national campaigns of this kind;
41	Notes that the usage of small claims tribunals in some Member States remains significantly low and that more needs to be done in terms of legal certainty, language barriers and transparency of proceedings; calls on the Commission to devote particular attention to these legal bodies when formulating its legislative proposal on the use of ADR for consumer matters in the EU;
42	Notes that the conciliatory nature of ADR means that the resolution is more likely to be considered a ‘win-win’ result and points to the fact that compliance with resolutions reached via ADR is generally high; believes, therefore, that up-to-date statistics regarding this should be published alongside public information on ADR;
43	Calls on the Commission, in cooperation with the Member States, to undertake information campaigns aimed at educating, and raising the awareness of, both consumers and businesses with regard to the benefits of using this institution;
44	Considers that ADR information campaigns should be run in cooperation with chambers of commerce, consumer groups and offices of fair trading (or equivalent) in order to ensure a well coordinated and effective campaign;
45	Takes the view that the provision of information to businesses is a responsibility shared by public authorities and representative organisations, and recommends that they each, at their respective level, conduct awareness-raising campaigns and pilot projects on the subject;
46	Acknowledges that one of the main obstacles to the use of ADR systems is the reluctance of businesses to engage in such mechanisms; proposes that chambers of commerce, umbrella organisations at both national and EU level, and other professional bodies be required to inform enterprises of the existence of ADR and of the potential benefits of its use, not least in terms of: pre-empting lawsuits; corporate image; and, lastly, the possibilities offered by ADR, unlike an arbitration or court ruling, for the re-establishment of trust-based commercial relations between the parties;
47	Calls on the Commission, on the basis of the data collected and a solid impact assessment in compliance with the better regulation rules, to explore the setting out of minimum standards of ADR across sectors, while developing existing schemes and encouraging Member States and sectors covered by schemes to increase funding, bearing in mind that ADR, while providing parties with a low-cost alternative, must not be ‘justice on the cheap’;
48	Instructs its President to forward this resolution to the Council and the Commission.
