A	whereas the European Union currently comprises 27 Member States and 271 regions,
21	Considers that cross-border cooperation programmes are also important in order to be effective and achieve results with regard to strategies that concern poverty reduction and integration of disadvantaged groups into European mainstream society; calls for this issue to be considered when designing the regulatory framework and for it to be ensured that in disadvantaged regions appropriate measures are available for participation in European regional development programmes;
22	Notes that approaches along the lines of the Baltic Sea Strategy can enhance cross-border cooperation; considers that macro-strategies should take full account of other regional cooperation programmes in order to generate synergies; points out that the concept of macro-regions, a Council initiative, came into being as an experimental, logical way of coordinating common projects covering a very large territory, characterised by common territorial problems, with a view to making use of the advantages of an integrated, multisectoral and territorial approach based on common strategic actions receiving support from existing funds;
23	Points out that such strategies as exist or may exist in the future should provide a basis for more strategic and ‘joined up’ approaches to be realised via the relevant territorial cooperation instruments but are not generating new funds in the EU budget, and do not provide for the establishment of new institutions or the application of new legislation;
24	Asks the Commission to conduct an in-depth study of the results of the first macro-regional strategies implemented; believes that the process has met with a level of interest that should be built on, with lessons being learnt for the implementation of future new macro-regional strategies;
25	Points out that the Territorial Cooperation Objective can accommodate cooperation on a macroregional scale, especially within its transnational strand;
26	Advocates the use of transnational programmes to support these territorial strategies by coordinating the work of devising, framing and steering macro-regional strategies, albeit without this leading to unnecessary duplication of the EU's budget structures by creating specific budget lines for different macro-regions;
27	Stresses at the same time that the aims of macro-regional strategies complement the aims of micro-regional cross-border cooperation and may encompass them, but cannot replace them; stresses for this reason that the cross-border component of territorial cooperation must be preserved as a distinct and legitimate element in its own right;
28	Is convinced that the transnational component of Objective 3 can help to improve cooperation in the context of macro-regional strategies by involving regional and local authorities and civil society more closely in the implementation of practical initiatives;
29	Believes that any transnational strategy must take due account of the scope of coordination with the trans-European transport network guidelines and the strategies pursued under the integrated maritime policy;
30	Points out that territorial cooperation concerns both the EU's internal and external borders, including matters relating to current and future macro-regional strategies; stresses the difficulties encountered by third countries in obtaining cofinancing under the arrangements for cooperation provided for in the ERDF Regulation; asks the Commission to consider how to create more effective synergies between initiatives under the ERDF, the Instrument for Pre-Accession Assistance (IPA), the European Neighbourhood and Partnership Instrument (ENPI) and the European Development Fund (EDF), and calls on it to submit a proposal for a new Neighbourhood Policy as soon as possible; calls for a simplification and harmonisation of the rules governing access to the different sources of financing, in order to ensure compatibility and facilitate their use by beneficiaries;
31	Calls on the Commission, in view of the special nature of the European Neighbourhood and Partnership Instrument, to transfer responsibility for managing it to the Commission's DG Regional Development, albeit taking into account external relations aspects; notes that, in its present form, ENPI does not provide an adequate basis for taking account of the specific features of cross-border cooperation; believes that consideration should be given to separating it from the administration of external relations at least in those cases in which third countries participating in external border cooperation also fund the cooperation;
32	Calls for implementation of the Wider Neighbourhood Action Plan for the EU's outermost regions, announced in Commission Communication COM(2004)0343; stresses, therefore, the need for coherent multisectoral action in areas of EU policy concerning the outermost regions and, in particular, for internal and external components to be coordinated more effectively by means of a catchment area strategy;
33	Recalls that a White Paper on territorial cohesion as a follow-up to the Green Paper would represent a timely instrument to clarify how to implement territorial cohesion through multi-level governance in the future regional policy and provide material for the debate on the next legislative package;
34	States that the conditions for cross-border cooperation in the ENPI are not sufficient for its appropriate development; advocates, therefore, more effective coordination between the various Commission directorates-general concerned; is convinced of the ultimate necessity to reintegrate the ENPI cross-border cooperation programmes into the Territorial Cooperation Objective of cohesion policy;
35	Considers that EGTCs represent a unique, highly valuable territorial governance instrument which meets a need for structured cooperation with reference to financing, the legal status of projects and multi-level governance; recalls that the instrument of EGTC must be promoted as a tool to set up systems of cross-border governance, ensuring the ownership of the different policies at regional and local level; also stresses their key role in contributing to the successful implementation of a multi-level governance model;
36	Highlights the fact that EGTCs can contribute not only to territorial cohesion but also to social cohesion: points out that this instrument has the best capacity to bring the different cultural and linguistic communities closer to each other, promote peaceful coexistence in a diverse Europe and make European added value visible to the citizen;
37	Recommends that a first assessment of the EGTCs in place be carried out, with a view to learning from these initial experiences;
38	Believes, however, that their establishment must be facilitated and calls on the Commission to propose amendments to Regulation (EC) No 1082/2006 of the European Parliament and of the Council on EGTCs without delay, taking due account of the problems identified by the local and regional authorities and the groupings already in place and on the basis of work undertaken by the Committee of the Regions, with a view to:
39	Calls for the allocation of global grants to EGTCs with projects that reflect the objectives and strategies of the relevant cooperation programmes, on the basis of common cross-border development strategies, in order to enable them to directly manage Structural Fund appropriations, and programmes, as well as for the multinational and multilateral nature of EGTCs to be better reflected in regulations governing the other European funds, with a view to improving their access to other sources of financing;
40	Welcomes the launch by the Committee of the Regions of the European EGTC Platform, which aims to facilitate the exchange of experiences, the pooling of best practices and the provision of technical support for EGTCs;
41	Takes the view that cross-border EGTCs offer an excellent opportunity to build Europe at territorial level with the involvement of EU citizens; calls on cross-border EGTCs to launch and run when appropriate a ‘cross-border civil society forum’ and to support cross-border citizens' initiatives;
42	Believes that the implementation of territorial cooperation programmes remains overly complicated and considers that Objective 3 needs a separate regulation to reflect the inherently international character of its activities; believes that at present too many different administrative authorities have to be involved in implementing programmes and therefore calls for significant simplification in this respect;
43	Invites the Commission to propose specific measures which simplify rules on auditing and control, with ‘one management authority per programme’ as a guiding principle, authorise more systematic standard-rate costing and the funding of small projects by means of fixed amounts, lay down more detailed EU rules on eligibility for funding, make for greater flexibility in the implementation of automatic decommitments, increase technical assistance with a view to ensuring that the management bodies concentrate more on the launching and strategic support of projects and delivery of results, rather than merely on management and whether applications comply with administrative rules;
44	Calls on the Member States to simplify their national provisions, which very often add administrative burden not required by the Community rules;
45	Calls on the Commission to clarify, as soon as possible, the provisions governing the principle of conditionality intended for territorial cooperation; considers that, if this conditionality is to create the conditions for better and more effective use of funds, it must not further complicate implementation, to the detriment of programme managers and beneficiaries;
46	Stresses, furthermore, that arrangements for involving private stakeholders must be broadened and simplified; recommends setting up financial engineering systems, along the lines of the JEREMIE and JESSICA initiatives, to facilitate cross-border projects which are vectors of economic development, the participation of private stakeholders and the establishment of public-private partnerships;
47	Deplores the low profile of territorial cooperation, in the eyes of both national and local authorities and the general public, and therefore calls for more effective communication on completed projects;
48	Asks the Commission to come up with ways to raise the profile of EGTCs and their activities among territorial cooperation stakeholders and the general public;
49	Considers that the close cultural and linguistic links between border regions in different Member States, a legacy of history, must be exploited in order to boost cross-border cooperation;
50	Considers that, by helping to fulfil the Europe 2020 strategy's objective of intelligent and inclusive growth, increased cooperation on education and culture would raise the level of participation of citizens and NGOs as well as contribute to the raising of the profile of territorial cooperation and breaking down the ‘mental borders’ that still set citizens apart from one another;
51	Calls for better coordination between managing authorities and already existing cross-border institutions like Euroregions during the implementation of cross-border programmes so as to guarantee for projects a high level of quality, transparency and closeness to the citizen;
52	Asks for more effective coordination of communication between all stakeholders involved in the process of implementing territorial cooperation initiatives, suggests that all programmes in the same component should be recognisable by their use of a single identifiable logo (e.g	reinstatement of the well-recognised ‘INTERREG’ tag) in tandem with each programme's logo (perhaps of a standardised visual size), and invites the Commission, by the start of the next programming period, to come up with a large-scale media and awareness-raising campaign for border regions on the benefits and achievements of territorial cooperation; 
53	Instructs its President to forward this resolution to the Council, the Commission and the Member States.
