A	whereas the European Union has the highest quality and standards for food products in the world,
34	Believes that the international protection of designations of origin should be strengthened; calls on the Commission to step up its efforts, particularly at political level, to bring about an improvement in PGI protection in the course of the WTO talks (either by extending the protection under Article 23 of the Agreement on Trade-Related Aspects of Intellectual Property Rights to all products, or by establishing a multilateral register of PGIs), and also in the accession negotiations for new member countries joining the WTO and bilateral agreements currently being negotiated;
35	Takes the view that both exporting and non-exporting producers should be covered by that international protection on the part of the EU, which might differ on the basis of the risk of the actual counterfeiting of products, in such a way that products at high risk of counterfeiting, and which are exported, enjoy international protection at the WTO, while for products running a more moderate risk of counterfeiting, on markets at local level, a simplified procedure could be proposed, which, once recognised by the Member States, shall be notified to the Commission (comparable to the level of the current temporary protection) and enjoy Community legal protection;
36	Points out that certain nomenclatures are being systematically usurped on the territory of third countries, thereby misleading consumers and undermining the reputation of authentic products; points out that measures to ensure the protection of a nomenclature in a third country is a particularly time-consuming process which cannot easily be achieved by isolated producer groups given that specific protection arrangements and procedures exist in each country; urges the Commission to play an advisory role, providing producer groups with know-how and legal support regarding the conclusion of agreements with third countries;
37	Takes the view that Community and national checks are essential with regard to protected designations of origin and protected geographical indications, and advocates severe penalties to deter unauthorised use of those instruments, in such a way that Member States are required to apply these automatically in the event of counterfeiting or imitation of protected designations; suggests bringing forward a specific clause in Article 13 of Council Regulation (EC) No 510/2006 of 20 March 2006 on the protection of geographical indications and designations of origin for agricultural products and foodstuffs(3) in that respect; favours simplifying the procedures for obtaining PDOs, as well as stringent checks by Member State authorities when certifying that all stages of the production process have taken placed in the geographical area concerned;
38	Considers that market monitoring for the enforcement of all PDO and PGI provisions will increase administrative costs for the Member States but will greatly contribute to more effective protection; favours Community technical assistance for monitoring by the Member States so as to ensure that PDO and PGI protection arrangements are implemented as uniformly as possible on the territory of the EU;
39	Advocates further action to disseminate information on these systems and popularise them, with Community financial support, both within the internal market and in third countries; believes that the Community cofinancing rate for EU information and promotion programmes on quality EU products needs to be increased; hopes that the Commission will continue to promote the concept of PGI with non-member States, particularly by undertaking more technical assistance missions in conjunction with PGI producer groups;
40	Suggests setting up a European Agency for Product Quality, which would work closely with the European Food Safety Authority and the Commission's units responsible for food quality, and which would also adjudicate on the increasing number of requests from third countries in relation to PDO, PGI and traditional speciality guaranteed products;
41	Stresses the importance for consumer choice of Regulation (EC) No 1829/2003 of the European Parliament and of the Council of 22 September 2003 on genetically modified food and feed(4); calls on the Commission to submit a legislative proposal whereby a labelling requirement would also be introduced for animal products such as milk, meat and eggs produced by feeding animals with genetically modified feed;
42	Favours preserving and simplifying the TSG system; expresses disappointment at the performance of this instrument, under which so far only a small number of TSGs have been registered (20, with 30 applications pending); stresses that the register of TSGs mentioned second in Article 3(2) of Council Regulation (EC) No 509/2006 of 20 March 2006 on agricultural products and foodstuffs as traditional specialities guaranteed(5) – the register in which the name of the product or foodstuff is not reserved to the producers – should be abolished since this weakens TSG protection; recalls that the TSG system remains a useful instrument for protection of the networks and that it offers substantial room for development provided certain conditions are met;
43	"Considers the definition of ""traditional"" products contained in Regulation (EC) No 509/2006 to be inadequate; considers that association of a traditional product with the country in which the tradition exists or the exclusive use of the designation by producers complying with traditional requirements will make TSG status more attractive;"
44	Believes that organic farming offers EU farmers a major growth opportunity and that a programme of measures should be launched to enhance the credibility of the EU logo; notes, however, that the Community regulation on the subject lays down a single standard, even though the Member States apply the certification procedure differently, some of them choosing to delegate expensive inspection tasks to inspection authorities and others to state-accredited bodies; notes that the certification procedure varies between Member States and is expensive; calls for the harmonisation of legislation concerning upper detection limits of banned pesticides in organic products; supports, in principle, the proposal for an EU organic label;
45	Takes the view that greater standardisation is needed in the typology of control and certification bodies and procedures for ecological products, so that consumers are provided with an assurance of safety and reliability in the form of a new EU logo for ecological agriculture, guaranteeing identical production, control and certification criteria at EU level and helping to resolve problems and further promote the internal market in ecological products;
46	Considers that the appearance of non-organic products labelled in such a way as to suggest that they are products of organic farming may harm the development of a single EU market in organic products, expresses concern in this connection at attempts to extend the scope of the Ecolabel to food products not produced in accordance with organic farming principles;
47	Advocates the compulsory indication of country of origin in the case of fresh and processed organic products imported from third countries independently of whether they bear EU organic production certification;
48	Considers that, in order to improve the functioning of the internal market in organic products, it will be necessary to:
49	Welcomes the creation at Member State level of offices for traditional and organic products; believes that every Member State should have bodies, whether public or private, that are universally recognised by producers and consumers for purposes of promoting and validating local organic and quality production;
50	Recognises that consumers have ever growing demands concerning the quality of food and food products, not only in terms of safety, but also in terms of ethical concerns, such as environmental sustainability, animal welfare protection and genetically modified organisms (GMO) technologies; calls on the Commission to provide criteria for quality initiatives such as voluntary GMO-free labelling schemes which will provide consumers with a clear choice;
51	Considers it necessary to promote environment-friendly production systems; regrets, therefore, the lack of Community rules on integrated production, enabling the efforts of EU producers to be highlighted, by means of suitable promotion and marketing campaigns designed to publicise the added value of those types of production;
52	Takes the view that EU rules on the harmonisation of standards are unnecessary; considers that there is no need to introduce new certification schemes for foodstuffs at EU level, as this would undermine existing schemes and mislead consumers;
53	Stresses that the development of quality marks, as well as the related communication activities, must not result in more red tape for producers; believes, therefore, that producers should be able to take the initiative regarding the use of such marks, and that the intervention of Community bodies should be confined to ensuring the protection of those marks with a view to guaranteeing producers a fair price for their efforts and protecting the consumer from counterfeiting or other forms of fraud;
54	"Stresses that existing certification systems, as well as ensuring compliance with legal rules by close monitoring, should also guarantee other important food safety factors such as traceability; stresses that certification requirements should reflect the demands of society and that there should therefore be state support for the costs incurred by farmers; advocates the promotion of more active cooperation by producers"" associations, since individual farmers are unable to challenge obsolete trade certification rules;"
55	Points out that, as things stand, private certification systems do not fulfil the objective of helping producers to communicate the characteristics of their products to consumers, and are in fact becoming an exclusive means of access to the market, increasing red tape for farmers and becoming a business for many food distribution companies; sees a need to refrain from promoting the proliferation of such systems, which limit access to the market to a section of the production sector;
56	"Stresses that the current proliferation of private certification systems is hindering access to the market for some in the sector, and that those systems are not helping to improve the communication of product characteristics to consumers; calls on the Commission to promote the mutual recognition of private certification systems in order to limit that proliferation and exclusion from the market of quality products; sees a need for Community guidelines to be drawn up that contain aspects those systems cannot regulate, such ""status-enhancing"" references, which should be defined on the basis of objective, scales and circumstances;"
57	Points out that regional products are highly significant for local economies and communities and that therefore any proposals to limit the number of geographical indications which may be registered should be opposed;
58	Considers that there is no need to develop new initiatives for promoting traditional products, as this may undermine the TSG scheme;
59	Calls for closer cooperation with the International Organisation for Standardisation and the implementation on as large a scale as possible of alternative systems such as HACCP (Hazard Analysis Critical Control Points);
60	Notes, with regard to the international dimension, the existence of a number of problems relating to competitiveness vis-à-vis the European Union's main trading partners; is concerned at pressure from products from emerging countries which do not meet the same security and quality standards and often benefit from lax controls; reiterates, in this connection, the need to implement the concept of 'qualified market access', as affirmed in numerous resolutions of Parliament;
61	Calls for the generalisation of bilateral agreements with key markets, as well as for agreements on fighting counterfeiting; believes that the Commission should work for clarification of the issues facing international trademark protection, including protection of PGIs, PDOs and TSGs;
62	Supports action to communicate, as extensively as possible, the benefits of the European Union's policies for food quality and safety; regrets the lack of full information and the difficulties of access for the public regarding the European Union's work in this field; recommends that the Commission and the Member States step up their information and promotion efforts regarding quality and food safety standards for EU products;
63	Emphasises the potential role of EU funding in this area; notes that in the 'convergence Member States' Community participation in the quality programmes is as high as 75 %; nonetheless stresses that credit requirements have now become tighter for small producers in the wake of the world financial crisis, and that this will drastically limit their access to cofinancing;
64	Considers that farmers' markets, as outlets for local, seasonal produce run directly by farmers, should be encouraged because they ensure that a fair price is paid for high-quality produce, strengthen the link between product and place of production and encourage consumers to make informed, quality-based choices; considers that Member States should encourage the creation of marketing spaces in which producers can present their products direct to the consumer;
65	Calls for the creation of sales promotion programmes for local markets, to promote local and regional processing and marketing initiatives; takes the view that this could for example be done by producer cooperatives, which boost added value in rural areas and which by avoiding long transport routes set a good example for combating climate change;
66	Instructs its President to forward this resolution to the Council and the Commission.
