A	whereas the Transatlantic Partnership is a cornerstone of the external action of the Union,
30	Urges the parties to redouble their efforts to ensure that the final deadline for the destruction of chemical weapons, scheduled for 2012, as provided for in the Chemical Weapons Convention, will be met, and calls in particular for a strengthening of the verification system of the Organisation for the Prohibition of Chemical Weapons and sufficient financial resources for the work of that organisation; reminds the parties of their responsibility for ensuring a successful conclusion to the Sixth Review Conference of the Biological Weapons Convention to be held at the end of 2006 and calls upon them to advocate the adoption of a compliance-monitoring Protocol to the Convention;
31	Shares the view that fighting terrorism and the proliferation of weapons of mass destruction as well as the uncontrolled proliferation of conventional arms remain the greatest security challenges for both partners; stresses, therefore, the need for both partners to reinforce their collaboration in this field and to support the role that the UN must play in combating both challenges;
32	Strongly regrets, therefore, the mistrust due to suspected violation of human rights and international law involved in the so-called extraordinary renditions in Europe; in this connection, refers to the formal inquiries by the Council of Europe pursuant to Article 52 of the European Convention on Human Rights and by the European Parliament's temporary committee referred to in its resolution of 15 December 2005(10) and established by its decision of 18 January 2006(11); calls on all parties involved, including the United States, to cooperate fully with the temporary committee;
33	Underlines the need for the partners to act at all times in full respect of international law, the UN Charter and the principles of democracy and to ensure that their national legislation and mechanisms in this matter comply with international human rights law and, in particular, with the UN Convention against Torture and Other Cruel, Inhuman or Degrading Treatment or Punishment; is of the view that any joint or unilateral activity which does not fully respect international law would weaken the way in which western societies are perceived, making them vulnerable and less credible in their fight against terrorism and the quest for peace, stability and democracy;
34	Stresses the need to put an end to the current legal limbo in which the detainees held in Camp Delta, Guantánamo Bay Naval Base have been placed since their arrival there, to guarantee them immediate access to justice and to ensure that those charged with war crimes receive a fair trial in accordance with international humanitarian law and in full compliance with international human rights instruments; stresses that this issue should be on the agenda at the next EU-US Summit; reiterates its call for the immediate closure of the Guantánamo detention centre;
35	Regrets that, in the past, the US Defense Department has not authorised the visit by the Ad Hoc Working Group of the EP/NATO Parliamentary Assembly Delegation that was requested at the beginning of 2004; is of the view that this visit has in the meantime become more essential than ever and proposes to re-submit the request;
36	Invites those Member States that have not yet ratified the 2003 EU-US extradition and mutual assistance treaties to speed up the ratification process; considers that, in order to enhance judicial and police cooperation in penal matters, attention should be paid to the transposition (on the EU side) of the EU-USA mutual legal assistance and extradition agreements;
37	Believes that the visa requirements currently applying to citizens of one of the old Member States and nine of the new Member States amount to unjustified discrimination between the citizens from old and new Member States; therefore urges the US to extend the Visa Waiver Program to cover all EU citizens so that they all receive equal, open and fair treatment without delay;
38	"Considers that the ""Trusted Person"" initiative is a voluntary initiative; notes, however, that it could raise data-protection difficulties for the EU, in particular for citizens travelling to the USA on business or for tourism; states that as far as data protection is concerned, a proper follow-up to the recent judgment of the Court of Justice of the European Communities in the Passenger Name Records case(12) and a joint strategy for countering spam, ""spyware"" and ""malware"" should be ensured while strengthening bilateral cooperation on enforcement and cooperating with all relevant parties to raise awareness among third countries about the need to tackle spam;"
39	Stresses the need for increased cooperation on a Border Security Initiative so as to develop a specific enforcement initiative to help build networks among border security agencies, facilitate the sharing and concrete application of effective border enforcement techniques and the sharing of information and lessons learned and provide measurable results showing the extent to which counterfeiting has been reduced through enforcement;
40	Suggests that cooperation in combating money laundering, the financing of terrorism, tax evasion, corruption and other malpractices be developed further within the framework of the implementation of the Financial Action Task Force recommendations and other appropriate cooperation frameworks;
41	Calls on the US to lay down effective procedures enabling persons to challenge their inclusion in the list of terror suspects compiled by the US, have their names deleted from the list once it has been proven that they are innocent and ensure that those bearing the same name (or a similar name) as persons on the list are not adversely affected as a result;
42	Calls for operational cooperation in the fight against terrorism based on equivalence and reciprocity (particularly as regards the establishment of common watch-lists) and in measures to combat organised crime, drug trafficking and corruption, and for the exchange of DNA data via Europol, cyber-security and the development and application of cyber-crime policy, covering issues relating to the importance of industry/government cooperation, the protection of critical information infrastructure, use of the internet by terrorists, identity theft, the admissibility of electronic evidence and combating online child pornography;
43	Recalls, however, that any cooperation between the EU and the US should always be conducted in full respect of human rights and fundamental freedoms, including the right to a fair trial, and that, before anyone is extradited to the US, guarantees should be obtained from the US that he or she will not receive the death penalty; calls on the transatlantic partners to respect the principle of reciprocity in judicial and police cooperation between them;
44	Considers that the US authorities, the Member States, the Community institutions and the Council of Europe should cooperate with its Temporary Committee on the alleged use of European countries by the CIA for the transport and illegal detention of prisoners;
45	Is of the view that the transatlantic economic partnership should be enhanced within the framework of the proposed Transatlantic Partnership Agreement and should be complemented by a Transatlantic Aviation Agreement, rather than pursued in the present cumbersome and sometimes contradictory way;
46	Calls on the Austrian Presidency to increase efforts to implement the Declaration on Enhancing Transatlantic Economic Integration agreed at the 2005 EU-US Summit by establishing the high-level fora on regulatory cooperation and on innovation, as well as by launching a joint EU-US study to identify remaining barriers to transatlantic trade and investment, and to assess potential benefits of completing the Transatlantic Market; with this in mind, proposes the establishment of a roadmap outlining a specific course of action and setting target dates for its completion; in this regard, welcomes the decision taken at the first informal EU-US economic ministerial meeting in November 2005 to establish a working group in order to guarantee better protection of intellectual property rights, focusing on improved border enforcement cooperation, public-private partnership and coordinated technical assistance to third countries;
47	Refers to its resolution of 1 June 2006 on EU-US transatlantic economic relations(13);
48	"Urges that the Transatlantic Consumer Dialogue and the Transatlantic Environmental Dialogue be revitalised to develop ""best practices"" which advance consumer health, safety and environmental protection, thus facilitating a more sustainable transatlantic market;"
49	Calls on the leaders on both sides of the Atlantic to reinvigorate transatlantic economic cooperation by establishing early warning systems to operate at an earlier stage in the regulatory and legislative processes, at the point of problem specification and solution identification;
50	Condemns the extraterritorial approach that typifies much of the United States' foreign policy and foreign economic/commercial policy, as exemplified by the Helms-Burton Law, the Torricelli Law and Section 301 of the US Trade Act;
51	Recalls that, although the main obstacles affecting the partnership over recent years have been differences concerning substance rather than differences of an institutional nature, no lasting achievements are feasible without institutions which are prepared to push for progress; underlines, for that reason, the importance of a stable institutional framework ensuring regular executive coordination and consultation; reiterates therefore the need to strengthen the parliamentary dimension of the Transatlantic Partnership by transforming the Transatlantic Legislators' Dialogue (TLD) into a transatlantic assembly scheduling legislators' summits in the run-up to EU-US summits; takes the view, moreover, that the idea of launching new, jointly-funded programmes for exchanges between legislative staffers needs to be considered;
52	Supports, therefore, the Austrian Presidency's proposal to involve parliamentary representatives and representatives from European and American civil society more fully in the day-to-day running of the partnership; takes the view that the President of Parliament and the US Congress leadership should participate at the next Summit to show that the partnership enjoys the active support and involvement of elected representatives;
53	Welcomes the inclusion of representatives from six additional EP Committees in the TLD and supports current efforts to establish an early-warning system within Parliament; is of the view that at, the latest, the EP budget for 2007 should establish a permanent post in Washington DC, so that both Parliament and the TLD may maintain permanent contact with the US House of Representatives and Senate;
54	Welcomes the 2005 roadmap endorsed by the EU-US summit in June 2005 and in particular the creation of the High-Level Regulatory Cooperation Forum to facilitate regulatory dialogue;
55	Insists that the stakeholders and legislators should be actively involved in the dialogue mechanisms on regulatory cooperation;
56	Instructs its President to forward this resolution to the Council, the Commission, the governments and parliaments of the Member States and the President and Congress of the United States of America.
