A	whereas the Lisbon Treaty enhanced the concept of EU citizenship and its derived rights;
10	Stresses the vital role played by the Member States in correctly implementing European legislation; believes that progress still remains to be made and that enhanced cooperation between the EU institutions and local and national authorities is needed; considers that increased cooperation would be an effective means of informally resolving problems, in particular impediments of an administrative nature; in this respect, applauds the Commission’s intention of supporting, from 2013 and via its town twinning scheme in the Europe for Citizens programme, exchanges of best practice between municipalities and projects aimed at enhancing knowledge about, and correct implementation of, citizens’ rights; believes that a practical toolkit on EU citizens’ rights tailored to local and regional authorities would further improve correct implementation;
11	Regrets that the options for redress open to parents and children in the event of separation or divorce are not the same in each Member State, with the result that hundreds of parents in Europe have contacted the Committee on Petitions to urge it to be more active in this area despite its only having very limited competence;
12	Expects that the new petitions web portal, which will be available at the beginning of 2014, will turn the petitioning process into an appealing, transparent and user-friendly instrument, also for people with disabilities; calls on the Commission and the other institutions to properly acknowledge the petitioning process on their websites;
13	Welcomes the fact that, by November 2013, three very different European citizens’ initiatives (ECIs) had met the required threshold; welcomes the planned hearings with the organisers of successful ECIs before the European elections; calls on Member States to promote the right to organise and support ECIs and to implement Regulation (EU) No 211/2011 on the European Citizens’ Initiative in an inclusive way, by ensuring that they are ready to validate signatures both of their own citizens residing abroad and of citizens from other Member States residing on their territory;
14	Calls on all those Member States which do not as yet have a national ombudsman, at present Italy and Germany, to meet the expectations of all EU citizens by appointing one;
15	Calls on the Commission to regularly monitor the way in which the administrative formalities related to entry and residence of EU citizens and their relatives are processed in the Member States; calls on the Commission to play an active role in ensuring that procedures implemented by Member States fully comply with the values and human rights recognised in the EU Treaties; emphasises that one of the main pillars of the Single Market is labour mobility; highlights the very positive benefits of the EU migrant workforce to the economy of the Member States; calls in this respect on the Commission to closely monitor the situation and take appropriate measures to remove potential obstacles, such as excessive bureaucracy, imposed at the national level in the way of this fundamental freedom;
16	Acknowledges that, according to the settled case law of the European Court of Justice(3), the conditions for obtaining and forfeiting citizenship of the Member States are regulated exclusively under the national law of the individual Member States; calls, however, for closer coordination and a more structured exchange of best practices between Member States with respect to their citizenship laws in order to ensure fundamental rights and particularly legal certainty for citizens; calls for comprehensive common guidelines clarifying the relation between national and European citizenship;
17	Calls on those Member States that disenfranchise their own nationals who choose to live in another Member State for an extended period of time to put an end to this practice and revise their legislation accordingly to provide full citizenship rights during the whole process; recommends that the Member States take all steps to effectively help and assist citizens who wish to vote or stand as candidates in states other than their own; stresses the need for EU citizens to exercise their right to vote in the national elections of their country of origin from the Member State in which they reside;
18	Calls on the Member States to protect and enhance the meaning of EU citizenship by discouraging any forms of discrimination on grounds of nationality; deplores any populist rhetoric that aims to create discriminatory practices based only on grounds of nationality;
19	Calls on European political parties and their national affiliates to organise transparent electoral campaigns ahead of the 2014 European elections and to effectively tackle the problems of falling voter participation rates and the widening gap between citizens and the EU institutions; considers the nomination of Europe-wide candidates for the post of Commission President by European political parties as an important step towards building a genuine European public space, and is convinced that the prospect of a Europeanisation of the electoral campaign can be better achieved through pan-European activities and networks of local and national media, especially public media in the fields of radio, TV and the internet;
20	Stresses the importance of informing citizens that they are entitled to vote in municipal and European elections if they live outside their home country and of promoting this right by different means; urges the Commission not to wait until May 2014 to launch its handbook presenting those EU rights ‘in clear and simple language’;
21	Calls on all Union institutions, bodies, offices and agencies to further improve transparency and make access to documents easy and user-friendly, as this enables citizens to participate more closely in the decision-making process; calls on the Union’s institutions, and particularly the European Commission, to improve the efficiency of their procedures so that legitimate requests by EU citizens are met as quickly as possible; calls on all Union institutions, and particularly Parliament, to ensure transparency and accountability in equal measure;
22	Welcomes the recent adoption of the two main EU programmes to fund activities in the field of EU citizenship from 2014 to 2020: the ‘Rights and Citizenship’ and the ’Europe for Citizens’ programmes; considers it highly regrettable that the financial envelope for the latter especially, which supports projects on active European citizenship, has been drastically cut by Member States’ governments as compared to the 2007-2013 period;
23	Expresses its serious concern about petitions revealing the delicate situation of certain residents who, due to their status, cannot entirely benefit from their rights to free movement or from full voting rights in local elections; calls on the European Commission and Member States concerned to facilitate the regularisation of their status in such cases;
24	Is deeply concerned about the obstacles citizens still face when exercising their individual rights in the internal market and believes that the current economic insecurity in Europe also needs to be tackled by removing these obstacles; welcomes therefore the new initiatives announced by the Commission to strengthen citizens in their role as consumers and workers across Europe;
25	Highlights the importance of improving the exchange of information about traineeship and apprenticeship opportunities in other EU countries through the EURES network; is alarmed at the unemployment rate, notably as this affects young people; welcomes the Commission’s proposal for a Council Recommendation on a Quality Framework for Traineeships(4) and calls on Member States to respect the principles set out in the guidelines;
26	Calls on the Member States to better inform EU citizens as to their rights and duties and to facilitate entitlement to these rights being respected equally both in their country of origin and in any other Member State;
27	Draws attention to the grievances of some petitioners, mostly expatriate EU citizens, who reported having encountered problems in relation to the acquisition, transfer and ownership of immovable property in various countries;
28	Acknowledges the problems faced by people with disabilities who exercise their right to free movement and calls for the introduction of an EU disability card, valid throughout Europe, for disabled persons;
29	Calls on the Member States to put in place coordination and cooperation measures in order to efficiently tackle the issues of double car registration taxes, tax discrimination and double taxation in a cross-border context and to take better account of the realities of cross-border worker mobility; considers that double taxation issues are insufficiently addressed through existing bilateral tax conventions or unilateral action by a Member State and would need concerted, timely action at the Union level;
30	Regrets the existence of cross-border hurdles in civil or social matters, such as family law or pensions, that prevent many citizens from enjoying full EU citizenship;
31	Recalls that EU citizens in the territory of a third country in which the Member State of which they are nationals is not represented are entitled to protection by the diplomatic or consular authorities of any Member State, on the same conditions as the nationals of that Member State, and emphasises the importance of such a provision as a point of principle;
32	Calls on Member States to set up as quickly as possible in each Member State a one-stop-shop to coordinate projects with a cross-border impact, for instance those with a social impact such as emergency services, with particular reference to projects that have an environmental impact, such as wind farms, where on occasion no consultation is held with residents on both sides of the border and no impact study is conducted;
33	Calls on the Commission to conduct a thorough assessment of the benefits and challenges of the European Year of Citizens 2013 (EYC); regrets that, due to underfunding and lack of political ambition, the EYC had a poor media profile and failed to generate a broad, publicly visible debate on European citizenship which could have contributed to improved or newly defined instruments;
34	Calls on the Commission to bring forward proposals for recognising the contribution voluntary work makes to citizenship;
35	Calls on the Commission to publish and distribute an explanation of citizens’ rights before and after the Lisbon Treaty so as to restore citizens’ trust;
36	Instructs its President to forward this resolution to the Council, the Commission, the European Ombudsman and to the governments and parliaments of the Member States.
