A	whereas EYV 2011 was a success, had relevant objectives and helped to raise awareness of the issue;
12	Notes the importance of the skills and abilities mentioned above for motivating young people to volunteer and for generating social capital and boosting societal development;
13	Suggests that attention be paid to the issue of gender parity within the voluntary sector, and especially to the pronounced discrepancy that exists among voluntary leaders, with men being over-represented in managerial positions;
14	Believes that the skills acquired by young people during volunteer work should be included in the European Skills Passport and Europass, so that formal and non-formal learning are treated in the same way;
15	Emphasises that volunteering offers young people who have broken off their schooling an inclusive environment and inclusive activities;
16	Reiterates its support for the Commission’s European Voluntary Humanitarian Aid Corps initiative, which is intended to help the EU respond swiftly and in a coordinated manner to humanitarian crises and serious natural disasters by providing support for the training, mobilisation and coordination of volunteers for EU humanitarian aid operations;
17	Points out that volunteering, which is becoming increasingly common among both young and elderly people, promotes intercultural learning as well as a sense of European identity and intergenerational solidarity, and fosters active ageing and lifelong civic participation;
18	Points out that volunteering enables both young people and older people to make a contribution to society and earn recognition and esteem in return, and that this improves their quality of life, wellbeing and general state of health;
19	Points out that the existence of a broad range of volunteering activities, as well as ease of access to such activities, as regards cost, availability of information and infrastructure, and provision of liability and accident insurance cover, are essential if volunteering is to be promoted among all age groups;
20	Considers that volunteering, as an active method of building civil society, can contribute to the development of intercultural dialogue and play a major role in combating prejudice and racism;
21	Points out that volunteering plays a key role in creating human and social capital and promoting social inclusion; calls on the Commission and the Member States to give due recognition to the vital contribution made by volunteering in the world of sport and, specifically, amateur sport, in which field many sports organisations would not be able to function without the help of volunteers;
22	Calls on the Commission and the Member States to give due recognition to the key contribution that volunteering is making at this time of serious economic crisis;
23	Stresses that continuous effort is required to ensure that women have equal access to voluntary activity;
24	Highlights the need to ensure continuity between EYV 2011 and subsequent EYVs, as part of efforts to ensure that volunteering is seen as a valuable means of taking an active part in society, and in this regard encourages the Commission to include volunteering as an important contribution to active citizenship during the European Year of Citizens;
25	Calls on the Member States to ensure the sustainability of the results achieved at national level during EYV 2011;
26	Calls on the Commission to introduce and develop a volunteering policy and to use the open method of coordination in order to foster dialogue and cooperation between stakeholders in the various Member States;
27	Urges the Member States to take the requisite steps to institutionalise volunteering in a manner consistent with their national labour laws;
28	Calls on the Member States and the Commission to set up a single point of contact in the form of a service with responsibility for volunteering policy and for coordination in this area between Commission departments and the various institutions;
29	Stresses the need, in cooperation in particular with European volunteer organisations, associations and networks, to set up a centralised EU portal providing a pan-European platform for coordination in this area, which should include a volunteering best practice database and a section on cross-border volunteering, with information on programmes available, costs and arrangements for taking part, in order to foster the pooling of information;
30	Encourages the Member States to set up national coordination websites and search engines that will allow easy and well-structured access to volunteering opportunities for single individuals and cooperation possibilities for organisations;
31	Encourages Member States to continue to provide a stable and sustainable support framework for both national and cross-border volunteering that supports both volunteers and volunteering organisations; recommends that Member States should keep in place the national coordinating bodies set up in connection with EYV 2011;
32	Calls on the Member States to implement the provisions of Directive 2004/114/EC(13) on the conditions of admission of third-country nationals for purposes of study, pupil exchange, unremunerated training or voluntary service, and to simplify the procedures for the granting of visas, or to abolish them, for those wishing to undertake voluntary activities as part of the European Neighbourhood Policy;
33	Urges national, regional and local authorities to make adequate funding available, streamline administrative procedures and provide tax incentives for volunteers’ organisations and networks, in particular small organisations with limited resources; calls, in this connection, for the concept of grants to associations to be clarified so that funding for associations is no longer confused with state aid which could hamper competition in the for-profit sector;
34	Calls on the Commission to look into the possibility of counting the economic contribution made by voluntary work as matching funding for European projects;
35	Draws attention to the need for volunteering to be encouraged as part of corporate social responsibility strategies, in keeping with voluntary international standard ISO 26000:2010 on guidance on corporate social responsibility;
36	Calls on the Commission to see to it that Member States make it compulsory for volunteers to have proper insurance cover, in order to protect their health and safety during volunteer work;
37	Calls on the Member States that have not yet done so to adopt legislation on volunteering and to facilitate volunteering through the provision of formal, informal and non-formal training to enhance volunteers’ skills and empower them in their work;
38	Calls on the Member States to facilitate volunteering through the provision of formal, informal and non-formal training to enhance volunteers’ skills and empower them in their work, their dedication being primarily altruistic and disinterested; encourages them to introduce training courses in volunteering as electives in educational institutions;
39	Calls on the Commission and the Member States to further promote the European Voluntary Service in universities and other higher education institutions;
40	Believes that voluntary work, as a method of informal learning, helps to develop skills and professional qualifications which make it easier for volunteers to enter or return to the labour market;
41	Recommends that the Commission should continue to maintain contacts with the EYV 2011 Alliance successor, the European Alliance for Volunteering, and other volunteer-based organisations and that it should take proper account of the recommendations laid down in the Policy Agenda for Volunteering in Europe (PAVE), as the basis for an action plan for the future;
42	Calls on the Commission to marshal the necessary resources to set up a European Volunteering Development Fund, in order to ensure that appropriate support infrastructure is put in place;
43	Emphasises the need to make it easier for NGOs to gain access to European funding, in particular under the ESF, at national and European level;
44	Calls on the Member States to implement the Council recommendation on the validation of non-formal and informal learning and to ensure, in advance of the target date of 2018, the implementation of formal structures for the validation of the knowledge, skills and competences gained through volunteering leading to a recognised qualification which educational institutions, employers and others should recognise;
45	Calls on the Commission to recognise volunteer time as eligible in-kind cofinancing for all European grants, and to work with volunteer organisations in order to develop systems for recording and documenting volunteer time on the basis of the many tools and models available;
46	Instructs its President to forward this resolution to the Council, the Commission and the governments and parliaments of the Member States.
