A	whereas the future of Europe lies with its capacity to unleash young people´s potential;
6	Regrets the ambivalence shown by the Council, which is advocating additional resources for young people but is delaying negotiations on payments in connection with the amending budget for 2013, thereby threatening Erasmus scholarship payments; calls on the Council to adopt a more constructive approach by ceasing to widen the gap between payment appropriations and commitment appropriations in each annual budget;
7	Views the Open Method of Coordination (OMC) as an appropriate means for deciding youth policies; reiterates its call for closer cooperation on youth issues between the EU institutions; calls for broader involvement of the European Parliament; stresses that the OMC needs to be carried by a strong political will on the part of the Member States, so as to deliver maximum results;
8	Is disappointed that although the Member States were asked for specific measures in the first cycle of the EU Youth Strategy, very limited progress has been achieved; notes that in several cases the situation has worsened and that in many Member States no specific youth strategy is in place;
9	Notes the impact of the first cycle of the Youth Strategy (2010-2012); stresses that the framework for cross-sectoral involvement of the Commission, the Member States and relevant stakeholders represents a good start but needs to be strengthened in the future by improving access to employment, education and training, thereby combating poverty and exclusion, while also using a cross-sectoral approach to spread practices across the relevant sectors;
10	Stresses the importance of the Structured Dialogue; calls on the Commission and the Member States to develop the concept and ensure a meaningful and consistent follow-up of the recommendations prepared by young people with their ministerial and institutional counterparts; further suggests reaching out directly to youth organisations and non-organised individuals at a local and regional level by ensuring that their voice is not being lost and that policy implementations lead to the positive development and empowerment of young people;
11	Considers that the development of clear and user-friendly indicators regarding the situation of young people and youth policy can be further improved, especially concerning the autonomy and participation of young people, in order to better evaluate the impact of measures undertaken under the EU Youth Strategy;
12	Calls on the Member States to issue knowledge- and evidence-based reports on the social situation and living conditions of young people, and to draw up national action plans and implement them consistently;
13	Stresses that, from early childhood, special attention should be paid to vulnerable groups at high risk of social exclusion, including NEETs and disadvantaged youth, by providing them with real and tangible employment opportunities and encouraging their active participation in society;
14	Recognises the need for a cross-sectoral and balanced approach to the eight fields of action in the EU Youth Strategy; calls for the prioritisation in a time of crisis of a youth policy which is informed and shaped by the voice and aims of young people themselves;
15	Welcomes the new EU programme for education, training, youth and sport; underlines the need for robust funding for this programme and for both a separate chapter and a separate budget allocation for the youth part;
16	Stresses that Member States and businesses should invest more in the right skills and diversify the types of training for jobs in demand, notably in technological sectors, by creating more flexible curricula, integrating entrepreneurship and transversal skills, in order to better adapt to future labour market developments; stresses the importance of enhancing youth mobility in particular by the early learning of foreign languages; calls on Member States to establish dual vocational education and training systems as an effective way of linking educational to labour market demands and reducing youth unemployment;
17	Calls on the Member States to guarantee the total transferability of acquired social benefits so as not to jeopardise welfare protection for young workers who have opted for mobility;
18	Stresses the benefits of the knowledge triangle, and urges the Member States to undertake more initiatives and to intensify the interaction between the three sides of the triangle, thus ensuring that the interaction between research, education and innovation can help to develop jobs and growth;
19	Recognises that the new ‘Horizon 2020’ programme is an appropriate framework for boosting research, innovation and excellence in science; warns, however, that spending cuts in education in some Member States are jeopardising its objectives; calls on the Member States to establish the key priorities under the programme and to take full advantage of it;
20	Calls on the Commission and the Member States to examine and propose methods to increase innovation in national curricula at school level;
21	Urges the Member States to strengthen, and remove existing cross-border barriers to, vocational training, orientation and apprenticeships, traineeships and internships, so as to make this form of education valued on a basis of equality, increase its connections with other educational pathways in a lifelong learning perspective, and better match the supply and demand of work-based training opportunities for young people, thereby improving mobility and employability, particularly in border regions;
22	Underlines the importance of addressing geographical mismatches between job supply and demand both within and between Member States, in particular through changes to the European Job Mobility Portal (EURES), in order to improve youth employment opportunities;
23	Underlines the importance of strategic investment from the EU Structural Funds in regional development, competitiveness and the creation of high-quality apprenticeships, internships and sustainable and durable jobs, thus offering young people the widest possible opportunities for employment that respects the employee's rights in every Member State, so that precarity and the risk of poverty can be significantly reduced; further underlines the importance of economic diversification into high-added-value sectors where appropriate, and the need for an emphasis on rural and disadvantaged areas;
24	Believes that in order to tackle youth unemployment the involvement of regional and local authorities in the design and implementation of the correct policy mix is fundamental;
25	Considers that the present high unemployment rates in certain Member States could have been avoided through intensive national and regional strategies aimed at encouraging companies to hire the youth workforce;
26	Notes that alongside the EU employment strategies, cities and regions play an important role in assessing local employment markets, anticipating their needs and tailoring programmes for young people, and emphasises the importance of young people in their communities, including the island and outermost regions; calls on local and regional authorities to encourage active citizenship and to ensure that representatives of young people or youth associations participate in the different initiatives proposed by the EU;
27	Stresses the positive role that open education and open universities play in the learning process and in equipping students, including young adults, with the new skills that will be vital in the fight against unemployment; stresses that lifelong learning is a dynamic means of learning that addresses the current needs and interests of participants;
28	Underlines the importance of the acquisition of transversal skills such as ICT skills, leadership skills, critical thinking and language skills, also by studying abroad, to improve the prospects of young people on the job market and their adaptability to future labour market developments;
29	Stresses the importance of informal and non-formal learning for the development of values, aptitudes and skills for young people, as well as for learning about citizenship and democratic involvement; calls on the Commission and the Member States to develop systems that recognise competences acquired through non-formal and informal learning, voluntary work, internships and social work, and to provide support for such activities in the framework of the new programmes for education, youth and citizenship;
30	Considers that there is still space for developing peer-learning in the field of education and training as a means of facilitating the exchange of good practices among Member States;
31	Welcomes the recent commitments by the Member States and the Council to launch new youth initiatives with precise funding measures; calls on the Council to initiate similar policies in all Member States under the umbrella of a ‘New Deal’ for young people;
32	Stresses the need to encourage women to embark on careers that have generally been considered as typically ‘masculine’, especially in the IT sector;
33	Believes that early intervention and proactive labour market policies represent a shift from dealing with the symptoms of multi-generational deprivation towards identifying and managing risks early in life in order to prevent unemployment and facilitate reintegration; draws attention especially to those who are most marginalised and at greatest risk of unemployment;
34	Draws attention to the problems of inequalities at school level, truancy and the need to reduce dropout rates EU-wide; stresses the importance of increased funding in order to guarantee equal access to education as well as to reduce early school-leaving; points to the need to improve links and cooperation between actors in education, vocational training and youth work; calls for flexible learning pathways at EU and national level;
35	Identifies the education-to-work transition as an especially important moment for young people, given that the beginning of their careers has a significant impact on their future development; stresses, in this connection, the important role that early childhood development can play in breaking the vicious intergenerational cycle of low human development for disadvantaged children; calls on the Member States to strengthen the provision of advice and guidance services at an early stage in order to improve young people's ability to make sufficiently informed decisions about their future careers, thereby making it easier for them to acquire the necessary skills and to find work relevant to the needs of the labour market; emphasises the potential for job creation in sectors such as the green economy, health, social services and ICT;
36	Stresses the importance of improving the policies aimed at easing the transition from education to employment by ensuring quality apprenticeships and traineeships;
37	Asks the Member States to target young people who are not in education, training or employment, in order to offer them quality learning and training so that they can gain the skills and experience they need to enter employment, including, for some, by facilitating their re-entry into the educational system;
38	Calls for special attention to be given to the youth prison population in order to facilitate their reintegration into society;
39	Calls on the Commission to reinforce the existing flagship initiative ‘Youth on the Move’ with new slogans such as ‘No young people out of education’ and ‘No young people out of the labour market’;
40	Recalls the risk of depriving several Member States of their talented youth, thus creating a potential brain drain; stresses that this may impede those Member States from achieving economic recovery and viable growth; calls on the Commission and Council fully to take this into account when proposing and implementing policies in the future;
41	Stresses that the creative sector can offer further and new opportunities for young people to develop their talent and skills; reminds the Commission and the Member States that new technologies empower young people´s creativity;
42	Stresses that culture in Europe represents an important share of GDP, and calls on the Member States to further encourage initiatives promoting sustainable jobs for young people in this sector;
43	Emphasises the importance of the socio-economic and territorial cohesion of the European Union, as specified in Article 174 TFEU, in achieving the objectives of the EU Youth Strategy, namely creating more and equal opportunities for all young people, promoting social inclusion, gender equality and solidarity for all young people, reducing the risk of poverty and increasing the proportion of the population in employment, in the context of ongoing debt reduction measures, rising youth unemployment and divergent levels of educational achievement and training;
44	Urges the Member States to take full advantage of the EU Structural Funds for 2007-2013, especially the ESF; calls on the Commission to keep Parliament regularly informed on the progress made by the Member States;
45	Asks the Commission and the Member States to mobilise all available funds, in particular in the framework of the Structural Funds, for a programme to stimulate investment in training and jobs with a view to combating the unacceptably high rate of youth unemployment, including the encouragement of business development for young people through entrepreneurship; welcomes the Youth Employment Initiative and urges the Member States and regions concerned to make full use of the funding available from the ESF and the special allocation;
46	Welcomes the new EU initiative for a Youth Guarantee scheme, to be extended also to young people under 30, which should provide them with the skills needed in the labour market ensuring them high-quality, meaningful and relevant opportunities; calls on the Member States to commit themselves to implementing the scheme in an efficient and timely manner and to fully exploit the opportunities offered under the new youth employment fund made available in the new MFF; highlights the need for sufficient funding for the initiative through the ESF and other past and future EU Structural Funds; considers the budget as indicated by the Council for the 7-year period to be insufficient;
47	Stresses, however, that the Youth Guarantee Scheme cannot replace the structural efforts and reforms needed to make the education systems and labour markets in some Member States fit for the challenges of the future;
48	Calls on the Commission to provide incentives and technical support for young people to create their own businesses, under the slogan: ‘If you can't find a job, just create one’;
49	Proposes to enhance the entrepreneurial spirit among young people by facilitating access to microcredit and microfinance instruments;
50	Considers that fiscal consolidation should not be implemented in a way that affects jobs for young people; calls on the Member States to provide more incentives for supporting quality employment for young people, such as relief on taxes and social contributions and establishing appropriate labour market legislation;
51	Recognises that social enterprises can play an important role in promoting high-quality jobs and fighting poverty and social exclusion, by investing in education and training for young Europeans;
52	Stresses the need for Member States to provide a safety net for failed start-ups; calls on them to eliminate red tape;
53	Calls on the Commission to launch a survey to monitor the impact of new technologies and social media on young people's lives;
54	Stresses the need for Member States to implement strategies supporting young people's access to ICT;
55	Calls on the Commission to take advantage of the dynamism of social media in education, training and youth participation in order to increase employability and enhance entrepreneurship, innovation and culture;
56	Emphasises the need to protect young people from all forms of abuse, including online attacks and abuse relating to their personal data and health;
57	Stresses the need to improve communication and uptake in respect of the Commission's youth initiatives (e.g	the European Youth Portal), through social networks and increased engagement with youth organisations and youth representatives;
58	Welcomes the announced Commission communication ‘Opening Up Education’ aimed at improving the efficiency, accessibility and equity of education, training and learning systems by strengthening the integration of ICT and new technologies in education and training; calls on all Member States to encourage initiatives to open up education, for example through the introduction of Massive Open Online Courses (MOOCs);
59	Welcomes the fact that 2013 has been declared the European Year of Citizens; stresses the need to better involve young people by encouraging them to share their vision for the EU's future;
60	Calls on the Commission to continue and increase its support for the European youth card, in order to facilitate young people's access to culture throughout the EU;
61	Stresses the vital importance of sport, exercise and social activities for encouraging youth participation as a tool that can have a huge impact on local communities and can help address many of the societal challenges facing youth, such as tackling social exclusion and giving young people a sense of pride and self-worth; stresses, furthermore, that the physical and mental benefits of exercise help make young people fit for work;
62	Underlines the importance of conveying solid youth-oriented messages on the part of the EU, supported by actual policies in view of the 2014 European elections;
63	Calls on the Commission to develop more initiatives to strengthen EU integration; urges the Member States to incorporate European studies courses into education curricula;
64	Stresses the importance of using information and communication technologies, including social networks, with the specific aim of deepening participation;
65	Stresses the need to develop more outreach programmes for marginalised groups and to provide support for the youth sector to develop its structures and channels of communication so as to reach out to more young people, particularly those at risk of social exclusion;
66	Underlines the importance of the ‘Youth in Action’ programme, which promotes young people's active citizenship, develops solidarity and promotes tolerance among young people;
67	Stresses the role of youth organisations, as the main channel for participation, and of volunteers, and that this needs to be strengthened through support mechanisms, suitable legal frameworks and clear identification of rights and responsibilities as outlined in the European Charter on the Rights of Volunteers; calls on the Commission and the Member States to secure political and financial support for youth work, and especially for youth organisations involved in EU projects;
68	Considers the possibility for young people to live an autonomous life as the overriding priority that the youth strategy should address in the forthcoming period; for this reason, calls on the Commission and the Member States to focus cooperation in the youth field on youth autonomy and the participation of all young people in society;
69	Underlines the importance of eliminating all kinds of discrimination among young people, including discrimination based on gender, racial or ethnic origin, religion, disability, age and sexual orientation;
70	Stresses that the fight against gender inequalities and stereotypes should be an integral part of an effective youth policy in order to prevent and eliminate, in particular, violence against women;
71	Stresses the importance of recognising and engaging directly with young people as a priority group in the EU's social vision, thereby enhancing their influence, development, wellbeing and social inclusion;
72	Emphasises the need to provide efficient and individualised support to young people with disabilities;
73	Instructs its President to forward this resolution to the Council, the Commission and the governments and parliaments of the Member States.
