A	whereas the promotion and protection of consumers and their rights are core Union values;
17	Highlights the need for better protection of the rights of vulnerable consumer groups such as children and older people or other consumers in situations of vulnerability, particularly with regard to transport, financial services, energy and ICT; stresses the need for measures at both Union and national level to provide adequate guarantees for the protection of those consumers;
18	Emphasises the need for the Commission and the Member States to promote responsible and sustainable consumption, in line with the objectives of the Europe 2020 strategy, and to make markets fully accessible to consumers from the perspective of a highly competitive social market economy, in a Union based on solidarity; considers it necessary to tackle food waste, make the lifespan of consumer products more durable, promote recycling and consumption of second-hand goods, and further improve the energy efficiency of products available in the single market;
19	Insists that the Commission should continue to attentively monitor how legislation that supports the development of the single market is applied; calls on the Commission to take the necessary legal action against Member States infringing or failing to implement or enforce single market legislation, in line with the Treaty of the Functioning of the European Union;
20	Welcomes further legislative initiatives aimed at creating a fully integrated single market in order to increase competition and efficiency and provide greater choice for consumers in the Union;
21	Calls in particular on the Commission and the Member States to ensure the timely and consistent implementation of the Union consumer acquis, and in particular the Consumer Rights Directive(27), the Directive on Unfair Commercial Practices(28), and the Directive on Misleading and Comparative Advertising(29); calls, furthermore, on the Commission and the Member States to carry out monitoring on the effectiveness of the consumer acquis; stresses the evidence suggesting that citizens are still not aware of their rights in the single market, and accordingly calls on the Commission and the Member States to further promote the availability of clear and comprehensive information for consumers as part of the implementation process, as well as information on the available consumer redress tools;
22	Calls on the Commission to take more active steps to evaluate the degree to which citizens in the Member States have access to a bank account; invites the Commission to report on how this problem is being addressed and to submit a report to Parliament on the matter by the end of the first quarter of 2014;
23	Recommends that better use be made of the available information on consumer behaviour, and considers in particular that there is scope for using the results of the Consumer Scoreboard more effectively; suggests, accordingly, that the Joint Research Centre (JRC) should carry out analysis and monitoring work, in the form of a funded research project with a view to identifying the priority areas for citizens when it comes to enhancing their consumer rights in the single market, and accordingly adapting contents and format, as well as the work of the organisations disseminating information to consumers;
24	Points out that EU policies need to promote cooperation between consumer associations and public institutions in all fields, thus securing ease of access to the financial resources required, as well as to foster exchanges of best practice and know-how among associations; believes that a register of European associations should be set up to assist the formation of such associations;
25	Considers that the Commission should focus not only on the purchase of digital content in the digital environment, but also on how to promote the sale of goods and services in the digital environment and boost consumer confidence, so that consumers know how to defend their rights and can undertake dispute resolution should they have purchased a low-quality product or service;
26	Calls on the Commission to pay particular attention to consumer protection in the field of short-term loans, as it is those who are most vulnerable in times of crisis who use those financial products without being fully aware of the obligations and risks they incur as credit takers;
27	Recalls that adequate and pertinent information to consumers must go along with empowerment measures in order to allow them to fully benefit from the opportunities existing in the internal market;
28	Calls on the Commission to cooperate with the European Parliament and the national authorities in order to improve the information available to consumers on how to better manage household energy consumption;
29	Believes that it is necessary to realise the cross-border energy projects included in the Connecting Europe Facility (CEF) programme, since this will promote competition among suppliers of electricity and gas and will boost the autonomy of the energy sector in the Member States;
30	Calls for Union competition policy to be strengthened and for the promotion of consumer rights to be treated as centre-stage in this process; considers this realignment to be of particular importance for the development of a robust digital single market; underlines, in this regard, the important role of price comparison websites, and stresses the need to ensure their independence;
31	Calls on the Commission and the Member States to approve the resources required for the effective implementation of the Agenda, with regard furthermore to the Multiannual Financial Framework for 2014-2020, and to conduct systematic impact assessments;
32	Stresses that the increasingly rapid development of e-commerce is of major importance as far as consumers are concerned, offering a wider choice, especially to those living in less accessible, remote or outlying areas, as well as those with reduced mobility, who would otherwise not have access to a wide choice of goods;
33	Calls on the Commission to take measures to combat the unequal treatment of consumers in the single market arising from current distance-selling restrictions applied by companies involved in cross-border distance selling;
34	Stresses that not all consumers have the opportunity to use the internet or the necessary skills, and that consumers should therefore be offered services through multiple channels;
35	Stresses that consumer confidence is essential for both domestic and cross-border e-commerce; emphasises the need to ensure the quality, safety, traceability and authenticity of products, avoid criminal or unfair practices, and comply with the rules on personal data protection, guaranteeing that, where appropriate, informed and explicit consent for the use of personal data has been given by the consumer;
36	Emphasises that the protection of personal data is an essential prerequisite for the protection of consumers and for the functioning and growth of the digital single market;
37	Stresses that consumers expect fast, reliable and competitive delivery services for e-commerce, and that well-functioning delivery services are necessary in order to ensure consumer trust;
38	Welcomes the measures envisaged by the Commission in the area of financial services, and underlines the need for a comprehensive legal framework ensuring independent advice for consumers, especially in the field of financial services; stresses that market information must be reliable, clear and comparable, and accessible electronically and other forms; emphasises the need to take out legal action over unfair commercial practices or contract terms; highlights the need to protect consumers who are ‘trapped’ by a financial product;
39	Takes note of the new proposal (COM(2013)0130, 13 March 2013) for a Regulation amending Regulation (EC) No 261/2004 establishing common rules on compensation and assistance to passengers in the event of denied boarding and of cancellation or long delay of flights and Regulation (EC) No 2027/97 on air carrier liability in respect of the carriage of passengers and their baggage by air; calls for the list of passenger rights common to all transport modes to be circulated widely, in a concise form and in all official Union languages;
40	Emphasises the need to facilitate the right of access to a basic payment account for all consumers and to provide them with clear and relevant information about investment products, as is envisaged inter alia in the proposal for a regulation on key information documents for investment products (COM(2012)0352); stresses that strict rules are required to regulate the financial markets; emphasises that the present economic and financial crisis is weakening the position of a large number of consumers, making them more and more vulnerable, and that rising job insecurity and unemployment rates and loss of purchasing power are widening inequalities; calls on the Commission to take account of these new developments when drafting policies;
41	Highlights the need for close cooperation between European, national and local authorities and consumer associations in order to establish consultation mechanisms and implement the measures planned in the Agenda;
42	Asks the Commission to make the RAPEX (Rapid Alert System for Non-Food Products) reporting system more transparent and effective; emphasises the need to develop the European Consumer Centres (ECC) and Consumer Protection Cooperation (CPC) networks; takes the view that the Commission should consider setting up a RAPEX-type system for services;
43	Emphasises that redress mechanisms such as Alternative Dispute Resolution (ADR) or  Online Dispute Resolution (ODR) must be fast, accessible and effective; stresses that effective access to justice in cross-border disputes should not be hampered by the difficulties arising from the cross-border nature of a dispute, from lack of resources or from lack of information on the accessibility of legal aid; calls, therefore, for better implementation of Council Directive 2003/8/EC of 27 January 2003 and, if necessary, its revision, in order to address its shortcomings;
44	Stresses that ADR and ODR mechanisms cannot substitute a collective redress mechanism; calls, therefore, on the Commission to explore measures that would lead to the creation of a Union-wide coherent collective redress mechanism in the field of consumer protection which would be applicable to cross-border cases; stresses that uncoordinated initiatives within the Union could lead to fragmentation; emphasises that, in order to ensure the efficiency of collective redress and avoid potential abuses, the Union approach to collective redress should include representative action only in the case of entities duly recognised at national level (public authorities such as ombudsmen, or consumer organisations); insists on the need to build the Union approach to collective redress on the opt-in principle;
45	Emphasises the need to ensure the accessibility of goods and services in the Union, covering areas such as the built environment, transport and ICT; urges the Commission to propose a ‘Union Accessibility Act’ that will be far-reaching in its ambitions;
46	Draws attention to the fact that the forthcoming Multiannual Financial Framework for 2014-2020 will have to allow the European Consumer Agenda to benefit from sufficiently ambitious funding;
47	Instructs its President to forward this resolution to the Council, the Commission, and the governments and parliaments of the Member States.
