A	whereas energy efficiency is the relationship between energy supplied and energy used,
52	Reminds Member States that, together with the Commission and its initiatives on 'energy education', the provision of information to citizens is mainly a national, regional and local responsibility and calls for an increased effort in facilitating the provision of information to citizens and the private sector; considers that this information should include information on the availability of existing and cost-effective technology and on the increasing scarcity of resources; calls on the Commission to support, together with relevant national, local and regional institutions, an EU wide information and awareness raising campaign on best practice in energy efficiency and to support networks of excellence;
53	Reiterates the importance of Directive 2003/87/EC of the European Parliament and of the Council of 13 October 2003 establishing a scheme for greenhouse gas emission allowance trading within the Community(8) (the 'EU Emissions Trading Scheme (ETS) Directive') for driving energy efficiency improvements in industry, reducing CO2 emissions and meeting the EU's current and post 2012 Kyoto obligations; calls for the inclusion of the aviation sector in the EU ETS;
54	Calls on Member States, regions and local authorities to cut the bureaucracy that hinders the application by citizens and the private sector of public incentives to use energy in a more efficient way;
55	Notes that communal waste contains a large quantity of chemical energy, which could be economically used if environmental protection conditions were also improved;
56	Stresses that there are considerable energy reserves in coal, as well as technological possibilities for the efficient and clean burning of coal and its conversion into gas and diesel fuels;
57	Draws Member States' attention to the need to modernise old heating and generation facilities;
58	Believes that, as the EU covers different time zones, crossborder electricity networks will facilitate energy supply during peak consumption periods and considerably reduce losses resulting from the need to maintain standby production capacity;
59	Calls on Member States and regions where there are large industrial conurbations to assess the potential for cogeneration and the amount of waste energy in these areas;
60	Calls on the Commission to make full use of the experience gained from SAVE and 'Intelligent Energy - Europe' projects among Member States and to multiply its efforts by disseminating and sharing best practices;
61	Welcomes the Commission's CARS21 initiative and believes that an integrated approach to transport is necessary; considers however, that this approach should not imply a reduction in the obligations on any stakeholder; stresses the importance and necessity of a framework directive for energy efficiency in transport; calls on the Commission and Member States to bring forward national sustainable transport initiatives, which focus on city mobility, train infrastructure, energy-efficient cars and modal shift; considers that the EU should evaluate current, and - if appropriate - propose new, efficiency standards for cars after assessing the voluntary agreements with the automobile industry;
62	Believes that energy assessment of the functioning of cities, where urban transport is concerned, in particular interconnections, should be made a priority and properly addressed in the criteria for Structural Fund support;
63	Notes that advanced new aircraft already consume significantly less fuel, but nevertheless urges that research in this field be speeded up;
64	Recalls that roughly 59% of the oil consumed in Europe in 2004 was used by the transport sector, and of the rest 17% was used in buildings, 16% in non-energy uses and 8% in industry; notes that the Commission expects energy demand in the transport sector to grow by at least 30% until 2030, with an increase of up to 5% per year for air transport, which will increase emissions and dependency on imported energy;
65	As far as the transport sector is concerned, calls for a comprehensive strategy to phase out fossil fuel use in, and to minimise CO2 emissions from, the transport sector, including by greatly increasing the production and use of the latest technology biofuels in accordance with the Commission's biofuels strategy and creating much higher fiscal incentives for low-emission vehicles, as already proposed by the Commission in its proposal for a Council Directive on passenger car related taxes (COM(2005)0261);
66	Also considers it urgent that the Commission submit proposals for sustained, long-term improvement in energy efficiency and conservation in the transport sector, including legislative proposals to achieve: (a) doubly fuel-efficient cars and vans, (b) a transfer of traffic from road and air to rail and water, and (c) more public transport;
67	Considers the growth of transport - notably road transport - to be one of the main obstacles to curbing Europe's energy demand; calls on the Commission to examine the progress made under the voluntary agreement with European car manufacturers and, if necessary, consider additional measures to reach the targets set;
68	Considers that captive fleets, particularly in big cities, offer a good potential for promoting new and more efficient solutions for urban mobility; calls on Member States to use public procurement and tax relief for the promotion of more efficient means of transport, thus contributing to build up the markets for cleaner and more efficient vehicles and fuels;
69	Calls on Member States to promote market transformation programmes that accelerate the spread of best efficient technologies available such as CHP and cutting-edge technologies, such as energy efficient 'A+/A++' class appliances, in the market and asks the Commission to consider introducing the 'top runner' approach in Europe;
70	Supports the harmonisation of standards in the internal market via the introduction of labelling schemes and benchmarks, but stresses the need, in the context of international trade negotiations, to transpose these standards to international level;
71	Asks the Commission to review and revise on a regular basis instruments such as labelling and energy efficiency standards so that they reflect technological developments;
72	Stresses the importance of a European market transformation for appliances, office equipment, consumer electronics and industrial engines to increase energy efficiency; believes that this could be realized through the introduction of more stringent minimum standard requirements, progressive public procurement programmes, targeted information campaigns and improved energy labelling;
73	Takes the view that the system of tradable 'white certificates' should not be followed up at present, as it will be necessary to wait for the results of emissions trading, and the emissions trading system must first be optimised to take account of experience to date;
74	Stresses that the effects of the white certificate system should be ascertained precisely before its possible introduction; notes that there are also other ways of achieving the same savings;
75	Calls on the Commission to examine energy saving possibilities in the agricultural sector and incorporate them within its initiatives in this area;
76	Calls on the Commission and Member States to promote the spread of products and technologies which ensure that goods and appliances only use energy when it is actually needed (for example movement sensitive lighting and appliances without a standby mode);
77	Calls on Member States to ensure that their market surveillance systems are stringent and effective so that appliances, that do not conform with the EU's existing labelling schemes do not enter the EU market;
78	Calls for the early introduction of an 'energy consumption per kilometre' label for the transport sector so that consumers can choose, for example, between rail, air and car travel in the light of an understanding of the energy implications;
79	Considers furthermore that the EU car labelling system needs to be reinforced by measures to promote the market penetration of low CO2 emission and/or biohydrogen-fuelled vehicles, as well as wider measures such as much greater enforcement of speed limits, improving road and traffic management systems and infrastructure as well as supporting improved driving skills;
80	Considers that high levels of spending on research and development at national and EU level are necessary to enable the potential for energy efficiency to be exploited and criticises, in that respect, the decision of the Heads of State and Government as regards the financial framework for 2007-2013 and the reduction it implies for the budget of the Seventh Framework Programme; considers it is essential that the EU lead by example by treating research expenditure within the Seventh Framework Programme in the field of energy efficiency as a priority, taking into account the considerable potential for energy efficiency gains, reductions in emissions and a global market for new and efficient equipment and systems, and refraining from cutting the Seventh Framework Programme budget in the energy efficiency sector, and calls for Member States, industry and the Seventh Framework Programme to achieve successful demonstrations in all these areas; considers that the CIP must play an important role in the promotion and marketing of new technologies;
81	Stresses that the relevant European financial instruments such as the Structural Funds, Cohesion Fund, research and development programmes and the CIP should accord substantially greater priority to investment in energy conservation and energy efficiency; calls on the international financing institutions such as the European Investment Bank, European Bank for Reconstruction and Development, World Bank and also public banks at a national level to include energy audit procedures in all their activities, to have dedicated and specialised energy conservation departments and to initiate special credit schemes for their investments, for example for the accelerated renovation of buildings or of public transport infrastructure and to streamline the access to risk capital for energy efficiency investments as well as to introduce standardised risk assessments for energy efficiency investment in order to reduce administrative burdens;
82	Calls for the extension of the Cohesion Fund to cover areas such as energy efficiency and measures to promote clean urban communications and public transport systems, which will be of particular value to the new Member States where the greatest margins for energy savings exist;
83	Calls on the Commission to adopt a horizontal approach when drawing up future policies or legislative proposals so as to ensure that energy efficiency criteria are invariably taken into account; also considers that energy efficiency should be treated as a favourable ground in Community grant award procedures;
84	Recognises that the Commission's own resources in the field of energy efficiency do not match either its ambition in this field or the urgency to act; calls on the Commission President to ensure that increased resources are made available to ensure that the Commission's ambition in this area is matched by its own resources;
85	Calls on Member States and the Commission to enhance international cooperation in the energy efficiency field to ensure that new regulations and standards do not fragment the global market;
86	Believes that promoting energy efficiency at the global level will be at least as important as dialogue with energy producing countries; believes that energy efficiency must be integrated into EU foreign policy, not least its development cooperation, as well as in the framework of dialogues with energy producing countries and with counterparts in emerging economies (including China, India and Brazil), in Eastern European, Balkan and Mediterranean countries, and African, Caribbean and Pacific countries;
87	Points out that at present some 188 million household appliances in Europe are over ten years old and around 50% of the energy they require could be saved by replacing them; calls on the Commission and the Member States, therefore, to speed up the replacement of appliances by means of appropriate, economically oriented measures such as tax incentives for manufacturers or campaigns to give purchasers discounts;
88	Calls on the Commission to explore the potential for intelligent use of information and communication technologies to enhance energy and material efficiency, through dematerialisation, intelligent buildings, transport substitution etc	and to provide the necessary policy frameworks to encourage such developments; 
89	Calls on the Commission to explore the opportunities provided by the internal electricity market to use energy more efficiently, making the most of the comparative advantage in selected countries for efficient as well as low carbon power production and considering at the same time whether the system of national emission reduction quotas makes sense in a situation with increased trans-border trade;
90	Instructs its President to forward this resolution to the Council and Commission.
