A	whereas education and the family fall within national competence and responsibility,
10	Calls on the Member States to reduce or put an end to the taxation of young men and women who both study and work and who have family responsibilities or responsibilities towards dependants;
11	Encourages the Member States, in partnership with local authorities and higher education and vocational training institutions, to adopt the necessary measures to enable students who are also parents to live in housing that is suited to their needs and to have access to sufficient and adequate childcare under the same eligibility criteria as working parents; calls on the Member States to make full use of the possibilities provided by Community funds and in particular the ESF in this area;
12	Welcomes the Presidency Conclusions of the Barcelona European Council of 15 and 16 March 2002, which urged the Member States to provide by 2010 childcare for at least 90% of children between the age of 3 and the mandatory school age, and for at least 33% of children under 3 years of age; regrets the fact that the Member States have not yet made satisfactory provision in that respect;
13	Encourages higher education and vocational training establishments to set up child-care services on their premises and calls on the Member States to support initiatives of this kind; stresses, furthermore, the importance of older family members (grandparents) and the major role they play in the process of bringing up children and in helping young parents who are working or studying;
14	Calls on the Member States to ensure that all students with children have access to, and can afford to use, good quality local authority/State nursery schools;
15	Calls on the Member States to ensure that all students with older children have access to, and can afford to use, good quality after-school facilities;
16	Calls on the Member States to relieve young people, particularly women, of the main responsibility for caring for dependants so that those women have the opportunity to study;
17	Calls on the Member States, in association with higher education and vocational training establishments, to propose more flexible ways of organising study courses, for example by increasing the opportunities for distance learning and the possibilities for part-time study, and by allowing more adults to continue their education, as part of lifelong learning;
18	Encourages the Member States and higher education and vocational training establishments to make more use of the flexible learning techniques made possible by new technologies and to make these available to all young people in education or training, particularly those with family responsibilities and persons with disabilities;
19	Calls on the Member States and higher education and vocational training establishments to ensure that pregnant students and mothers of young children enjoy equal treatment and non-discrimination in terms of commencing, continuing and returning to education, and to take particular account of their needs;
20	Calls on higher education and vocational training establishments to make their teaching and other staff aware of the particular needs of students with responsibility for others, and if necessary to set up support and advisory services to make it easy for them to commence, continue or return to a course of higher education or vocational training;
21	Calls on higher education and vocational training establishments to take account of the financial situation of young men and women who have family responsibilities when calculating course fees, and encourages them to provide appropriate assistance;
22	Calls on the Member States to establish a national certification scheme for the identification of higher education or vocational training establishments which can help with ways of reconciling student life and family life, with a view to facilitating and encouraging the continuation or the resumption of studies in the case of people with family responsibilities;
23	Encourages employers to exercise corporate social responsibility by awarding study grants which students with family responsibilities could also apply for, and thus help to promote the employment of young graduates;
24	Calls on the Member States and social partners to encourage and facilitate lifelong learning by providing, inter alia, opportunities for paternal or maternal leave, or for leave of absence for reasons relating to legal guardianship or the care of dependent adults or people with disabilities, and for greater flexibility in working conditions, particularly through the use of new technologies; calls, furthermore, on the Member States to count maternity and parental leave during a period of study towards women's and men's aggregate time spent in work and their retirement pension entitlement periods, with a view to meeting fully the goal of genuine gender equality;
25	Calls on the Member States to put an end to restrictions on paid work by persons who are studying or on parental leave where the amounts earned are within the limits established by the Member States, without depriving those persons of their entitlement to family benefits, which would enable them to remain in contact with their employers by working from home and thus make it easier for them to re-enter the labour market following a period of parental leave;
26	Points out that most carers for dependent people are young women, which results in discrimination between men and women in education and careers; stresses the fundamental principle that men must assume greater responsibility for household work, children and other dependent persons if a greater number of young women are to have the opportunity to combine parenthood with studying; calls, therefore, on the Member States to recognise the value of family life and to promote the role of fathers and the better sharing of family responsibilities, including during time spent in education and after the completion of a course of study, as a significant step to achieving equal opportunities between men and women;
27	Calls on the Member States to structure financial support to families with children in a manner that promotes the participation of men in childcare;
28	Recommends to the Council, the Commission and the Member States, in the context of the open method of coordination and within meetings of education ministers and social services ministers, that they exchange best practice with regard to support for students with family responsibilities and to take account of the innovative arrangements in this area which some European countries have introduced;
29	Recommends that Member States facilitate the granting or extension of social benefits to students from other Member States who have dependent children;
30	Recommends to the Commission and the Member States respectively that, when devising and implementing Community and national programmes on education, they take account of the particular situation of students with family responsibilities; draws attention to the importance of including in such programmes horizontal measures to make it easier to combine studying with family life; calls for the education system to be made flexible so as to ensure that mothers, following maternity leave, can continue with, and be reintegrated into, their studies at the same level as previously undertaken;
31	Calls on the Member States to consider, with reference to their national situation, whether a reform of their education system to encourage flexibility and better management of time spent in education would have the effect of enabling young people to begin their working lives at an earlier stage and to achieve their desire for parenthood;
32	Encourages EUROSTAT and the Member States to adjust existing indicators with a view to gathering data which would make it possible to determine − at both Member State and EU level − the number of students with family responsibilities, their living conditions and the extent to which family responsibilities are a factor in them abandoning their studies, particularly in the case of young women;
33	Stresses that the incentives for young women to study and start a family may also diminish because they are afraid of suffering discrimination at work at a later stage; calls, therefore, on the Member States to combat the discriminatory treatment of mothers by employers when recruiting and promoting staff;
34	Calls on the scientific and academic communities to take appropriate steps with a view to ensuring that men and women with family responsibilities have equal access to scientific and/or research careers, thus encouraging them to embark on, and remain in, such careers and keeping them within the scientific community;
35	Calls on the Member States to continue to seek to expand and promote professional training for persons with family responsibilities and those from marginalised or minority groups, so as to enable them to avoid long-term unemployment and to ensure that they have equal access to the labour market;
36	Recommends to the Member States that they take into consideration, in accordance with the characteristics of their national health systems, the importance of access to health services for students who are expecting children or have children, and that they create the necessary infrastructure in close cooperation with universities;
37	Submits that the principle of shared parental responsibility could also apply to young women and men living together on some basis, specific to each country, other than official marriage;
38	Instructs its President to forward this resolution to the Council and the Commission, and to the governments and parliaments of the Member States.
