A	whereas culture forms a fundamental basis for European identities and shared values;
34	Acknowledges that the high costs of digitisation, which will provide long-term commercial benefit, can nevertheless create a significant burden for many small and independent cinemas and film theatres whose programming goes beyond the main stream, with a high proportion of European films;
35	Acknowledges in this respect that in the face of closure, or in order to prevent it, such cinemas and film theatres require special and priority support;
36	Calls therefore on the Commission to propose specific measures to provide support for these cinemas;
37	Observes that cinemas bear the heaviest burden in relation to the costs of digitisation and that, because this entails the creation of basic infrastructure which is important to the public and will facilitate better cultural services than hitherto, irrespective of place of residence, public funding is important, particularly for small and independent cinemas;
38	Recognises that cinemas are places where people meet and exchange views, and stresses that the disappearance of small and independent cinemas, in particular in small towns and less developed regions, limits access to European cultural resources, culture and cultural dialogue;
39	Stresses that the problem of small cinemas mainly exists in rural areas, where they can play a particularly strong social role as meeting places;
40	Draws attention to the difficult situation of small urban cinemas which, as art-house cinemas, help to preserve cultural heritage;
41	Recognises that the digitisation of small and independent cinemas has to be achieved as urgently as possible in order to keep these venues open for films, cultural diversity and audiences;
42	Highlights the threat of copyright fraud and illegal downloading to the cinema industry; calls for intellectual property rights to be properly enforced by Member States;
43	Recognises furthermore the threats to the quality of the works projected and respect for authors' moral rights caused by metallic screens which create significant luminance differences across the image; taking into account that metallic screens are made for 3D; recommends avoiding screening 2D films on metallic screens in order to respect authors' moral rights and to preserve the quality experience of the viewers;
44	Points out that the European film industry faces problems with the circulation and distribution of films, especially those with lower budgets, and that many productions reach only national markets and rarely get screened internationally, which prevents them from reaching wider audiences across the continent and the world;
45	Warns of the current lack of suitable training of projectionists to handle new digital cinema equipment and to adapt it to each specific film so to respect the quality of the projected work;
46	Acknowledges that the digitisation of audiovisual production and distribution poses new challenges to film heritage institutions in their activities of collecting, conserving and preserving the European audiovisual heritage;
47	Underlines the need to ensure the interoperability of digital projection systems and materials, as well as other devices, as they are particularly needed for smaller and medium-sized screens which take account of the economic context of the European cinema market and thus preserve the diversity of cinema and films;
48	Stresses the need to ensure that the digitisation of cinemas is as technologically neutral as possible;
49	Recommends the standardisation of systems based on ISO standards in the areas of production, distribution and film screening;
50	Considers however that in the particular case of digital screening the digitisation of cinemas must not under any circumstances result in the establishment of a single standard;
51	Notes that this would also be inappropriate with reference to further new technical developments such as cinema projection systems using laser technology;
52	Underlines the importance of standardising the 2K resolution system, which allows the screening of films in 3D, HDTV and Blu-Ray as well as for VOD services;
53	Welcomes therefore the fact that, with the 2K standard, a unique, open and compatible worldwide ISO standard has been developed for digital projection, which takes into account the specific needs of European exhibitors;
54	Calls on European and national standardisation organisations to promote the use of this standard accordingly;
55	Welcomes the Commission's announcement, in its 2010-2013 Standardisation Work Programme for Industrial Innovation, of the plan to specify by 2013 voluntary standards for the submission of digital films to archives, for their preservation and for 3D projection;
56	Allows for the further possibility of funding less expensive projectors, which can be used successfully in venues where more alternative content is shown, and furthermore has the potential to benefit specialist films such as documentaries and foreign language films;
57	Concedes that, although the archiving of films will become technically easier as a result of their digitisation or purely digital production, it will entail more challenges in future because of the issues of standards and copyright;
58	Recommends that Member States adopt legislative measures to ensure that audiovisual works, which in future could form the beginnings of a European multimedia library and become an important instrument for protecting and promoting the national heritage, will be digitised, collected by means of compulsory deposit mechanisms, catalogued, preserved and disseminated for cultural, educational and science purposes, whilst respecting copyright;
59	Recommends that the digital transition be made as quickly as possible to avoid the cost of producing both celluloid and digital versions of films and a dual distribution/exhibition system, whilst also providing an incentive for advertisers to switch from 35mm to the digital format;
60	Calls on the Commission to use the European digital library EUROPEANA not only as a digital library for printed products but also for the European film heritage and to define the remit of EUROPEANA accordingly;
61	Underlines the need to provide support for cinemas and film libraries that promote and preserve film heritage;
62	Recommends that Member States set up compulsory deposit mechanisms for digital formats or adapt their existing mechanisms to such formats by requesting the deposit of a standard digital master for digital films;
63	Calls on Member States to take EU competition rules into account when designing State aid schemes for digital conversion, in order to avoid distortions of the financing terms for digital cinema;
64	Calls on the Commission to draw up clear guidelines for State aid, building on experiences in various Member States, in order to increase legal certainty whilst leaving Member States free to shape film and cinema funding at national level;
65	Emphasises that, while public support should be technology-neutral, it should also guarantee the sustainability of investments, taking into account exhibitors' specific business models and distributors' technical requirements;
66	Calls on the Member States to provide support to national film studios and other relevant institutions in the transition to working with digital technology;
67	Emphasises the need for public and private investment as the cinema sector enters the digital era;
68	Stresses that in order to ease the digitisation process, flexible and diversified financing, both public and private, should be made available at local, regional, national and European level, particularly to support small and independent cinemas, within a framework that sets out the priorities and complementarities at the various levels and establishes quantifiable objectives;
69	Underlines that although the European Structural Funds are a significant source of financing for digitisation projects and training initiatives, funding should be increased, the waiting times shortened and the applications simplified as part of the new Multiannual Financial Framework 2014-2020;
70	Recommends that the financing of digitisation projects by the European Structural Funds include commitments by supported cinemas to screen European films;
71	Furthermore, calls for mechanisms to improve support through European Regional Development Fund programmes;
72	Calls on the Commission and Member States to disseminate best practices in the area of the financing of digitisation, including market-based solutions such as small cinemas forming networks to conclude collective agreements with distributors; calls on the Commission, Member States and regions to focus public funding for digital conversion on cinemas which cannot cover their financing needs from other sources, and to keep the transitional period as short as possible;
73	Calls on the Commission to carefully examine the implications which the transition from traditional to digital cinema has for all the stakeholders and parties involved; stresses that Member States should take into account the costs for small local cinemas, and possible opportunities/consequences for the labour market, when drawing up their national digitisation programmes;
74	Considers that cinemas located in less well populated areas, where cultural events are rare, and which are not in a position to pay the costs of converting to digital, should be fitted out with digital equipment;
75	Underlines the availability of preferential loans provided by the European Investment Bank for cinemas which are pursuing digitisation and do not have proper funding;
76	Underlines the role of public-private partnerships as a method for financing the digitisation of cinemas and stresses that they should be promoted;
77	Stresses that publicly or privately funded digitisation of cinemas must not jeopardise the independence of film theatres and will not lead to a reduction in the diversity of programming and in the market share of European films;
78	Calls on the Commission to resolve this issue in the light, also, of the prolongation of the application of the Cinema Communication;
79	Notes in this respect that any public funds provided for the digitisation of cinema and film should be subject to the same scrutiny as state aid to other sectors;
80	Encourages cooperation between cinema operators, local authorities, venues, film clubs/societies and film festivals in order to best make use of digital technologies provided for by funding from EU avenues;
81	Considers that mechanisms integrating distributors and exhibitors should be implemented and calls for strengthened cooperation between small cinemas to minimise the costs of investment in digital equipment;
82	Encourages Member States to increase funding for research connected with digital cinema technology, and particularly channels for disseminating film material and the methods for compressing it, so that the network established will be interactive and offer high quality projection and at the same time allow easier use of compressed and decompressed images;
83	Highlights the importance of appropriate investment in research, funding and training for professionals already working in this field to enable them to adapt to the use of new technologies and to guarantee social inclusion and employment protection;
84	Underlines the need to implement training programmes targeted at professionals in the audiovisual sector allowing them to learn to use digital technologies and adapt to new business models, and acknowledges the success of the initiatives already under way in that field; considers that the EU must pledge support and funding for these programmes;
85	Acknowledges that the so-called VPF commercial model for financing the installation of digital equipment is suitable for large cinema networks but is not an optimal solution for small and independent cinemas, which are restrained by the lack of investment funds, and that therefore the VPF financing model may also hamper cultural diversity;
86	Highlights the fact that many small, rural and art-house cinemas which mainly show European content are excluded from the VPF model and that alternative financing models, including public support, may be necessary to maintain and strengthen cultural diversity and to safeguard competitiveness;
87	Calls therefore for VPF financing models to be adjusted in accordance with the requirements and specificities of independent programme and art film cinemas;
88	Notes that financing models should be promoted which enable independent cinemas to gain access to VPF payments from all distributors; recommends organising purchasing cooperatives in order to make the advantage of group rates available to all cinemas;
89	Underlines that film education helps develop an analytical mind and train young people generally, as it enables learning about heritage to be combined with becoming aware of the complexity of the universe of images and sounds;
90	Underlines that education through film, including cinema culture and language, allows citizens to have a critical understanding of different forms of media, thereby increasing and enhancing the resources and opportunities offered by ‘digital literacy’;
91	Underlines that film education should enable citizens to gain wider knowledge, to appreciate the art of film and to reflect on the values that films convey;
92	Calls on Member States to include film education in their national education programmes;
93	Highlights the importance of film education in independent cinemas at all stages of education in order to develop audiences for European films;
94	Encourages Member States to support educational programmes in film schools and other relevant institutions on the possibilities of making films using digital technology and on digital film production and distribution;
95	Calls for high quality and up-to-date training for both technical and managerial staff to be provided for by either EU funding avenues or successful applicants to funding avenues, in order to ensure optimum use of EU-funded digital technologies;
96	Calls on Member States to develop and promote special programmes and events, for example in the framework of film festivals, to develop young European citizens' education and taste for European films;
97	Acknowledges that the MEDIA Programme has supported the European audiovisual industry for more than two decades and has contributed to the development, distribution and promotion of European films, and to the training of cinema operators in digital techniques;
98	Welcomes, in this context, the commitment given by Mr Barroso on 18 March 2011 to maintain and further strengthen the MEDIA programme;
99	Stresses the importance of the MEDIA Programme in the digitisation of cinemas and calls for existing funding lines to be maintained, as well as for increased funds in the next generation of the programme to tackle the challenges brought by digital technologies;
100	Calls on the Commission to earmark funding under the new MEDIA programme for the post-2013 period and from the European Fund for Regional Development (EFRD) to support the digitisation of cinemas showing European content;
101	Points out that it is necessary for the next generation of the programme to envisage measures generating substantial added value and contributing to the overall ‘Europe 2020’ strategy;
102	Underlines that new initiatives must be introduced as part of the next generation of the MEDIA programme to improve and promote translation, dubbing, subtitling and surtitling, in order to support independent cinemas dedicated to European films;
103	Recalls that the investment in new cinema technology and the transition to digital should improve accessibility for disabled people, particularly through the introduction of audio description;
104	Calls therefore for a ‘digital programme heading’ to be included in the MEDIA programme in order to simplify conversion to digital formats;
105	Draws attention to the importance of the MEDIA continuous training programme as a tool for professionals in the sector to upgrade their skills so as to adapt to changing technologies and production methods;
106	Points out the added value of the MEDIA initial training programme which facilitates film students' mobility in Europe, leading to better integration in the professional sector and to increased European cooperation and coproductions; in this light calls for this funding line to be increased;
107	Recommends that the MEDIA programme invest in VOD as part of its efforts to support pan-European distribution, promote transnational collaboration between platforms and reward initiatives involving cross-border collaboration;
108	Emphasises the added value of European support, particularly with regard to cross-border screening of films and in preventing further fragmentation of the European cinema market;
109	Notes that digital technologies have affected the way in which films are distributed over a variety of platforms and devices either through linear or non-linear services;
110	Recognises that, following the initial outlay on the digitisation process, digital infrastructure will thereafter reduce distribution costs considerably, and allow small independent film distributors to give wider releases to their films and thereby reach larger audiences;
111	Recognises that the successful conversion to digital technology is inextricably linked to access to high-speed broadband, as a means of distribution of digital content, the upgrading of digital software and many other essential functions, and therefore calls on institutions which wish to upgrade to digital technologies to make provision for the dependent nature of this relationship;
112	Notes that digital technologies have fostered the rapid development of short films and video and that they allow new distribution patterns and flexible releases such as the possibility to release a film on a variety of platforms soon after theatrical release;
113	Considers furthermore that the exclusive exploitation period for film theatres should be retained to protect the diversity of cinema;
114	Points out that one weak point in the digitisation process is the fact that distributors, and especially independent distributors, receive insufficient support for digital distribution and are therefore unable to keep up with that process;
115	Encourages Member States to focus financial aid on distribution;
116	Encourages European institutions to implement preparatory actions and pilot projects aiming at testing new business models that could improve the circulation of European audiovisual works;
117	Encourages Member States to devise a strategy for establishing a digital cinema network including film studios, single-screen and multiplex cinemas and live screening facilities, using all data transmission channels, including satellite;
118	Underlines the need to accompany the development of new online exploitation methods with the implementation, at European level, of fair remuneration for audiovisual authors that is proportional to the revenues generated by these new formats and services;
119	Encourages Member States to ensure the widest possible inclusion of European films in the screening programmes of their cinemas in order to enhance their circulation and promotion across the EU, and to enable EU citizens to appreciate the richness and diversity of such films, through the widest variety of platforms;
120	Suggests that there is a need to promote and support European coproductions and that the increase in such productions may result in the wider distribution of European films across the continent;
121	Supports the activities of cinema networks, such as Europa Cinemas, that promote European film worldwide by financially and operationally helping cinemas which exhibit a significant number of European films;
122	Acknowledges the importance of supporting independent cinemas dedicated to European films (such as Europa Cinemas members) in order to reinforce their European programming policy and diversity and their competitiveness on the market;
123	Calls for technology-neutral support for all cinemas which show a high proportion of European films and for an ambitious programme, irrespective of their turnover or number of customers;
124	Encourages Member States to promote and support the dissemination and circulation of European films on their territories through dedicated events and festivals; encourages the Member States also to support the various film schools in existence in Europe;
125	Highlights that films winning awards at European festivals should be given marketing support to further facilitate international VOD releases and to help promote European cinema;
126	Recognises the role of the EP LUX Prize in promoting European films and multilingualism by translating subtitles for the winning film into all 23 official languages of the EU while also generating societal debates amongst EU citizens;
127	Proposes better cooperation and interaction with third countries aimed at raising the profile of European productions on the world market, and particularly in the Mediterranean area, promoting cultural exchanges and launching new initiatives in support of the Euro-Mediterranean dialogue and the democratic development of the whole region, not least in view of the commitments arising from the Euro-Mediterranean Conference on Cinema;
128	Instructs its President to forward this resolution to the Council, the Commission and the governments and parliaments of the Member States.
