A	the European Union is a political project based on shared values and commonly pursued objectives,
18	Confirms that accession negotiations will progress according to the merits and achievements of each negotiating partner;
19	Welcomes and supports the Commission's commitment to improve the quality of the accession process by making it more benchmark-driven and transparent and by systematically making impact assessments on key policy areas at key stages of the process;
20	Takes the view that the planned revision of the Union's budget in 2008/2009 must take account of the future integration of the current candidate and pre-candidate countries;
21	Points out that the Commission's Communication does not deal thoroughly with the financial implications of further enlargements and calls on the Commission to provide clear and credible estimates of the budgetary implications before any further accession;
22	Reiterates that this debate involves difficult issues which might have implications for the Union's common policies, including its cohesion policies;
23	Takes the view that the financial implications of further enlargements, the complexity of which has been implicitly recognised by Heads of State and Government when they declined to take them into account in the 2007-2013 financial framework, must be urgently addressed; calls on the General Affairs and ECOFIN Councils to hold a joint debate on this issue;
24	Emphasises that compliance with the political criteria set out at the Copenhagen European Council, including in the area of the rule of law, should be given greater priority than has hitherto been the case in accession negotiations, and that a direct link should be established between those criteria and the start, as well as the overall pace, of negotiations;
25	Welcomes in this respect the inclusion in the current negotiating framework of a chapter on Judiciary and Fundamental Rights, covering the political issues, which will enable EU institutions to closely scrutinise progress in these crucial areas;
26	Is of the opinion that in previous enlargements progress in the fields of justice, corruption and fundamental rights did not receive enough attention in the early phases of negotiations; pledges to take a much more active role in monitoring the accession process, with particular emphasis on its political aspects, and calls upon the Council to do the same and to issue clear and duly reasoned recommendations to candidate countries, rather than merely take note of technical progress in the negotiations;
27	Recalls the clear European membership prospects which the Thessaloniki European Council of 19-20 June 2003 offered to the western Balkan countries; remains fully committed to these prospects which have to be maintained in order to consolidate stability and peace in the region; reminds those countries that they will each be assessed on the basis of their own merits and that this will determine the pace of their integration into the EU;
28	Welcomes the Council's decision of 13 November 2006 to adopt the negotiation mandates for visa facilitation and re-admission agreements with western Balkan countries as a first step in promoting people-to-people contacts between those countries and the EU; emphasises, however, that the objective is visa-free travel;
29	Welcomes the continued progress made by the candidate country Croatia towards EU integration and calls on the negotiators on both sides to maintain the momentum achieved in these negotiations, with a view to their early conclusion;
30	Notes the Commission's Turkey 2006 Progress Report, which, whilst stating that political reforms in Turkey have continued, points out that their pace has slowed down and confirms the shortcomings in the reform process already laid out in Parliament's abovementioned resolution of 27 September 2006 on Turkey's progress towards accession; insists that this also includes the ratification and full implementation by Turkey of the Additional Protocol extending the EC–Turkey Association Agreement to the ten new Member States, signed by Turkey in July 2005, in compliance with the EU Declaration of 21 September 2005;
31	Stresses that the Turkish refusal to fully comply with the terms of the Additional Protocol is seriously endangering the good progress of the accession negotiations; points out that the Council decision not to open the negotiations on eight important chapters covering policy areas relevant to Turkey's restrictions as regards the Republic of Cyprus and not to close provisionally any chapters is an unavoidable consequence of Turkey's position on this issue; urges Turkey to cooperate in a constructive way to ensure full implementation of the Additional Protocol as soon as possible; welcomes in this respect the invitation addressed to the Commission to submit yearly reports on progress made in addressing the issues covered by the EU declaration of 21 September 2005;
32	deplores the fact that the efforts of the Finnish Presidency to find a solution to the current stalemate regarding the full implementation of the Additional Protocol the one hand and further alleviating the isolation of the Turkish Cypriot Community on the other were not successful; calls on the German Presidency to continue these efforts with determination in close co-operation with UN efforts;
33	Takes the view that the European Union must be prepared to adopt a timetable to ensure that the above goals can be achieved within a reasonable period of time;
34	Urges the Council to take on new commitments only on the basis of an in-depth assessment of their institutional, financial, political and socio–economic consequences; therefore calls on the Commission to provide comprehensive impact assessments whenever it considers new applications for membership and when it submits its recommendations on the opening and closing of negotiations;
35	Recalls that, during accession negotiations, when the Council, acting by unanimity on a proposal of the Commission, lays down benchmarks for the opening and provisional closure of each chapter, Member States should act even-handedly with regard to all accession countries;
36	Believes that Parliament's right of assent should apply not just after the conclusion of the negotiation process but also before the opening of membership negotiations;
37	Notes that, as the EU continues to conduct, and open, enlargement negotiations with the countries of the Balkans, tackling endemic corruption and regional organised crime networks will become an increasingly important feature on the road to accession; strongly recommends, therefore, that current enlargement financial instruments are strengthened and re-focused so as to target, as a top priority, the fight against corruption and organised crime, with particular emphasis on reforming judiciaries, reinforcing public administrative capacity and improving cross-border cooperation;
38	Reminds Member States' governments and national parliaments that it is their responsibility to inform the public adequately about the benefits of past enlargements and the stakes involved in further enlargements, and that they should provide the public with reasons for the decisions they take, unanimously, throughout the accession process;
39	Therefore calls on the Commission to work together with Member States, the European Parliament and national parliaments in order to communicate the enlargement agenda more effectively to the public, thus improving the transparency of the process;
40	Welcomes the recommendation made by the Commission that screening reports, benchmarks for opening negotiation chapters and the final EU common position be made public;
41	Urges the Commission to provide a more precise definition of its 'reinforced Neighbourhood Policy' and to specify in detail what this type of relationship would involve;
42	"Reiterates its previous call on the Commission and the Council to submit, for all European countries currently having no membership prospects, proposals for a close bilateral or multilateral relationship with the EU that matches their specific needs and interests; emphasises that it is up to all countries with recognised membership prospects to decide whether they want
 to join this multilateral framework as an intermediate step towards full membership;"
43	Calls in this context on the Commission and the Council to consider establishing, as part of a reinforced Neighbourhood Strategy, and in addition to the strategies concerning relations with other countries, an overall EU regional policy in the wider Black Sea area in order to build stronger bilateral or multilateral economic and political relations between the EU and all the countries of this area, particularly with regard to free trade, as is the case for the Central European Free Trade Agreement, investment, energy security and migration policy;
44	Is of the opinion that the above options, which entail a broad spectrum of operational possibilities, could constitute a real and attractive option which, without excluding full membership, would grant partner countries a stable long-term perspective of institutionalised relations with the EU and provide the incentive necessary to foster the internal reforms required in the countries in question;
45	Invites the Commission and the Council in this context to consider modulating Community assistance in the light of the progress made by beneficiary countries in achieving the reforms required for their European integration;
46	Emphasises that while Russia is neither a candidate for EU membership nor part of the European Neighbourhood Policy, relations with the EU's largest neighbour nevertheless remain vital in the context of any future EU enlargement strategy; urges that in this context the EU must continue all attempts to develop a unique, wide-ranging partnership with Russia, encompassing trade and energy, but above all human rights and democratisation issues;
47	Instructs its President to forward this resolution to the Council, the Commission and the governments and parliaments of the Member States, accession states and candidate states.
