CELEX number,Title,Publication Reference
52007PC0572,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 998/2003 on the animal health requirements applicable to the non-commercial movements of pet animals as regards the extension of the transitional period {COM(2007) 578 final},
52007PC0593,Proposal for a Regulation of the European Parliament and of the Council on type-approval of hydrogen powered motor vehicles and amending Directive 2007/46/EC {SEC(2007)1301} {SEC(2007)1302},
52007PC0613,"Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 648/2004 in order to adapt it to Regulation (EC) No … on Classification, Labelling and Packaging of Substances and Mixtures, and amending Directive 67/548/EEC and Regulation (EC) No 1907/2006 {SEC(2007) 1337} {SEC(2007) 1338}",
52007PC0619,Proposal for a Regulation of the European Parliament and of the Council amending Council Regulation (EC) No 2252/2004 on standards for security features and biometrics in passports and travel documents issued by Member States,
52007PC0625,Proposal for a Regulation of the European Parliament and of the Council on European Statistics,
52007PC0645,Amended proposal for a Regulation of the European Parliament and of the Council on the liability of carriers of passengers by sea and inland waterway in the event of accidents (presented by the Commission pursuant to Article 250 (2) of the EC Treaty),
52007PC0653,Proposal for a Regulation of the European Parliament and of the Council on Community statistics relating to external trade with non-member countries and repealing Council Regulation (EC) No 1172/95,
52007PC0667,Proposal for a Regulation of the European Parliament and of the Council on the establishment of the European Environment Agency and the European Environment Information and Observation Network (Codified version),
52007PC0670,"Amended Proposal for a Regulation of the European Parliament and of the Council on food enzymes and amending Council Directive 83/417/EEC, Council Regulation (EC) No 1493/1999, Directive 2000/13/EC of the European Parliament and of the Council, and Council Directive 2001/112/EC and Regulation (EC) No 258/97 of the European Parliament and of the Council (presented by the Commission pursuant to article 250 (2) of the EC Treaty)",
52007PC0671,"Amended proposal for a Regulation of the European Parliament and of the Council on flavourings and certain food ingredients with flavouring properties for use in and on foods and amending Council Regulation (EEC) No 1576/89, Council Regulation (EEC) No 1601/91, Regulation (EC) No 2232/96 and Directive 2000/13/EC (presented by the Commission pursuant to Article 250 (2) of the EC Treaty)",
52007PC0672,"Amended Proposal for a Regulation of the European Parliament and of the Council establishing a common authorisation procedure for food additives, food enzymes and food flavourings (presented by the Commission pursuant to Article 250 (2) of the EC Treaty)",
52007PC0673,Amended proposal for a Regulation of the European Parliament and of the Council on food additives (presented by the Commission pursuant to Article 250 (2) of the EC Treaty),
52007PC0699,Proposal for a Regulation of the European Parliament and of the Council establishing the European electronic communications market authority  {SEC(2007) 1472} {SEC(2007) 1473},
52007PC0709,Proposal for a Regulation of the European Parliament and of the Council on a code of conduct for computerised reservation systems {SEC(2007)1496} {SEC(2007)1497},
52007PC0741,"Proposal for a Regulation of the European Parliament and of the Council adapting a number of instruments subject to the procedure referred to in Article 251 of the Treaty to Council Decision 1999/468/EC, as amended by Decision 2006/512/EC, with regard to the regulatory procedure with scrutiny - Part One - Adaptation to the regulatory procedure with scrutiny",
52007PC0755,Proposal for a Regulation of the European Parliament and of the Council on the statistical classification of economic activities in the European Community (Codified version),
52007PC0760,Proposal for a Regulation of the European Parliament and of the Council on the submission of nominal catch statistics by Member States fishing in certain areas other than those of the North Atlantic (Recast),
52007PC0762,Proposal for a Regulation of the European Parliament and of the Council on the submission of catch and activity statistics by Member States fishing in the Northwest Atlantic (Recast),
52007PC0763,Proposal for a Regulation of the European Parliament and of the Council on the submission of nominal catch statistics by Member States fishing in the north-east Atlantic (Recast),
52007PC0776,Proposal for a Regulation of the European Parliament and of the Council amending Council Regulation (EC) No 2223/96 on the European system of national and regional accounts in the Community as regards the implementing powers conferred on the Commission - Adaptation to the regulatory procedure with scrutiny,
52007PC0777,"Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 2150/2002 on waste statistics, as regards the implementing powers conferred on the Commission - Adaptation to the regulatory procedure with scrutiny",
52007PC0778,Proposal for a Regulation of the European Parliament and of the Council amending Council Regulation (EC) No 1172/98 on statistical returns in respect of the carriage of goods by road as regards the implementing powers conferred on the Commission - Adaptation to the regulatory procedure with scrutiny,
52007PC0822,"Proposal for a Regulation of the European Parliament and of the Council adapting a number of instruments subject to the procedure referred to in Article 251 of the Treaty to Council Decision 1999/468/EC, as amended by Decision 2006/512/EC, with regard to the regulatory procedure with scrutiny - Part Three - Adaptation to the regulatory procedure with scrutiny",
52007PC0824,"Proposal for a Regulation of the European Parliament and of the Council adapting a number of instruments subject to the procedure referred to in Article 251 of the Treaty to Council Decision 1999/468/EC, as amended by Decision 2006/512/EC, with regard to the regulatory procedure with scrutiny - Part Two - Adaptation to the regulatory procedure with scrutiny",
52007PC0848,"Proposal for a Regulation (EC) No …/… of the European Parliament and of the Council concerning the general rules on the definition, description and presentation of aromatized wines, aromatized wine-based drinks and aromatized wine-product cocktails (Recast)",
52007PC0851,Proposal for a Regulation of the European Parliament and of the Council on type-approval of motor vehicles and engines with respect to emissions from heavy duty vehicles (Euro VI) and on access to vehicle repair and maintenance information {SEC(2007)1718} {SEC(2007)1720},
52007PC0856,Proposal for a Regulation of the European Parliament and of the Council setting emission performance standards for new passenger cars as part of the Community's integrated approach to reduce CO2 emissions from light-duty vehicles,
52007PC0861,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 460/2004 establishing the European Network and Information Security Agency as regards its duration,
52008PC0040,Proposal for a Regulation of the European Parliament and of the Council on the provision of food information to consumers  {SEC(2008) 92} {SEC(2008) 93} {SEC(2008) 94} {SEC(2008) 95},
52008PC0049,Proposal for a Regulation of the European Parliament and of the Council on cosmetic products (recast) (Text with EEA relevance) (SEC(2008)117) (SEC(2008)118),
52008PC0053,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 999/2001 as regards the implementing powers conferred on the Commission,
52008PC0058,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 638/2004 on Community statistics relating to the trading of goods between Member States,
52008PC0071,"Proposal for a Regulation of the European Parliament and of the Council adapting a number of instruments subject to the procedure referred to in Article 251 of the Treaty to Council Decision 1999/468/EC, as amended by Decision 2006/512/EC, with regard to the regulatory procedure with scrutiny - Part Four - Adaptation to the regulatory procedure with scrutiny",
52008PC0093,Amended Proposal for a Regulation of the European Parliament and of the Council concerning the placing of plant protection products on the market,
52008PC0101,Proposal for a Regulation of the European Parliament and of the Council of […] amending Regulation (EC) No 562/2006 as regards the use of the Visa Information System (VIS) under the Schengen Borders Code,
52008PC0104,Proposal for a Regulation of the European Parliament and of the Council of amending Regulation (EC) No 338/97 on the protection of species of wild fauna and flora by regulating trade therein as regards the implementing powers conferred on the Commission - Adaptation to the regulatory procedure with scrutiny,
52008PC0124,Proposal for a Regulation of the European Parliament and of the Council on the placing on the market and use of feed {SEC(2008) 275} {SEC(2008) 276},
52008PC0210,Proposal for a Regulation of the European Parliament and of the Council concerning crop statistics,
52008PC0229,"Proposal for a Regulation of the European Parliament and of the Council regarding public access to European Parliament, Council and Commission documents",
52008PC0308,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No. 1638/2006 laying down general provisions establishing a European Neighbourhood and Partnership Instrument,
52008PC0311,Proposal for a Regulation of the European Parliament and of the Council laying down harmonised conditions for the marketing of the construction products {SEC(2008) 1900} {SEC(2008) 1901},
52008PC0316,Proposal for a Regulation of the European Parliament and of the Council concerning type-approval requirements for the general safety of motor vehicles {SEC(2008) 1908} {SEC(2008) 1909},
52008PC0345,Proposal for a Regulation of the European Parliament and of the Council laying down health rules as regards animal by-products not intended for human consumption (Animal by-products Regulation){SEC(2008)1994} {SEC(2008)1995},
52008PC0369,Proposal for a Regulation (EC) No …/... of the European Parliament and of the Council of […] concerning the supplementary protection certificate for medicinal products (Codified version),
52008PC0388,"Proposal for a Regulation of the European Parliament and of the Council amending Regulations (EC) No 549/2004, (EC) No 550/2004, (EC) No 551/2004 and (EC) No 552/2004 in order to improve the performance and sustainability of the European aviation system {SEC(2008) 2093} {SEC(2008) 2094}",
52008PC0390,"Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 216/2008 in the field of aerodromes, air traffic management and air navigation services and repealing Council Directive 06/23/EEC {SEC(2008) 2086} {SEC(2008) 2087}",
52008PC0401,Proposal for a Regulation of the European Parliament and of the Council on a Community Ecolabel scheme {SEC(2008) 2118} {SEC(2008) 2119},
52008PC0402,Proposal for a Regulation of the European Parliament and of the Council on the voluntary participation by organisations in a Community eco-management and audit scheme (EMAS) {SEC(2008) 2121} {SEC(2008) 2122},
52008PC0450,Proposal for a Regulation of the European Parliament and of the Council establishing a facility for rapid response to soaring food prices in developing countries,
52008PC0469,Proposal for a Regulation of the European Parliament and of the Council concerning trade in seal products {SEC(2008) 2290} {SEC(2008) 2291},
52008PC0505,Proposal for a Regulation of the European Parliament and of the Council of […] on substances that deplete the ozone layer (Recast) (Text with EEA relevance) {SEC(2008)2366 final} {SEC(2008)2367 final},
52008PC0563,Proposal for a Council Regulation amending Regulation (EC) No 1290/2005 on the financing of the common agricultural policy and Regulation (EC) No 1234/2007 establishing a common organisation of agricultural markets and on specific provisions for certain agricultural products (Single CMO Regulation) as regards food distribution to the most deprived persons in the Community {SEC(2008) 2436} {SEC(2008) 2437},
52008PC0580,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 717/2007 on roaming on public mobile telephone networks within the Community and Directive 2002/21/EC on a common regulatory framework for electronic communications networks and services {COM(2008) 579 final} {SEC(2008) 2489} {SEC(2008) 2490},
52008PC0640,Proposal for a Regulation of the European Parliament and of the Council on cross-border payments in the Community (Text with EEA relevance) {SEC(2008) 2598} {SEC(2008) 2599},
52008PC0644,Proposal for a Regulation of the European Parliament and of the Council laying down the obligations of operators who place timber and timber products on the market {SEC(2008) 2615} {SEC(2008) 2616},
52008PC0647,Amended proposal for a Regulation of the European Parliament and of the Council laying down the procedure for implementing Regulation (EC) No 883/2004 on the coordination of social security systems,
52008PC0662,"Proposal for a Regulation of the European Parliament and of the Council amending, as regards information to the general public on medicinal products for human use subject to medical prescription, Regulation (EC) No 726/2004 laying down Community procedures for the authorisation and supervision of medicinal products for human and veterinary use and establishing a European Medicines Agency {SEC(2008) 2667} {SEC(2008) 2668}",
52008PC0664,"Proposal for a Regulation of the European Parliament and of the Council amending, as regards pharmacovigilance of medicinal products for human use, Regulation (EC) No 726/2004 laying down Community procedures for the authorisation and supervision of medicinal products for human and veterinary use and establishing a European Medicines Agency {SEC(2008) 2670} {SEC(2008) 2671}",
52008PC0677,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 808/2004 concerning Community statistics on the information society,
52008PC0704,Proposal for a Regulation of the European Parliament and of the Council on Credit Rating Agencies {SEC(2008) 2745} {SEC(2008) 2746},
52008PC0720,Amended proposal for a Regulation of the European Parliament and of the Council establishing the European Electronic Communications Market Authority (presented by the Commission pursuant to Article 250(2) of the EC Treaty),
52008PC0761,Proposal for a Council Regulation listing the third countries whose nationals must be in possession of visas when crossing the external borders and those whose nationals are exempt from that requirement (Codified version),
52008PC0813,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 1081/2006 on the European Social Fund to extend the types of costs eligible for a contribution from the ESF,
52008PC0816,Proposal for a Regulation of the European Parliament and of the Council concerning the rights of passengers when travelling by sea and inland waterway and amending Regulation (EC) No 2006/2004 on cooperation between national authorities responsible for the enforcement of consumer protection laws {SEC(2008) 2950} {SEC(2008) 2951},
52008PC0817,Proposal for a Regulation of the European Parliament and of the Council on the rights of passengers in bus and coach transport and amending Regulation (EC) No 2006/2004 on cooperation between national authorities responsible for the enforcement of consumer protection laws {SEC(2008) 2953} {SEC(2008) 2954},
52008PC0820,Proposal for a Regulation of the European Parliament and of the Council establishing the criteria and mechanisms for determining the Member State responsible for examining an application for international protection lodged in one of the Member States by a third-country national or a stateless person (Recast) {SEC(2008) 2962} {SEC(2008) 2963},
52008PC0825,Proposal for a Regulation of the European Parliament and of the Council concerning the establishment of 'Eurodac' for the comparison of fingerprints for the effective application of Regulation (EC) No […/…] [establishing the criteria and mechanisms for determining the Member State responsible for examining an application for international protection lodged in one of the Member States by a third-country national or a stateless person] (Recast version) {SEC(2008) 2981} {SEC(2008) 2982},
52008PC0838,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 1080/2006 on the European Regional Development Fund as regards the eligibility of energy efficiency and renewable energy investments in housing,
52008PC0847,Regulation (EC) No .../2008 of the European Parliament and of the Council amending Regulation (EC) No 1692/2006 establishing the second ‘Marco Polo’ programme for the granting of Community financial assistance to improve the environmental performance of the freight transport system (‘Marco Polo II’) (Text with EEA relevance) {Sec(2008)3021} {SEC(2008)3022},
52008PC0852,Proposal for a Regulation of the European Parliament and of the Council concerning a European rail network for competitive freight (Text with EEA relevance) {SEC(2008) 3028} {SEC(2008) 3029},
52008PC0854,Proposal for a Council Regulation amending Regulation (EC) No 1334/2000 setting up a Community regime for the control of exports of dual-use items and technology,
52008PC0867,Proposal for a Regulation of the European Parliament and of the Council amending Regulation (EC) No 1927/2006 on establishing the European Globalisation Adjustment Fund {SEC(2008) 3055} {SEC(2008) 3056},
52008PC0891,Proposal for a Council Regulation (EC) No …/... of […] laying down a uniform format for visas (codified version),
52008PC0893,Proposal for a Regulation of the European Parliament and of the Council establishing a procedure for the negotiation and conclusion of bilateral agreements between Member States and third countries concerning sectoral matters and covering applicable law in contractual and non-contractual obligations,
